	ASCL2	ATF3	FOXO3	HMG20B	HMGA1	HMGN3	KLF10	KLF3	KLF6	NR3C1	PKNOX1	PLSCR1	YBX1
Allograft_rejection	CD40 CD86	HLA-A HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5		HLA-DMA HLA-DQB1	CD80 HLA-A HLA-DQA1 HLA-DRB1				HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1		CD80 CD86 HLA-A HLA-DPB1 HLA-DQA1 HLA-E		CD80 CD86 HLA-E
Antigen_processing_and_presentation		CD74 CTSS HLA-A HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5	CALR HSP90AB1 HSPA8	HLA-DMA HLA-DQB1	CD74 CTSS HLA-A HLA-DQA1 HLA-DRB1 PSME2				HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1		CTSB HLA-A HLA-DPB1 HLA-DQA1 HLA-E HSPA1A PSME1		HLA-E HSPA1A PSME1 PSME2
Asthma		HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5		HLA-DMA HLA-DQB1					HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1				
Autoimmune_thyroid_disease	CD40 CD86	HLA-A HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5		HLA-DMA HLA-DQB1	CD80 HLA-A HLA-DQA1 HLA-DRB1				HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1		CD80 CD86 HLA-A HLA-DPB1 HLA-DQA1 HLA-E		CD80 CD86 HLA-E
Cell_adhesion_molecules_(CAMs)		HLA-A HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 ITGB8 PDCD1LG2			CD80 CLDN7 HLA-A HLA-DQA1 HLA-DRB1 ITGB8 PDCD1LG2				HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1		CD274 CD80 CD86 HLA-A HLA-DPB1 HLA-DQA1 HLA-E ICAM1 ITGB8 PDCD1LG2 PTPRC PVRL2		CD274 CD80 CD86 CLDN7 HLA-E ICAM1 PVRL2
Chagas_disease_(American_trypanosomiasis)		IFNGR1 IL1B TLR2			C1QA C1QB CCL3 GNA15 IL1B NFKBIA TLR2	C1QC CCL2 CCL3 CCL3L3 IL1B TLR2	C1QA IL1B				C1QA C1QB C1QC CCL2 CCL3 CCL3L3 CCL5 GNA15 IFNGR1 IFNGR2 IL1B NFKB1 NFKBIA TLR2		CCL3 CCL3L3 CCL5 CFLAR IL1B NFKBIA
Chemokine_signaling_pathway	CCL1 CCL18 CCL2 CCR1 STAT1				CCL1 CCL15 CCL18 CCL22 CCL23 CCL3 CCL4 CCL4L2 CCL8 CXCL2 CXCL3 CXCR4 HCK NCF1 NFKBIA	CCL2 CCL20 CCL3 CCL3L3 CCL4 CCL7 CCL8 CXCL2 CXCL3	CCL4 CXCL2 CXCL3				CCL15 CCL18 CCL2 CCL20 CCL3 CCL3L3 CCL4 CCL4L2 CCL5 CCL8 CCR1 CCR7 CXCL2 CXCL3 HCK LYN NCF1 NFKB1 NFKBIA STAT2		CCL18 CCL20 CCL23 CCL3 CCL3L3 CCL4 CCL4L2 CCL5 CCL8 CCR1 CXCL3 LYN NCF1 NFKBIA STAT1
Cytokine-cytokine_receptor_interaction	CCL1 CCL18 CCL2 CCR1 CD40 IFNGR2 INHBA TNFRSF4 TNFRSF9	CCL18 CCL20 CXCL2 CXCR4 IFNGR1 IL10RA IL1B IL2RA			CCL1 CCL15 CCL18 CCL22 CCL23 CCL3 CCL4 CCL4L2 CCL8 CSF2RA CXCL2 CXCL3 CXCR4 IL10RA IL18 IL1B IL2RA IL7R TNFRSF18 TNFRSF9 TNFSF10 TNFSF13B	CCL2 CCL20 CCL3 CCL3L3 CCL4 CCL7 CCL8 CXCL2 CXCL3 IL1B IL3RA INHBA	CCL4 CXCL2 CXCL3 IL1B				CCL15 CCL18 CCL2 CCL20 CCL3 CCL3L3 CCL4 CCL4L2 CCL5 CCL8 CCR1 CCR7 CSF1R CSF2RA CXCL2 CXCL3 IFNGR1 IFNGR2 IL10RA IL15RA IL18 IL1B IL2RA IL3RA IL7R INHBA TNFSF10 TNFSF13B TNFSF9		CCL18 CCL20 CCL23 CCL3 CCL3L3 CCL4 CCL4L2 CCL5 CCL8 CCR1 CXCL3 IL1B IL3RA RELT TNFSF10
Cytosolic_DNA-sensing_pathway					AIM2 CCL4 CCL4L2 IL18 IL1B NFKBIA	CCL4 IL1B	CCL4 IL1B				AIM2 CCL4 CCL4L2 CCL5 DDX58 IL18 IL1B IRF7 NFKB1 NFKBIA		CCL4 CCL4L2 CCL5 IL1B IRF7 NFKBIA
Graft-versus-host_disease		HLA-A HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 IL1B		HLA-DMA HLA-DQB1	CD80 HLA-A HLA-DQA1 HLA-DRB1 IL1B				HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1		CD80 CD86 HLA-A HLA-DPB1 HLA-DQA1 HLA-E IL1B		CD80 CD86 HLA-E IL1B
