	ASCL2	ATF3	FOXO3	HMG20B	HMGA1	HMGN3	KLF10	KLF3	KLF6	NR3C1	PKNOX1	PLSCR1	YBX1
Allograft_rejection	2	7	0	2	4	0	0	0	4	0	6	0	3
Antigen_processing_and_presentation	0	9	3	2	6	0	0	0	4	0	7	0	4
Asthma	0	6	0	2	0	0	0	0	4	0	0	0	0
Autoimmune_thyroid_disease	2	7	0	2	4	0	0	0	4	0	6	0	3
Cell_adhesion_molecules_(CAMs)	0	9	0	0	7	0	0	0	4	0	12	0	7
Chagas_disease_(American_trypanosomiasis)	0	3	0	0	7	6	2	0	0	0	14	0	6
Chemokine_signaling_pathway	5	0	0	0	15	9	3	0	0	0	20	0	15
Cytokine-cytokine_receptor_interaction	9	8	0	0	22	12	4	0	0	0	29	0	15
Cytosolic_DNA-sensing_pathway	0	0	0	0	6	2	2	0	0	0	10	0	6
Graft-versus-host_disease	0	8	0	2	5	0	0	0	4	0	7	0	4
Hematopoietic_cell_lineage	0	7	0	2	9	4	0	0	0	0	9	0	3
Intestinal_immune_network_for_IgA_production	2	7	0	2	5	0	0	0	4	0	6	0	0
Leishmaniasis	2	9	0	5	7	0	0	0	5	0	11	0	5
Measles	3	4	0	0	7	0	0	0	0	0	19	0	7
Mineral_absorption	0	0	0	5	4	6	6	6	0	0	9	0	8
Osteoclast_differentiation	4	0	0	3	6	0	0	0	0	0	17	0	5
Oxidative_phosphorylation	0	0	0	0	0	0	0	0	3	0	0	8	0
PPAR_signaling_pathway	0	0	4	0	0	3	0	0	0	5	5	3	0
Parkinson's_disease	0	0	0	0	0	0	0	0	4	0	0	8	0
Pathogenic_Escherichia_coli_infection	0	2	8	0	0	5	0	0	0	0	0	0	0
Phagosome	0	12	11	6	9	8	0	0	6	0	14	0	0
Rheumatoid_arthritis	2	9	0	2	8	6	0	0	4	0	14	0	8
Staphylococcus_aureus_infection	0	9	0	5	10	2	0	0	4	0	14	0	0
Systemic_lupus_erythematosus	0	6	0	4	8	0	0	0	4	0	15	0	0
Toll-like_receptor_signaling_pathway	3	3	0	0	7	6	2	0	0	0	12	0	11
Toxoplasmosis	4	9	0	3	0	0	0	0	4	0	9	0	0
Tuberculosis	3	14	0	6	12	5	0	0	5	0	16	0	0
Type_I_diabetes_mellitus	0	8	0	2	5	0	0	0	4	0	7	0	4
Viral_myocarditis	3	7	3	2	4	3	0	0	4	0	7	0	4
