	ASCL2	ATF3	FOXO3	HMG20B	HMGA1	HMGN3	KLF10	KLF3	KLF6	NR3C1	PKNOX1	PLSCR1	YBX1
Allograft_rejection	0.0200844516138	4.89869992348e-08	1	0.0120187660367	0.00737289599586	1	1	1	3.3420301806e-06	1	0.00116801505981	1	0.0113882756351
Antigen_processing_and_presentation	1	3.6828662564e-08	0.0468417578705	0.0460930785329	0.0051854250437	1	1	1	6.01434242036e-05	1	0.0119782223461	1	0.0157011293592
Asthma	1	2.84700228947e-07	1	0.00759995809258	1	1	1	1	1.25854672661e-06	1	1	1	1
Autoimmune_thyroid_disease	0.0373064052064	5.35858462714e-07	1	0.0226226132328	0.0231162404022	1	1	1	1.29087829421e-05	1	0.00653364306463	1	0.0277150568195
Cell_adhesion_molecules_(CAMs)	1	4.42709532367e-06	1	1	0.0217045686386	1	1	1	0.000518290010705	1	0.0012852879839	1	0.0013967468075
Chagas_disease_(American_trypanosomiasis)	1	0.0762573236632	1	1	0.00540628311175	0.000109212897482	0.0395300164396	1	1	1	4.64739479056e-06	1	0.00174036357341
Chemokine_signaling_pathway	0.00436309377902	1	1	1	6.8105891643e-06	8.55528596655e-06	0.0190143787816	1	1	1	2.20490517922e-06	1	7.20192605552e-09
Cytokine-cytokine_receptor_interaction	1.39812062914e-05	0.00349798373041	1	1	1.674242045e-08	3.49905257768e-07	0.00771619021295	1	1	1	4.31091207176e-09	1	6.69692222899e-07
Cytosolic_DNA-sensing_pathway	1	1	1	1	0.00162047345249	0.0782209444466	0.0150544869623	1	1	1	2.25034174207e-05	1	0.000106322230551
Graft-versus-host_disease	1	4.57252702368e-09	1	0.0152305354754	0.00175988259156	1	1	1	5.53801114722e-06	1	0.00037383473602	1	0.00188102252874
Hematopoietic_cell_lineage	1	1.70634963618e-05	1	0.0572027328151	7.22928704457e-05	0.00404844560222	1	1	1	1	0.00187928342818	1	0.0958435887054
Intestinal_immune_network_for_IgA_production	0.0299014993054	2.28498947319e-07	1	0.0180366670976	0.00262671729569	1	1	1	7.9473777973e-06	1	0.00357962582848	1	1
Leishmaniasis	0.0646659307181	1.7960255061e-08	1	1.29675978929e-05	0.000644254607021	1	1	1	1.32926118424e-06	1	1.48475557522e-05	1	0.00189462233675
Measles	0.0423420772437	0.0391088747328	1	1	0.0209344546035	1	1	1	1	1	4.09393241529e-08	1	0.0013379765713
Mineral_absorption	1	1	1	2.31856729382e-06	0.0203535260085	1.74213715198e-06	5.42988887187e-09	5.16611975421e-10	1	1	2.77424586074e-05	1	1.60222447865e-07
Osteoclast_differentiation	0.00635953208835	1	1	0.0190084499028	0.0511160755024	1	1	1	1	1	6.47357026318e-07	1	0.0222802166132
Oxidative_phosphorylation	1	1	1	1	1	1	1	1	0.00586885450423	1	1	1.80725534538e-09	1
PPAR_signaling_pathway	1	1	0.00609643843531	1	1	0.0157450280809	1	1	1	1.47151845417e-05	0.0762045578361	0.00121362741193	1
Parkinson's_disease	1	1	1	1	1	1	1	1	0.000436467195628	1	1	1.68577929394e-09	1
Pathogenic_Escherichia_coli_infection	1	0.096303879722	7.03091665999e-08	1	1	4.92808051762e-05	1	1	1	1	1	1	1
Phagosome	1	1.22628521781e-08	3.34176993966e-07	4.08789110584e-05	0.00393846167365	1.34748790304e-05	1	1	2.66559522621e-06	1	0.000329621684777	1	1
Rheumatoid_arthritis	0.096863341722	1.43976885747e-07	1	0.0607035014048	0.000525063098135	5.15855497424e-05	1	1	0.000110107335553	1	9.00086900457e-07	1	1.43840061151e-05
Staphylococcus_aureus_infection	1	1.51787760139e-09	1	3.39272125227e-06	1.27105605041e-07	0.0634583698326	1	1	1.49815160582e-05	1	1.01321750989e-09	1	1
Systemic_lupus_erythematosus	1	0.00173379157761	1	0.00276980875553	0.00674235331632	1	1	1	0.000518290010705	1	2.50905539264e-05	1	1
Toll-like_receptor_signaling_pathway	0.020620485434	0.0728482065151	1	1	0.0048609112737	9.80051306493e-05	0.0381540277981	1	1	1	8.85333512567e-05	1	3.664700432e-08
Toxoplasmosis	0.00688984478694	3.67914669619e-06	1	0.0201884250664	1	1	1	1	0.000476118130877	1	0.0262680490594	1	1
Tuberculosis	0.0847932379492	7.30182914133e-10	1	0.000105395096067	0.000302510651061	0.0105577479394	1	1	0.000117395021084	1	0.000186966087484	1	1
Type_I_diabetes_mellitus	1	5.54872958691e-09	1	0.0159127025242	0.00195325476244	1	1	1	6.08099542232e-06	1	0.000432700132459	1	0.00204986897103
Viral_myocarditis	0.00775136648797	4.05042763307e-06	0.037017587045	0.0388658986567	0.0580243744677	0.0157450280809	1	1	4.14820565099e-05	1	0.0072672175967	1	0.0114111196575
