	ATF5	BATF3	CEBPD	DDIT3	DNMT1	ETS2	ETV5	FOS	HIF1A	HMG20B	HMGA1	IRF1	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	MAFB	MEF2A	MTF1	MXD4	NFAT5	NFE2L2	NFKB2	NR1H3	NR3C1	POU2F2	PPARG	RBPJ	RELA	RUNX1	SP3	STAT1	TSC22D1	XBP1	YBX1	YY1	ZNF267
Allograft_rejection	1	1	1	1	1	0.000490661584438	1	0.859941870347	1	1	1	1	1	0.710126209648	1	1	1	1	1	0.0215903707107	1	1	1	0.00122418411292	0.595079667615	0.588287524758	1	1	1	3.58352996273e-05	1	0.000426576705448	1	1	1	1	1	1	1
Antigen_processing_and_presentation	1	1	1	1	1	1	1	1	1	1	1	1	1	0.72865313906	1	1	1	1	1	4.90414336594e-05	1	1	1	0.0286550493832	1	0.00285800107419	1	1	1	0.000507061705709	1	0.000286818368015	1	1	1	1	1	0.966517478623	1
Asthma	1	1	1	1	1	0.201693129427	1	0.258430744948	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00167801257282	1	0.000122319013688	1	1	1	1	1	1	1
Autoimmune_thyroid_disease	1	1	1	1	1	0.0148512423453	1	1	1	1	1	1	1	1	1	1	1	1	1	0.555213039274	1	1	1	0.0358617201059	1	1	1	1	1	0.00116539127629	1	0.00239292223636	1	1	1	1	1	1	1
Cell_adhesion_molecules_(CAMs)	1	1	1	1	1	0.77406256605	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.462523384703	1	1	1	1	1	0.242726592336	1	0.272175941449	1	1	1	1	1	1	1
Chagas_disease_(American_trypanosomiasis)	1	1	1	1	1	0.00551533323087	1	1	1	1	1	1	0.290736326293	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00196672180523	1	1	1	1	1	1	1	1	1	1	1	1
Chemokine_signaling_pathway	1	0.12732182403	1	1	1	0.094933637295	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.59513149346	1	0.234624584756	0.238594044316	1	1	1	1	1	1	1	1	1	1	1
Cytokine-cytokine_receptor_interaction	1	0.000209405190738	1	1	1	0.000562403940263	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.795328663917	1	1	1	0.000229356171125	1	1	1	1	0.681376202792	1	0.640129542283	1	1	1	1
Cytosolic_DNA-sensing_pathway	1	1	1	1	1	0.0680510947623	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Graft-versus-host_disease	1	1	1	1	1	0.000122870482698	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00787499535032	1	1	1	0.0512388764441	1	0.178041085613	1	1	1	0.000133832002807	1	0.000812466104019	1	1	1	1	1	1	1
Hematopoietic_cell_lineage	1	1	1	1	1	0.00517188863811	1	0.52912095064	1	1	1	1	1	1	1	1	1	1	1	0.0890912198842	1	1	1	0.668856048867	1	1	1	1	1	1.8000306924e-05	1	1	1	1	1	1	1	1	1
Intestinal_immune_network_for_IgA_production	1	1	1	1	1	0.0511830328594	1	1	1	1	1	1	1	0.20469064407	1	1	1	1	1	0.178090288083	1	1	1	0.0109176988974	1	1	1	1	1	0.00520711876113	1	0.00128848512743	1	1	1	1	1	1	1
Leishmaniasis	1	1	1	1	1	3.74125970204e-06	1	0.00905425310076	1	1	1	1	0.753024299063	1	1	1	1	1	1	0.00688340597658	1	1	1	0.00134161214815	1	0.00793834603856	0.00468811515036	1	1	0.221396614393	1	0.0114101108225	1	1	1	1	1	1	1
Measles	1	1	1	1	1	1	1	1	1	1	1	0.131550668819	1	0.176995118129	0.179284299508	0.264664797001	0.0797161487241	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Mineral_absorption	1	1	1	1	1	0.105270440045	1	1	0.0131083305336	1	1	1	1	1	1	1	1	1	1	1	5.55598568116e-05	1	1	1	1	0.776240460025	1	1	1	1	1	1	1	1	1	1	1	1	1
NOD-like_receptor_signaling_pathway	1	0.607467450183	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Osteoclast_differentiation	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0522519277138	1	1	1	0.293687303931	1	1	1	1	1	0.0498133558209	1	1	1	1	1
Oxidative_phosphorylation	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0461886610939	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Parkinson's_disease	0.377533082286	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0447858038616	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0674632215176	1	1
Pathogenic_Escherichia_coli_infection	1	1	1	1	3.69705907888e-05	1	0.999230780382	1	1	0.000292745162337	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.134613001126	1	1	0.0010543594071
Phagosome	1	1	1	0.0180236901108	0.00235189249279	0.00384847003666	0.0220782247433	2.01299109603e-08	1	1	0.00427558013889	1	1	1	1	1	1	1	1	0.000602517157613	1	1	1	0.373737004323	1	5.11451194229e-06	0.000315340399213	1	0.0107331433589	6.26042314549e-05	0.310075573497	0.469526134462	1	1	1	1	1	1	0.175932252952
Rheumatoid_arthritis	1	1	1	1	1	2.32022518976e-07	1	1	1	1	1	1	1	1	1	1	1	0.623015150286	1	8.32583622545e-05	1	1	1	0.154646497279	0.158314084812	0.000434394883641	0.000423379495676	0.00463506866105	1	2.84001864086e-05	1	0.0007340823244	1	1	1	1	1	1	1
Staphylococcus_aureus_infection	1	1	0.00249237765107	1	1	0.0	1	4.29776572097e-05	1	1	1	1	3.61047812181e-06	1	1	1	1	1	0.00244567799562	2.03503930485e-07	1	1	1	1.6801620828e-07	1	0.0	0.000317590736084	1	1	4.88830620871e-07	1	2.93885747071e-07	1	1	1	1	1	1	1
Systemic_lupus_erythematosus	1	1	1	1	1	0.00071918069646	1	1	1	1	1	1	0.0958805167241	1	1	1	1	1	1	0.226394903183	1	1	1	0.0173509245456	1	1	0.264992030693	1	1	0.0388165216026	1	0.000186881508611	1	1	1	1	1	1	1
Toll-like_receptor_signaling_pathway	1	1	1	1	1	0.193561597483	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.127102872736	1	1	1	1	1	1	1	1	1	1	1	1
Toxoplasmosis	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.356653915134	1	1	1	1	1	1	1	0.243912026702	1	1	1	1	1	1	1
Tuberculosis	1	1	1	0.790236110216	1	0.000286162600737	1	0.000201252369594	1	1	1	1	0.0487214455788	1	1	1	1	1	1	0.0543144260901	1	1	0.145320907058	0.167987037544	1	2.86412448158e-05	0.00314796462248	1	1	0.000841034150508	1	0.0435150236456	1	1	1	1	1	1	1
Type_I_diabetes_mellitus	1	1	1	1	1	0.000160639107262	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000978854207024	1	1	1	0.0629693144614	1	0.0227663929456	1	1	1	0.000170637175647	1	0.000915371081737	1	1	1	1	1	1	1
Viral_myocarditis	1	1	1	1	1	0.00347658217638	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0398447035993	1	1	1	0.0789036899271	0.841158049677	0.338509166417	1	1	1	1.28573522513e-05	1	0.0106310352141	1	1	1	1	1	1	1
