	ATF5	BATF3	CEBPD	DDIT3	DNMT1	ETS2	ETV5	FOS	HIF1A	HMG20B	HMGA1	IRF1	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	MAFB	MEF2A	MTF1	MXD4	NFAT5	NFE2L2	NFKB2	NR1H3	NR3C1	POU2F2	PPARG	RBPJ	RELA	RUNX1	SP3	STAT1	TSC22D1	XBP1	YBX1	YY1	ZNF267
Allograft_rejection	CD80 HLA-DMB	CD40 CD86 HLA-E		HLA-DQB1 HLA-DRA		CD80 CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5		HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5				CD40 CD80 HLA-A	HLA-DPA1 HLA-DRA HLA-DRB1	CD40 HLA-DPA1 HLA-DPB1 HLA-DRB1 HLA-DRB5 HLA-E	CD40 CD86 HLA-A HLA-DMB HLA-E	CD40 HLA-DPB1 HLA-DRB5 HLA-E	CD40 CD86 HLA-DMA HLA-E			CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 HLA-E				CD40 CD80 CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-E	CD40 CD80 HLA-A HLA-DQA1 HLA-DQB1 HLA-DRA HLA-E	CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5	CD86 HLA-DPA1 HLA-DPB1 HLA-DRA	CD80 CD86 HLA-A HLA-DRA	CD80 HLA-A HLA-DMB HLA-E	CD40 CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5	CD40 CD80 HLA-A HLA-E	HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1		CD40 CD80 HLA-A HLA-DQA1 HLA-E			HLA-DMA HLA-DMB	CD86 HLA-A HLA-E	
Antigen_processing_and_presentation	CTSB HLA-DMB LGMN		HLA-DMA HSP90AA1 HSPA8 IFI30	CTSS HLA-DQB1 HLA-DRA HSPA5 HSPA8	HSP90AB1 HSPA5	CD74 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5	CALR CTSB HSP90AA1 HSP90AB1 HSPA5 HSPA8	CD74 HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5		HSP90AA1 HSP90AB1 HSPA8	CALR HLA-DQB1 HSP90AA1 HSP90AB1 HSPA5 HSPA8 IFI30	HLA-A PSME1 PSME2 TAP1	CD74 HLA-DPA1 HLA-DRA HLA-DRB1 IFI30	HLA-DPA1 HLA-DPB1 HLA-DRB1 HLA-DRB5 HLA-E PSME1 PSME2 TAP1	HLA-A HLA-DMB HLA-E PSME1 PSME2 TAP1	HLA-DPB1 HLA-DRB5 HLA-E PSME1 TAP1	HLA-DMA HLA-E PSME1 PSME2 TAP1		CTSB HLA-E IFI30 LGMN	CALR CD74 CTSS HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 HLA-E HSP90AA1 HSPA5 HSPA8 IFI30 PSME1			CD74 HLA-DPA1	CD74 CTSB CTSS HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-E HSPA1A LGMN	CALR HLA-A HLA-DQA1 HLA-DQB1 HLA-DRA HLA-E PSME1 PSME2 TAP1	CD74 CTSB HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5 HSP90AA1 HSP90AB1 HSPA5 HSPA8 LGMN	CD74 HLA-DPA1 HLA-DPB1 HLA-DRA HSP90AB1		HLA-A HLA-DMB HLA-E HSPA5 HSPA8 LGMN PSME1 TAP1	CD74 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 HSP90AB1 HSPA1A PSME1	CALR HLA-A HLA-E HSPA1A PSME1 PSME2	CD74 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1	CTSB HSP90AB1 HSPA5 HSPA8			HSP90AA1 HSP90AB1 HSPA5	CALR HLA-DMA HLA-DMB HSPA5	HLA-A HLA-E HSP90AA1 HSP90AB1 HSPA8 TAP1	
Asthma				HLA-DQB1 HLA-DRA		HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5		HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5					HLA-DPA1 HLA-DRA HLA-DRB1	CD40 HLA-DPA1 HLA-DPB1 HLA-DRB1 HLA-DRB5		CD40 HLA-DPB1 HLA-DRB5	CD40 HLA-DMA			HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5				CD40 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1	CD40 HLA-DQA1 HLA-DQB1 HLA-DRA	HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5	HLA-DPA1 HLA-DPB1 HLA-DRA			CD40 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5		HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1					HLA-DMA HLA-DMB		
Autoimmune_thyroid_disease		CD40 CD86 HLA-E		HLA-DQB1 HLA-DRA		CD80 CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5		HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5				CD40 CD80 HLA-A	HLA-DPA1 HLA-DRA HLA-DRB1	CD40 HLA-DPA1 HLA-DPB1 HLA-DRB1 HLA-DRB5 HLA-E	CD40 CD86 HLA-A HLA-DMB HLA-E	CD40 HLA-DPB1 HLA-DRB5 HLA-E	CD40 CD86 HLA-DMA HLA-E			CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 HLA-E				CD40 CD80 CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-E	CD40 CD80 HLA-A HLA-DQA1 HLA-DQB1 HLA-DRA HLA-E	CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5	CD86 HLA-DPA1 HLA-DPB1 HLA-DRA	CD80 CD86 HLA-A HLA-DRA	CD80 HLA-A HLA-DMB HLA-E	CD40 CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5	CD40 CD80 HLA-A HLA-E	HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1		CD40 CD80 HLA-A HLA-DQA1 HLA-E				CD86 HLA-A HLA-E	
Cell_adhesion_molecules_(CAMs)	CD80 HLA-DMB ITGB8 PDCD1LG2	ALCAM CD274 CD40 CD86 HLA-E ICAM1 ITGB8 PDCD1LG2 PVRL2			ALCAM CLDN23 ITGB7	CD80 CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 ICAM1 ITGB8 PDCD1LG2		HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 PTPRC				CD274 CD40 CD80 CLDN7 HLA-A ICAM1 ITGB8 PDCD1LG2 PVRL2	HLA-DPA1 HLA-DRA HLA-DRB1	CD274 CD40 HLA-DPA1 HLA-DPB1 HLA-DRB1 HLA-DRB5 HLA-E	CD274 CD40 CD86 HLA-A HLA-DMB HLA-E ICAM1 ITGB8	CD40 HLA-DPB1 HLA-DRB5 HLA-E	CD274 CD40 CD86 HLA-DMA HLA-E PVRL2	ALCAM CD86 SDC2		CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 HLA-E ITGB8 PDCD1LG2 PTPRC				CD274 CD40 CD80 CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-E PDCD1LG2 PTPRC PVRL2	CD40 CD80 HLA-A HLA-DQA1 HLA-DQB1 HLA-DRA HLA-E ICAM1 ITGB8	CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5 PDCD1LG2 PTPRC SDC2	CD274 CD86 HLA-DPA1 HLA-DPB1 HLA-DRA ITGB8 PDCD1LG2	CD80 CD86 HLA-A HLA-DRA ICAM1 ITGB8		CD40 CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 ICAM1 PTPRC	CD274 CD40 CD80 HLA-A HLA-E ICAM1	HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1		CD274 CD40 CD80 HLA-A HLA-DQA1 HLA-E ICAM1 PVRL2 SDC2				ALCAM CD86 HLA-A HLA-E	
Chagas_disease_(American_trypanosomiasis)		C1QB CCL2 CCL3 CCL3L3 GNA15 IFNGR2 IL1B NFKB1 NFKBIA TLR2		C3 TLR2		C1QA C1QB C1QC CCL2 CCL3 CCL3L3 CCL5 GNA15 IFNGR1 IFNGR2 IL1B NFKB1 NFKBIA TLR2			C1QC CCL5 GNA15 IFNGR2 IL1B TLR2				C1QA C1QB C1QC CCL3 IFNGR1 NFKBIA			C1QC CCL5 GNA15	CCL3 CCL5 CFLAR IFNGR2	CCL3 CCL3L3 FOS	C1QB C1QC CCL2 GNA15 IFNGR1 TLR2	C1QA C1QB C1QC C3 CALR CCL3 IFNGR1 IL1B NFKBIA TLR2			C1QA IFNGR1 IL1B	C1QA C1QB C1QC CCL3 CCL5 GNA15 IFNGR1 IFNGR2 NFKB1 NFKBIA TLR2	CALR CCL2 CCL3 CCL3L3 CCL5 IFNGR2 NFKB1 NFKBIA	C1QA C1QB C1QC C3 CCL3 CCL3L3 IFNGR1 IL1B TLR2	C1QA C1QB C1QC CCL2 CCL3 CCL3L3 FOS IFNGR2 IL1B JUN NFKBIA TLR2	CCL2 CCL3 CCL3L3 IFNGR1 IFNGR2 IL1B JUN		C1QA C1QB CCL2 CCL3 CCL3L3 IFNGR2 IL1B		C1QA C1QB CCL3							
Chemokine_signaling_pathway		CCL1 CCL18 CCL2 CCL3 CCL3L3 CCL4 CCL7 CCL8 CCR1 CCR7 CXCL3 HCK LYN NFKB1 NFKBIA				CCL15 CCL18 CCL2 CCL20 CCL23 CCL3 CCL3L3 CCL4 CCL4L2 CCL5 CCL8 CCR1 CXCL2 CXCL3 HCK NFKB1 NFKBIA						CCL1 CCL15 CCL18 CCL2 CCL5 CCL7 CCL8 CCR7 HCK STAT1 STAT2	CCL22 CCL3 NFKBIA		CCL1 CCL2 CCL3 CCL4L2 CCL5 CCR1 CCR7 FGR PRKACB STAT1 STAT2		CCL3 CCL5 CCR1 PRKACB STAT1 STAT2	CCL1 CCL3 CCL3L3 CCR1	CCL2 CCL20 CCL7 CCL8 CCR1 CXCL2 CXCL3 LYN	CCL20 CCL23 CCL3 CCL4 CCR1 CCR7 CXCL2 CXCL3 FGR HCK LYN NFKBIA PRKACB				CCL18 CCL23 CCL3 CCL5 CCL8 HCK LYN NCF1 NFKB1 NFKBIA	CCL2 CCL20 CCL23 CCL3 CCL3L3 CCL4 CCL4L2 CCL5 CCR7 FGR HCK LYN NFKB1 NFKBIA STAT1	CCL20 CCL22 CCL23 CCL3 CCL3L3 CCL4 CCL4L2 CCL7 CCL8 CXCL2 CXCL3 FGR HCK	CCL15 CCL18 CCL2 CCL20 CCL23 CCL3 CCL3L3 CCL4 CCL4L2 CCL8 CCR1 CXCL2 NFKBIA	CCL15 CCL18 CCL2 CCL20 CCL23 CCL3 CCL3L3 CCL4L2 CCL7 CCL8 CCR1 CXCL2 FGR HCK LYN PRKACB	CCL4L2 CCL5 CCL8 CCR7 CXCL2 CXCL3 FGR HCK NCF1 NFKBIA PRKACB STAT1	CCL1 CCL2 CCL3 CCL3L3 CCL4 CCL4L2 CCR1 PRKACB		CCL3 CCL4	CCL1 CCL15 CCL8 CCR7 CXCL3		CCL1 CCL3 CCL3L3 CCL4 CCL4L2				
Cytokine-cytokine_receptor_interaction		CCL1 CCL18 CCL2 CCL3 CCL3L3 CCL4 CCL7 CCL8 CCR1 CCR7 CD40 CSF1 CSF2RA CXCL3 IFNGR2 IL10RA IL15RA IL18 IL1B IL2RA IL7R INHBA				CCL15 CCL18 CCL2 CCL20 CCL23 CCL3 CCL3L3 CCL4 CCL4L2 CCL5 CCL8 CCR1 CSF1R CSF2RA CXCL2 CXCL3 IFNGR1 IFNGR2 IL18 IL1B IL2RA IL3RA IL7R INHBA						CCL1 CCL15 CCL18 CCL2 CCL5 CCL7 CCL8 CCR7 CD40 IFNGR2 IL15RA IL7R INHBA TNFRSF9 TNFSF10 TNFSF13B TNFSF9	CCL22 CCL3 CSF1R IFNGR1	CCL1 CCL5 CD40 IL15RA IL7R INHBA TNFSF12 TNFSF13B	CCL1 CCL2 CCL3 CCL4L2 CCL5 CCR1 CCR7 CD40 IFNGR2 IL15RA IL2RA IL7R INHBA TNFRSF9 TNFSF10 TNFSF13B TNFSF14	CCL5 CD40 TNFSF10 TNFSF12 TNFSF13B	CCL3 CCL5 CCR1 CD40 IFNGR2 IL15RA INHBA TNFSF10 TNFSF13B	CCL1 CCL3 CCL3L3 CCR1 CSF1 FLT1 INHBA TNFRSF12A	CCL2 CCL20 CCL7 CCL8 CCR1 CSF1R CXCL2 CXCL3 IFNGR1 TNFSF12	CCL20 CCL23 CCL3 CCL4 CCR1 CCR7 CSF1 CSF2RA CXCL2 CXCL3 FLT1 IFNGR1 IL15RA IL18 IL1B IL2RA IL7R TNFRSF12A TNFSF13B TNFSF14 TNFSF9			CCL22 IFNGR1 IL1B TNFSF14	CCL18 CCL23 CCL3 CCL5 CCL8 CD40 CSF1R CSF2RA IFNGR1 IFNGR2 IL10RA IL15RA IL18 IL2RA IL3RA IL7R TNFRSF4 TNFSF10 TNFSF13B TNFSF9	CCL2 CCL20 CCL23 CCL3 CCL3L3 CCL4 CCL4L2 CCL5 CCR7 CD40 IFNGR2 IL7R TNFRSF21 TNFRSF4 TNFSF13B TNFSF9	CCL20 CCL22 CCL23 CCL3 CCL3L3 CCL4 CCL4L2 CCL7 CCL8 CSF1 CXCL2 CXCL3 IFNGR1 IL10RA IL18 IL1B IL2RA RELT TNFRSF12A TNFRSF1B TNFSF14	CCL15 CCL18 CCL2 CCL20 CCL23 CCL3 CCL3L3 CCL4 CCL4L2 CCL8 CCR1 CXCL2 IFNGR2 IL1B	CCL15 CCL18 CCL2 CCL20 CCL23 CCL3 CCL3L3 CCL4L2 CCL7 CCL8 CCR1 CSF1R CSF2RA CXCL2 IFNGR1 IFNGR2 IL18 IL1B IL3RA IL7R INHBA RELT TNFRSF21 TNFSF13B	CCL4L2 CCL5 CCL8 CCR7 CXCL2 CXCL3 FLT1 IFNGR2 IL10RA IL15RA IL18 IL7R TNFRSF12A TNFRSF4 TNFSF10 TNFSF13B TNFSF14 TNFSF9	CCL1 CCL2 CCL3 CCL3L3 CCL4 CCL4L2 CCR1 CD40 CSF2RA IFNGR2 IL1B IL3RA INHBA	CCL1 CCL23 CCL5 CD40 IFNGR2 IL18 TNFRSF18 TNFRSF4 TNFRSF9 TNFSF10 TNFSF13B TNFSF9		CCL1 CCL15 CCL8 CCR7 CSF1 CXCL3 IFNGR1 IL15RA IL18 IL2RA TNFRSF1B TNFSF14	CCL1 CCL15 CCL4 CCL5 CCR7 CD40 FLT1 IFNGR2 IL15RA IL7R INHBA TNFRSF18 TNFRSF4 TNFRSF9 TNFSF10 TNFSF12 TNFSF13B	CCL1 CCL3 CCL3L3 CCL4 CCL4L2 CSF1 IL3RA INHBA TNFRSF12A TNFRSF18			CCL1 INHBA TNFRSF18 TNFRSF9 TNFSF10	
Cytosolic_DNA-sensing_pathway		CCL4 IL18 IL1B NFKB1 NFKBIA				AIM2 CCL4 CCL4L2 CCL5 IL18 IL1B IRF7 NFKB1 NFKBIA TMEM173			CCL5 IL1B PYCARD			AIM2 CASP1 CCL5 DDX58 IRF7 TMEM173		CASP1 CCL5 DDX58 IRF7	AIM2 CASP1 CCL4L2 CCL5 DDX58 IRF7 TMEM173	CCL5 DDX58 IRF7	CASP1 CCL5 DDX58 IRF7 PYCARD							AIM2 CCL5 DDX58 IL18 NFKB1 NFKBIA	CCL4 CCL4L2 CCL5 NFKB1 NFKBIA		CCL4 CCL4L2 DDX58 IL1B IRF7 NFKBIA	AIM2 CCL4L2 IL18 IL1B	AIM2 CCL4L2 CCL5 DDX58 IL18 IRF7 NFKBIA PYCARD	AIM2 CCL4 CCL4L2 IL1B TMEM173	CCL5 DDX58 IL18 IRF7 NFKBIA			AIM2 CASP1 CCL4 CCL5 DDX58 IRF7 NFKBIA PYCARD TMEM173	CCL4 CCL4L2				
Graft-versus-host_disease	CD80 HLA-DMB	CD86 HLA-E IL1B		HLA-DQB1 HLA-DRA		CD80 CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 IL1B		HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5					HLA-DPA1 HLA-DRA HLA-DRB1	HLA-DPA1 HLA-DPB1 HLA-DRB1 HLA-DRB5 HLA-E	CD86 HLA-A HLA-DMB HLA-E	HLA-DPB1 HLA-DRB5 HLA-E	CD86 HLA-DMA HLA-E			CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 HLA-E IL1B			HLA-DPA1 IL1B	CD80 CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-E	CD80 HLA-A HLA-DQA1 HLA-DQB1 HLA-DRA HLA-E	CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5 IL1B	CD86 HLA-DPA1 HLA-DPB1 HLA-DRA IL1B	CD80 CD86 HLA-A HLA-DRA IL1B	CD80 HLA-A HLA-DMB HLA-E	CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 IL1B	CD80 HLA-A HLA-E	HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1		CD80 HLA-A HLA-DQA1 HLA-E			HLA-DMA HLA-DMB	CD86 HLA-A HLA-E	
