	ARID3A	ARNT	ASCL2	ATF3	BATF3	ETS2	ETV5	FOS	FOXO3	HLX	HMG20B	HMGA1	HMGN3	IRF1	JUNB	JUND	KLF10	KLF3	KLF6	LYL1	MAFB	MSC	NFE2L1	NFE2L2	NR3C1	PKNOX1	PLSCR1	RUNX1	SOX4	TCF4	TCF7L2	TFDP2	TGIF1	TSC22D1	YBX1	ZEB2	ZNF143	ZNF385A	ZNF75A
Acute_myeloid_leukemia																					CCND1 PIM1																		
Adherens_junction																															ACTB ACTG1							ACTB ACTG1	
Adipocytokine_signaling_pathway		ACSL1 PRKAA1																								ACSL1 NFKB1 NFKBIA PCK2 PRKAA1 SOCS3													
African_trypanosomiasis								IDO1 IL18				IDO1 IL18 IL1B														ICAM1 IDO1 IL18 IL1B									ICAM1 IL1B				
Alanine,_aspartate_and_glutamate_metabolism		GLUL IL4I1																											ASNS IL4I1										
Allograft_rejection			CD40 CD86	HLA-A HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5						HLA-DPA1 HLA-DRB1	HLA-DMA HLA-DQB1	CD80 HLA-A HLA-DQA1 HLA-DRB1							HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1							CD80 CD86 HLA-A HLA-DPB1 HLA-DQA1 HLA-E			CD40 CD86 HLA-E						CD80 CD86 HLA-E				
Alzheimer's_disease						ATP5G3 CALM3 COX5B MME NDUFB6 NDUFB9			CALM2 CYCS LPL NDUFB6					CALM2 MT-ATP6 MT-CO3 MT-CYB					ATP5G3 NDUFB6		ATP5G3 COX5B CYCS NDUFB6 NDUFB9	CALM3 MT-ATP6 MT-CO3 MT-CYB NDUFB9		ATP5G3 CALM2 COX5B CYCS MME NDUFB9			CALM2 MT-ATP6 MT-CO3 MT-CYB NDUFB9	CALM1 CALM3					COX5B NDUFB6 NDUFB9						
Amino_sugar_and_nucleotide_sugar_metabolism					HEXB NPL	CHI3L1 CHIT1		CHI3L1 CHIT1																															
Amoebiasis				CD14 IL1B SERPINB1 TLR2								CD14 GNA15 IL1B SERPINB1 SERPINB9 TLR2	CD14 IL1B TLR2													CD14 GNA15 IL1B NFKB1 SERPINB1 SERPINB9 TLR2													
Amyotrophic_lateral_sclerosis_(ALS)																													BID CASP1							CYCS TNFRSF1B			
Antigen_processing_and_presentation	CD74 HLA-DRA	HLA-E LGMN		CD74 CTSS HLA-A HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5					CALR HSP90AB1 HSPA8	CD74 HLA-DPA1 HLA-DRB1	HLA-DMA HLA-DQB1	CD74 CTSS HLA-A HLA-DQA1 HLA-DRB1 PSME2							HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1							CTSB HLA-A HLA-DPB1 HLA-DQA1 HLA-E HSPA1A PSME1			HLA-E HSP90AB1 HSPA1A HSPA5 PSME1 PSME2						HLA-E HSPA1A PSME1 PSME2	CD74 HSP90AA1 HSP90AB1 HSPA8			
Apoptosis			BID BIRC3																										BID BIRC3 TNFSF10						CFLAR IL1B IL3RA NFKBIA TNFSF10				
Arachidonic_acid_metabolism					LTA4H PTGDS	CBR3 PTGDS		CBR3 PTGDS						ALOX5 HPGDS LTA4H TBXAS1	ALOX5 LTA4H						CBR3 GPX3 PTGDS																		
Arginine_and_proline_metabolism				ALDH2 GLUL								ALDH2 CKB GLUL SAT1														ALDH2 GLUL LAP3 P4HA1 SAT1													
Arrhythmogenic_right_ventricular_cardiomyopathy_(ARVC)															CTNNB1 SLC8A1																ACTB ACTG1							ACTB ACTG1	
Asthma				HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5						HLA-DPA1 HLA-DRB1	HLA-DMA HLA-DQB1								HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1																				
Autoimmune_thyroid_disease			CD40 CD86	HLA-A HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5						HLA-DPA1 HLA-DRB1	HLA-DMA HLA-DQB1	CD80 HLA-A HLA-DQA1 HLA-DRB1							HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1							CD80 CD86 HLA-A HLA-DPB1 HLA-DQA1 HLA-E			CD40 CD86 HLA-E						CD80 CD86 HLA-E				
B_cell_receptor_signaling_pathway																										DAPP1 FCGR2B IFITM1 LYN NFKB1 NFKBIA									IFITM1 LYN NFKBIA				
Bacterial_invasion_of_epithelial_cells													ACTB ACTG1																		ACTB ACTG1							ACTB ACTG1	
Base_excision_repair																					MPG POLE4			MPG POLE4															
Bladder_cancer																													CDKN1A CDKN2A										
Calcium_signaling_pathway																												CALM1 CALM3 CYSLTR1											
Cardiac_muscle_contraction														MT-CO3 MT-CYB TPM2	SLC8A1 TPM2							MT-CO3 MT-CYB					MT-CO3 MT-CYB												
Cell_adhesion_molecules_(CAMs)				HLA-A HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 ITGB8 PDCD1LG2								CD80 CLDN7 HLA-A HLA-DQA1 HLA-DRB1 ITGB8 PDCD1LG2							HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1							CD274 CD80 CD86 HLA-A HLA-DPB1 HLA-DQA1 HLA-E ICAM1 ITGB8 PDCD1LG2 PTPRC PVRL2			ALCAM CD40 CD86 HLA-E ICAM1						CD274 CD80 CD86 CLDN7 HLA-E ICAM1 PVRL2				
Chagas_disease_(American_trypanosomiasis)	C1QC IFNGR2	GNA15 IFNGR2		IFNGR1 IL1B TLR2			C1QA CCL3L3			C1QA CCL3 CCL5		C1QA C1QB CCL3 GNA15 IL1B NFKBIA TLR2	C1QC CCL2 CCL3 CCL3L3 IL1B TLR2		C1QC FOS IFNGR1		C1QA IL1B			CCL3 CCL3L3						C1QA C1QB C1QC CCL2 CCL3 CCL3L3 CCL5 GNA15 IFNGR1 IFNGR2 IL1B NFKB1 NFKBIA TLR2									CCL3 CCL3L3 CCL5 CFLAR IL1B NFKBIA	C1QA C3 CCL3			
Chemokine_signaling_pathway			CCL1 CCL18 CCL2 CCR1 STAT1				CCL22 CCL3L3	CCL22 CCL5 CCR7 NCF1 NFKBIA STAT1		CCL3 CCL4 CCL5		CCL1 CCL15 CCL18 CCL22 CCL23 CCL3 CCL4 CCL4L2 CCL8 CXCL2 CXCL3 CXCR4 HCK NCF1 NFKBIA	CCL2 CCL20 CCL3 CCL3L3 CCL4 CCL7 CCL8 CXCL2 CXCL3				CCL4 CXCL2 CXCL3			CCL3 CCL3L3 CCR7						CCL15 CCL18 CCL2 CCL20 CCL3 CCL3L3 CCL4 CCL4L2 CCL5 CCL8 CCR1 CCR7 CXCL2 CXCL3 HCK LYN NCF1 NFKB1 NFKBIA STAT2									CCL18 CCL20 CCL23 CCL3 CCL3L3 CCL4 CCL4L2 CCL5 CCL8 CCR1 CXCL3 LYN NCF1 NFKBIA STAT1		CXCL2 CXCL3 CXCR4		
Citrate_cycle_(TCA_cycle)						IDH2 MDH1																		IDH2 MDH1															
Collecting_duct_acid_secretion									ATP6V1D CA2															ATP6V1D CA2															
Colorectal_cancer															CTNNB1 FOS						CCND1 CYCS																		
Complement_and_coagulation_cascades												C1QA C1QB C2 CFD SERPINA1	C1QC C5AR1 CD55 PLAUR		C1QC C3AR1											C1QA C1QB C1QC C2 C3AR1 PLAUR SERPINA1 SERPING1										C1QA C3 F3			
Cysteine_and_methionine_metabolism												ADI1 APIP IL4I1			ADI1 LDHB SDS																								
Cytokine-cytokine_receptor_interaction	CCL1 IFNGR2 TNFRSF9 TNFSF10		CCL1 CCL18 CCL2 CCR1 CD40 IFNGR2 INHBA TNFRSF4 TNFRSF9	CCL18 CCL20 CXCL2 CXCR4 IFNGR1 IL10RA IL1B IL2RA				CCL22 CCL5 CCR7 IL10RA IL15RA IL18 IL7R TNFRSF9		CCL3 CCL4 CCL5 IL7R		CCL1 CCL15 CCL18 CCL22 CCL23 CCL3 CCL4 CCL4L2 CCL8 CSF2RA CXCL2 CXCL3 CXCR4 IL10RA IL18 IL1B IL2RA IL7R TNFRSF18 TNFRSF9 TNFSF10 TNFSF13B	CCL2 CCL20 CCL3 CCL3L3 CCL4 CCL7 CCL8 CXCL2 CXCL3 IL1B IL3RA INHBA				CCL4 CXCL2 CXCL3 IL1B			CCL3 CCL3L3 CCR7						CCL15 CCL18 CCL2 CCL20 CCL3 CCL3L3 CCL4 CCL4L2 CCL5 CCL8 CCR1 CCR7 CSF1R CSF2RA CXCL2 CXCL3 IFNGR1 IFNGR2 IL10RA IL15RA IL18 IL1B IL2RA IL3RA IL7R INHBA TNFSF10 TNFSF13B TNFSF9			CCL1 CCL7 CD40 INHBA TNFSF10 TNFSF13B						CCL18 CCL20 CCL23 CCL3 CCL3L3 CCL4 CCL4L2 CCL5 CCL8 CCR1 CXCL3 IL1B IL3RA RELT TNFSF10	CCL3 TNFRSF12A TNFRSF1B	CXCL2 CXCL3 CXCR4 IFNGR1		CXCL2 IL18 IL2RA
Cytosolic_DNA-sensing_pathway								AIM2 CCL5 IL18 NFKBIA		CCL4 CCL5		AIM2 CCL4 CCL4L2 IL18 IL1B NFKBIA	CCL4 IL1B				CCL4 IL1B									AIM2 CCL4 CCL4L2 CCL5 DDX58 IL18 IL1B IRF7 NFKB1 NFKBIA									CCL4 CCL4L2 CCL5 IL1B IRF7 NFKBIA				
Dilated_cardiomyopathy									ACTB ACTG1 TPM2				ACTB ACTG1 TPM4																		ACTB ACTG1							ACTB ACTG1 TPM4	
ECM-receptor_interaction										CD44 CD47																													
Endocrine_and_other_factor-regulated_calcium_reabsorption															ATP2B1 SLC8A1																								
Epithelial_cell_signaling_in_Helicobacter_pylori_infection								CCL5 NFKBIA																											CCL5 LYN NFKBIA				
Ether_lipid_metabolism															LPCAT2 PLA2G7																								
Fat_digestion_and_absorption						ACAT2 CD36																																	
Fc_gamma_R-mediated_phagocytosis											FCGR1A FCGR3A					FCGR1A FCGR3A										FCGR2A FCGR2B FCGR3A HCK LYN MARCKS NCF1 PTPRC													
Focal_adhesion									ACTB ACTG1 CCND2 FLT1 MYL12A SPP1				ACTB ACTG1 MYL12A SPP1																		ACTB ACTG1 FLT1							ACTB ACTG1	
Folate_biosynthesis												GCH1 GGH																											
Galactose_metabolism																																			AKR1B1 B4GALT1				
Gap_junction									TUBA1A TUBA1B TUBB TUBB2A TUBB4B															PRKACB TUBA1B TUBB2A TUBB4B												TUBA4A TUBB TUBB4B			
Gastric_acid_secretion									ACTB CA2 CALM2															CA2 CALM2 PRKACB				CALM1 CALM3		CA2 CALM2									
Glioma																						CALM3 CDKN2A						CALM1 CALM3	CALM1 CDKN1A CDKN2A										
Glutathione_metabolism					GCLC IDH2 MGST1	GCLC GSTM4 IDH2 MGST1								GCLC IDH2							GPX3 GSTM4			GCLC GPX3 IDH2 MGST1	GCLC MGST1														
Glycerolipid_metabolism												AKR1B1 ALDH2 GK																											
Glycerophospholipid_metabolism																														GPAT2 GPD1									
Glycine,_serine_and_threonine_metabolism																													ALAS1 PHGDH PSAT1										
Glycolysis_/_Gluconeogenesis														FBP1 GALM LDHB																									
Glyoxylate_and_dicarboxylate_metabolism						ACAT2 MDH1			ACAT2 MDH1												ACAT2 MDH1			ACAT2 MDH1	ACAT2 MDH1														
GnRH_signaling_pathway																												CALM1 CALM3											
