	ARID3A	ARNT	ASCL2	ATF3	BATF3	ETS2	ETV5	FOS	FOXO3	HLX	HMG20B	HMGA1	HMGN3	IRF1	JUNB	JUND	KLF10	KLF3	KLF6	LYL1	MAFB	MSC	NFE2L1	NFE2L2	NR3C1	PKNOX1	PLSCR1	RUNX1	SOX4	TCF4	TCF7L2	TFDP2	TGIF1	TSC22D1	YBX1	ZEB2	ZNF143	ZNF385A	ZNF75A
Acute_myeloid_leukemia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adherens_junction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0
Adipocytokine_signaling_pathway	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
African_trypanosomiasis	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0
Alanine,_aspartate_and_glutamate_metabolism	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Allograft_rejection	0	0	2	7	0	0	0	0	0	2	2	4	0	0	0	0	0	0	4	0	0	0	0	0	0	6	0	0	3	0	0	0	0	0	3	0	0	0	0
Alzheimer's_disease	0	0	0	0	0	6	0	0	4	0	0	0	0	4	0	0	0	0	2	0	5	5	0	6	0	0	5	2	0	0	0	0	3	0	0	0	0	0	0
Amino_sugar_and_nucleotide_sugar_metabolism	0	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amoebiasis	0	0	0	4	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
Amyotrophic_lateral_sclerosis_(ALS)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0
Antigen_processing_and_presentation	2	2	0	9	0	0	0	0	3	3	2	6	0	0	0	0	0	0	4	0	0	0	0	0	0	7	0	0	6	0	0	0	0	0	4	4	0	0	0
Apoptosis	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0	0
Arachidonic_acid_metabolism	0	0	0	0	2	2	0	2	0	0	0	0	0	4	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arginine_and_proline_metabolism	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Arrhythmogenic_right_ventricular_cardiomyopathy_(ARVC)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0
Asthma	0	0	0	6	0	0	0	0	0	2	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Autoimmune_thyroid_disease	0	0	2	7	0	0	0	0	0	2	2	4	0	0	0	0	0	0	4	0	0	0	0	0	0	6	0	0	3	0	0	0	0	0	3	0	0	0	0
B_cell_receptor_signaling_pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	3	0	0	0	0
Bacterial_invasion_of_epithelial_cells	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0
