	ARID3A	ARNT	ASCL2	ATF3	BATF3	ETS2	ETV5	FOS	FOXO3	HLX	HMG20B	HMGA1	HMGN3	IRF1	JUNB	JUND	KLF10	KLF3	KLF6	LYL1	MAFB	MSC	NFE2L1	NFE2L2	NR3C1	PKNOX1	PLSCR1	RUNX1	SOX4	TCF4	TCF7L2	TFDP2	TGIF1	TSC22D1	YBX1	ZEB2	ZNF143	ZNF385A	ZNF75A
Acute_myeloid_leukemia	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0675697822061	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Adherens_junction	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0108829796369	1	1	1	1	1	1	0.00221412766333	1
Adipocytokine_signaling_pathway	1	0.0395439046792	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0224403881987	1	1	1	1	1	1	1	1	1	1	1	1	1
African_trypanosomiasis	1	1	1	1	1	1	1	0.0244730361091	1	1	1	0.0346085279006	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0245542555531	1	1	1	1	1	1	1	1	0.0697171440957	1	1	1	1
Alanine,_aspartate_and_glutamate_metabolism	1	0.00927684035099	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0333620166128	1	1	1	1	1	1	1	1	1	1
Allograft_rejection	1	1	0.0200844516138	4.89869992348e-08	1	1	1	1	1	0.0129276977978	0.0120187660367	0.00737289599586	1	1	1	1	1	1	3.3420301806e-06	1	1	1	1	1	1	0.00116801505981	1	1	0.00468724818664	1	1	1	1	1	0.0113882756351	1	1	1	1
Alzheimer's_disease	1	1	1	1	1	0.00356279267173	1	1	0.0930416823658	1	1	1	1	0.0373605164975	1	1	1	1	0.0818716202302	1	0.00757257725092	0.000143316318162	1	0.0264320374749	1	1	0.000108054994058	0.00751023380646	1	1	1	1	0.00641954879892	1	1	1	1	1	1
Amino_sugar_and_nucleotide_sugar_metabolism	1	1	1	1	0.0246092733047	0.0692885689748	1	0.0438381448774	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Amoebiasis	1	1	1	0.0174050948474	1	1	1	1	1	1	1	0.0207806995797	0.0433528040461	1	1	1	1	1	1	1	1	1	1	1	1	0.0505590431213	1	1	1	1	1	1	1	1	1	1	1	1	1
Amyotrophic_lateral_sclerosis_(ALS)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0796356239023	1	1	1	1	1	1	0.0158672971536	1	1	1
Antigen_processing_and_presentation	0.0596436859032	0.0493610505549	1	3.6828662564e-08	1	1	1	1	0.0468417578705	0.00524342817323	0.0460930785329	0.0051854250437	1	1	1	1	1	1	6.01434242036e-05	1	1	1	1	1	1	0.0119782223461	1	1	6.32200126642e-05	1	1	1	1	1	0.0157011293592	0.000175753467081	1	1	1
