	AHR	ARID3A	ARID5B	ARNT	ASCL2	ATF3	ATF4	ATF5	BATF	BATF3	BBX	BCL11A	BHLHE41	CEBPD	CEBPG	CEBPZ	CREB3	CREB3L2	CREM	CUX1	DBP	DDIT3	DNMT1	DNTTIP1	EGR2	EPAS1	ETS2	ETV5	ETV6	FOS	FOXO3	GTF2B	GTF3A	HBP1	HES6	HIF1A	HLX	HMG20A	HMG20B	HMGA1	HMGN3	IRF1	IRF2	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	JUNB	JUND	KLF10	KLF3	KLF6	LCORL	LYL1	MAFB	MAFF	MECP2	MEF2A	MITF	MSANTD3	MSC	MTF1	MXD1	MXD4	NFAT5	NFE2L1	NFE2L2	NFIC	NFKB1	NFKB2	NR1H3	NR3C1	PKNOX1	PLSCR1	POGK	POU2F2	PPARG	RBPJ	REL	RELA	RELB	RREB1	RUNX1	SNAI3	SOX4	SP3	STAT1	STAT2	STAT3	STAT4	STAT5A	TCF4	TCF7L2	TFDP2	TFEB	TFEC	TGIF1	THAP1	TSC22D1	XBP1	XPA	YBX1	YY1	ZBTB43	ZEB2	ZHX1	ZNF143	ZNF22	ZNF267	ZNF274	ZNF281	ZNF32	ZNF322	ZNF37A	ZNF394	ZNF444	ZNF524	ZNF580	ZNF677	ZNF75A	ZNF780A
ABC_transporters	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0443277988531	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Adherens_junction	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.032591733922	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00779808551065	1	1	1	1	1	1	1	1	1	1	1	1
Adipocytokine_signaling_pathway	1	1	1	1	1	1	0.0903393876285	1	1	0.0105788842271	1	1	1	1	1	1	1	1	1	1	0.0469310276572	1	1	1	1	1	0.00596783431884	1	1	1	1	1	1	1	1	0.067261418404	1	1	1	1	1	1	1	1	1	0.0884174450014	1	1	1	1	1	1	1	0.00230240016198	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00386675246177	1	1	1	1	1	0.0735488129521	1	1	1	1	1	1	1	1	1	1	1	0.0719828823718	1	0.0324553189589	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0613694822205	1	1	1	1	1	1
African_trypanosomiasis	1	1	0.01266905958	1	1	1	1	1	1	0.0297234425307	1	1	1	1	1	1	1	1	1	1	0.00776805455041	1	1	1	1	1	0.0507206071079	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.032804884556	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00805253369898	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0121095953982	1	0.0664078743006	1	1	1	1	0.0110346296848	1	1	1	1	1	1	1	1	0.00219437432513	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Alanine,_aspartate_and_glutamate_metabolism	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.082455329797	1	1	1	1	1	1	1	1	1	1	1	0.0418578250042	1	1	1	1	1	1	1	1	1	1	1	0.0511908401913	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00653647486721	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Aldosterone-regulated_sodium_reabsorption	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0359038966055	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Allograft_rejection	1	1	1	1	1	1	1	0.0639747909364	1	0.0367501144009	1	1	1	1	0.021215702258	1	1	1	1	1	1	0.0148326029776	1	1	1	1	1.23362393634e-08	1	1	2.17107695308e-05	0.0179017015498	1	1	1	1	1	1	1	1	1	0.00406068880853	0.042681534334	1	0.000732694756382	1.79247850581e-05	0.00216337217023	0.000183734888694	0.00348586192913	1	1	1	1	1	0.0381662467552	1	1	1	1	1	5.43618962401e-07	0.0272560318103	1	1	1	1	1	1	1	3.07893388563e-08	1	1	1.50177834098e-05	1.4845248934e-05	0.00266387973954	1	1	1	0.0107673099574	0.0228257061755	9.00203467324e-10	1	0.0104964753175	1	0.00462190910273	1.07242050795e-08	1	1	1	0.00823892138152	0.0548978816139	0.0121897473762	0.0742778791704	0.00663742077352	1	1	1	1	1	1	1	1	1	1	0.0693276418447	0.0029420709847	1	1	1	1	1	1	0.0285383978587	1	1	1	1	0.0131590077228	1	1	1	1	1	1
Alzheimer's_disease	1	1	1	1	0.0433325700512	0.0112057086945	1	0.0339435403181	1	1	1	1	1	1	1	0.0110569448579	1	1	1	1	0.0128550426329	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0472786431651	1	1	1	1	1	1	1	1	1	1	1	0.0652167045053	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0259425960577	1	1	1	1	1	1	1	0.00421756988995	1	1	0.0138395121645	1	1	1	1	1	1	1	0.025097505372	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00265472497371	1	1	1	1	0.0803446642927	1	1	1	1	1	1	1	1	0.0233219002011	1	1	1	1	1
Amino_sugar_and_nucleotide_sugar_metabolism	1	1	1	1	1	1	1	0.0958656904258	1	1	1	0.0770888665765	1	1	0.0328048845562	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0858898111059	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Amoebiasis	1	1	0.094140542466	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.094140542466	1	1	1	1	0.012761144116	1	1	1	1	1	1	1	1	0.0543196914283	1	1	1	1	1	1	1	0.0886471924191	1	1	1	1	1	1	1	1	1	1	1	1	0.0218938457356	1	1	0.0811701650182	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0218938457356	1	1	1	0.0353134317427	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00668234532081	1	1	1	1	1	1	1	1
