TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
IRF7	WP619	Type_II_interferon_signaling_(IFNG)	32	0	124	12	1.15065734718e-11	3.93421253575e-07	EIF2AK2 GBP1 ICAM1 IFI6 IFIT2 IFNGR2 IRF1 ISG15 OAS1 SOCS3 STAT1 STAT2
IRF9	WP619	Type_II_interferon_signaling_(IFNG)	32	0	88	10	9.42360633971e-11	3.22193100755e-06	EIF2AK2 GBP1 IFI6 IFIT2 IFNGR2 ISG15 OAS1 SOCS3 STAT1 STAT2
IRF1	WP619	Type_II_interferon_signaling_(IFNG)	32	0	132	11	2.67835309486e-10	9.15702139603e-06	EIF2AK2 GBP1 ICAM1 IFI6 IFIT2 IFNGR2 ISG15 OAS1 SOCS3 STAT1 STAT2
STAT2	WP619	Type_II_interferon_signaling_(IFNG)	32	0	113	10	1.13737941287e-09	3.88847273673e-05	EIF2AK2 GBP1 ICAM1 IFI6 IFIT2 IRF1 ISG15 OAS1 STAT1 STAT2
PKNOX1	WP619	Type_II_interferon_signaling_(IFNG)	32	0	256	13	2.12732209626e-09	7.27267605047e-05	CYBB GBP1 ICAM1 IFI6 IFIT2 IFNGR1 IFNGR2 IL1B IRF1 ISG15 OAS1 SOCS3 STAT2
ETS2	WP2865	IL1_and_megakaryotyces_in_obesity	25	0	162	10	2.40231401438e-09	8.21255068957e-05	CCL2 HBEGF ICAM1 IL18 IL1B MMP9 NFKB1 S100A9 TIMP1 TLR2
STAT1	WP619	Type_II_interferon_signaling_(IFNG)	32	0	172	11	4.64290272895e-09	0.000158717629789	EIF2AK2 GBP1 ICAM1 IFI6 IFIT2 IFNGR2 IRF1 ISG15 OAS1 SOCS3 STAT2
IRF5	WP619	Type_II_interferon_signaling_(IFNG)	32	0	69	8	7.85139098181e-09	0.000268391949322	EIF2AK2 GBP1 IFI6 IFIT2 ISG15 OAS1 STAT1 STAT2
BATF3	WP2865	IL1_and_megakaryotyces_in_obesity	25	0	133	9	8.22299162095e-09	0.000281086522579	CCL2 HBEGF ICAM1 IL18 IL1B MMP9 NFKB1 TIMP1 TLR2
NFKB2	WP619	Type_II_interferon_signaling_(IFNG)	32	0	114	9	2.47764845307e-08	0.000846909794228	EIF2AK2 ICAM1 IFI6 IFIT2 IFNGR2 IRF1 OAS1 SOCS3 STAT1
