	ARID3A	ASCL2	BATF3	BCL11A	DBP	DNMT1	ETS2	HMG20B	HMGN3	IRF1	IRF5	IRF7	IRF9	JUNB	MECP2	MITF	MSANTD3	MXD4	NFE2L2	NFKB2	NR3C1	PKNOX1	POU2F2	PPARG	RBPJ	REL	RELA	SOX4	STAT1	STAT2	STAT3	STAT4	STAT5A	ZNF267	ZNF444
Cholesterol_Biosynthesis	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.41406919257	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Complement_Activation,_Classical_Pathway	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.274116416533	1	1
EBV_LMP1_signaling	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.734234033983	1	1	1	1	1	1	1	1	1
Eicosanoid_Synthesis	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0475407793072	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IL1_and_megakaryotyces_in_obesity	1	1	0.000281086522579	1	0.368958023551	1	8.21255068957e-05	1	0.166221834703	1	1	1	1	1	1	1	1	1	1	1	0.173873633554	1	0.0322711555595	1	0.00490190660984	1	1	1	1	1	1	1	1	1	1
NRF2_pathway	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.566893391937	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Oxidative_Stress	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.600437423803	1	1	1	1	1	1	1	1	1	1	1	1	1
Oxidative_phosphorylation	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0176629121839	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Pathogenic_Escherichia_coli_infection	1	1	1	1	1	0.00086750502495	1	0.0735110758851	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.196186064492	1
Prostaglandin_Synthesis_and_Regulation	1	1	1	1	0.0450430584324	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Spinal_Cord_Injury	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.469657241635	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TP53_Network	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.409888015669	1	1	1	1	1	1	1
TSLP_Signaling_Pathway	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.522188277668	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Toll-like_receptor_signaling_pathway	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.726500780735	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Type_II_interferon_signaling_(IFNG)	0.204153262933	0.786262664442	1	0.00884691842739	1	1	1	1	1	9.15702139603e-06	0.000268391949322	3.93421253575e-07	3.22193100755e-06	0.799468890569	1	1	1	1	0.135513079865	0.000846909794228	1	7.27267605047e-05	0.0135265113906	0.124061518055	1	1	0.0126247064146	1	0.000158717629789	3.88847273673e-05	0.00251077336455	0.0398301261273	1	1	0.718134853787
