	ARID3A	ASCL2	BATF3	BCL11A	DBP	DNMT1	ETS2	HMG20B	HMGN3	IRF1	IRF5	IRF7	IRF9	JUNB	MECP2	MITF	MSANTD3	MXD4	NFE2L2	NFKB2	NR3C1	PKNOX1	POU2F2	PPARG	RBPJ	REL	RELA	SOX4	STAT1	STAT2	STAT3	STAT4	STAT5A	ZNF267	ZNF444
Cholesterol_Biosynthesis	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.21214634827e-05	1	1	1	1	1	1	1	1	0.0139785989576	1	1	0.00615653783537	1	1	1	1	1	1	1	1
Complement_Activation,_Classical_Pathway	1	1	0.0532030971732	0.0358441610066	1	1	0.000869674814721	1	0.00916104431828	1	1	1	1	1	1	1	1	1	0.00213122401993	1	0.00203584402713	0.00470467554768	1	1	0.0016245959673	1	1	1	1	1	1	0.0510675081219	8.02378059694e-06	1	1
EBV_LMP1_signaling	1	1	1	1	0.0322633167529	1	0.00610794677294	1	1	1	1	1	1	1	1	1	1	1	0.0140422790771	0.000146182023024	0.0689606531147	0.00565312427171	1	0.0318579494055	1	2.14983759548e-05	0.0950430103024	1	0.0442992394067	0.0964874300598	1	0.00277154256478	1	1	1
Eicosanoid_Synthesis	1	0.0224164327289	1	1	0.00204689080468	1	1	1	1	0.0175458934672	1	0.0966606467832	0.053135475692	1	1	1	1.39126099052e-06	1	1	1	0.0586347506076	0.0923457715064	1	0.00337222607323	0.0509918696144	1	0.0112735945031	1	0.00538102800567	1	1	1	1	1	1
IL1_and_megakaryotyces_in_obesity	1	1	8.22299162095e-09	1	1.08002465766e-05	1	2.40231401438e-09	0.0280536779447	4.86498184515e-06	1	1	1	1	0.011073836365	1	0.00984990973538	1	1	0.0187991692595	0.0191347703902	5.0890836959e-06	0.000201396679246	9.44318943041e-07	1	1.4341866672e-07	0.0147575307022	0.0182576481905	1	1	1	0.00369691477481	0.000410629755445	9.35540315022e-05	1	1
NRF2_pathway	0.0316899809762	1	0.0371570965184	0.00345471278719	0.0302481791713	1	0.0177765804973	0.0616419124364	1	1	1	1	1	0.00503028253994	1	1.65966973662e-05	1	1	0.0150071951271	0.00526884987896	0.0171061264032	0.00643232746073	1	1	0.0001562485103	0.0208692347763	0.0148812281678	1	1	1	0.0037806305463	0.0121459810061	1	1	1
Oxidative_Stress	0.00219092640048	0.0462501059618	0.00128163364399	0.0287752281669	0.0556925534813	1	0.000427388386405	0.0417790572993	1	0.00882618372904	0.0692346643634	1	1	1	1	1	1	1	0.0015177729152	0.000636795386686	0.000247400930884	1.75792664189e-05	0.000611567895431	0.000292199704416	0.00017100048158	0.0222392112926	0.000587101317289	0.00113982087249	0.00396856285766	1	0.0461983400095	0.00115670689353	0.0374849585748	1	0.0447405735646
Oxidative_phosphorylation	1	1	1	1	1	1	1	1	1	1	0.0715312254306	0.0947418381183	0.0340431603636	1	1	1	1	5.16837225573e-07	1	1	1	1	0.0727292774894	1	1	1	1	1	1	0.0727292774894	1	1	1	1	1
Pathogenic_Escherichia_coli_infection	1	1	1	0.0383776235737	1	2.53797438621e-08	1	2.15133379822e-06	0.00326791026822	1	1	1	1	0.0994128937905	1	1	1	1	0.0987462671422	1	1	1	1	0.00197504491914	1	1	0.0104560038779	1	0.0537214865361	1	1	1	1	5.7423112686e-06	1
Prostaglandin_Synthesis_and_Regulation	1	0.0435719033131	0.000120119937635	1	1.31812766102e-06	1	0.0158221889508	0.0393444297136	0.0393444297136	0.00784718307023	1	1	0.0993923790259	1	1	0.0140160646612	0.00699970392045	1	0.00736826357283	0.0310846450593	0.0182691613336	0.00382749801811	1	0.0626060677063	0.0148246415038	1	1	1	0.0193187311052	1	1	1	1	1	0.0421443156995
Spinal_Cord_Injury	1	1	0.0159069588301	1	0.0163289903432	1	0.00609570811107	1	1	0.0426692584617	1	0.0319450581228	1	1	1	0.0361853123599	1	1	0.0290603879986	1	1.37491507841e-05	0.0013508439084	0.0062307779494	1	0.000225290269828	1	1	1	0.0597004010034	0.0204050472375	0.0963541702349	0.00121536270885	0.0313174193933	1	1
TP53_Network	1	1	1	0.0750254951832	1	1	1	0.00128829900366	1	1	1	1	1	0.00676106895429	1	1	1	1	0.0549561218061	1	1	1	0.0115494300686	1	1	1	0.0812051678531	1.19987124402e-05	0.0349904583672	1	1	1	1	1	1
TSLP_Signaling_Pathway	1	1	0.00033736092535	1	1	1	0.00551267335903	1	1	0.0438465620825	1	0.0360965703908	1	1	1	1	1	1	0.000958645154865	1.52874371353e-05	1	0.00380698922136	0.0268573591156	0.00390675070141	1	0.0536190545724	1	1	0.0955081728134	0.0268573591156	0.00176743407305	0.00183876837542	0.0877516927307	1	1
Toll-like_receptor_signaling_pathway	1	1	0.00666339609173	0.0745991248753	1	1	0.000132587230723	1	0.000707521700465	1	0.0569453414625	0.0461267313111	0.010230871214	1	1	1	1	1	0.00119708545863	0.000602566016002	2.1271323439e-05	0.000264282388554	0.089412748021	0.0394190799061	0.00918030368669	0.00723602095196	0.0301871902053	1	0.027980240675	0.00942177257281	0.00555504809698	0.00581782387836	0.00346519764555	1	1
Type_II_interferon_signaling_(IFNG)	5.97568384653e-06	2.30224485958e-05	0.00148649790362	2.58848335988e-07	0.00693093147023	1	6.12171428588e-05	1	1	2.67835309486e-10	7.85139098181e-09	1.15065734718e-11	9.42360633971e-11	2.34098237407e-05	1	0.000896088758548	1	1	3.96608170994e-06	2.47764845307e-08	0.0217249730678	2.12732209626e-09	3.95789776175e-07	3.63082086263e-06	0.00214013103601	0.0236109694388	3.69391883859e-07	0.000104203720591	4.64290272895e-09	1.13737941287e-09	7.34573833983e-08	1.16554373708e-06	0.00374008808805	1	2.10257606145e-05
