	AHR	ARID3A	ARID5B	ARNT	ASCL2	ATF3	ATF4	ATF5	BATF	BATF3	BBX	BCL11A	BHLHE41	CDC5L	CEBPD	CEBPG	CEBPZ	CREB3	CREB3L2	CREM	CUX1	DBP	DDIT3	DNMT1	DNTTIP1	EGR2	EPAS1	ETS2	ETV5	FOS	FOXO3	GTF3A	HBP1	HES6	HIF1A	HLX	HMG20B	HMGA1	HMGN3	IRF1	IRF2	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	JUNB	JUND	KLF10	KLF3	KLF6	LCORL	LYL1	MAFB	MAFF	MBD2	MECP2	MEF2A	MITF	MSANTD3	MSC	MTF1	MTF2	MXD1	MXD4	NFAT5	NFE2L1	NFE2L2	NFIC	NFKB1	NFKB2	NR1H3	NR3C1	PKNOX1	PLSCR1	POU2F2	PPARG	RBPJ	REL	RELA	RELB	RREB1	RUNX1	SNAI3	SOX4	SP3	STAT1	STAT2	STAT3	STAT4	STAT5A	TCF4	TCF7L2	TFDP2	TFEB	TFEC	TGIF1	THAP1	TSC22D1	XBP1	XPA	YBX1	YBX3	YY1	ZBTB43	ZEB2	ZHX1	ZNF143	ZNF267	ZNF274	ZNF281	ZNF322	ZNF350	ZNF37A	ZNF385A	ZNF394	ZNF444	ZNF580	ZNF75A	ZNF780A
AGE/RAGE_pathway						CYCS JUN LGALS3 MMP7 MMP9			MMP7 STAT1			CYCS MMP7 MSR1 STAT1							LGALS3 MSR1 STAT1			LGALS3 NFKB1 NFKBIA						HIF1A LGALS3 MMP14 MMP9 NFKB1 NFKBIA	CYCS LGALS3 MMP9	JUN MMP7 NCF1 NFKBIA STAT1								CYCS HIF1A LGALS3 MMP7 MMP9 MSR1 NCF1 NFKBIA				LGALS3 NFKBIA						MMP7 MSR1 NCF1 STAT1		CYCS LGALS3 MMP9		NCF1 NFKB1 NFKBIA	CYCS MSR1	MMP7 MSR1						LGALS3 STAT1									CYCS HIF1A LGALS3 MMP14 NCF1 NFKB1 NFKBIA			LGALS3 MMP14 NFKB1 NFKBIA STAT1	CYCS HIF1A LGALS3 MMP7 MMP9	HIF1A JUN LGALS3 MMP14 NCF1 NFKBIA	CYCS HIF1A LGALS3 MMP14 MMP9 NCF1 NFKB1 NFKBIA		CYCS HIF1A JUN MMP9	CYCS MMP7 MMP9 MSR1 NCF1 NFKBIA STAT1			MMP7 MSR1 NCF1 NFKBIA STAT1	HIF1A NFKBIA							LGALS3 MMP14 MSR1 NCF1 NFKBIA STAT1		HIF1A JUN LGALS3 MMP9 NFKBIA	MMP7 MMP9 STAT1											HIF1A LGALS3 MMP7 NCF1 NFKBIA STAT1		MMP7 STAT1																
ATM_Signaling_Pathway						CDKN1A JUN																				CDKN1A JUN																																																													CDKN1A JUN																																		
Adipogenesis	HMGA1 NR1H3 NR3C1					AHR CDKN1A CFD DDIT3 EGR2 HMGA1				CDKN1A HMGA1 LPL NAMPT NR3C1 PLIN2 SOCS3		CDKN1A CFD NR1H3 PLIN2 SCD STAT1											AHR CDKN1A HIF1A LPL			CDKN1A CEBPD CFD DDIT3 EGR2 GADD45B HIF1A HMGA1 KLF6 LPL NR1H3		AHR CTNNB1 HIF1A HMGA1 NAMPT NR3C1 SCD SOCS3	CDKN1A DDIT3 HMGA1 ID3 NR1H3						EGR2 KLF6 PCK2 SOCS3 STAT2			AHR CEBPD CFD DDIT3 EGR2 HIF1A KLF6 LPL NAMPT NR1H3 PLIN2 PPARG								PLIN2 PPARG SOCS3 STAT1 STAT2		CDKN1A CEBPD CTNNB1 EGR2 NR1H3 SOCS3 STAT1							AHR CFD HMGA1 KLF6 NAMPT	EGR2 HMGA1 NR1H3									HMGA1 NR3C1			CDKN1A HMGA1 NR1H3					AHR CDKN1A DDIT3 EGR2 HIF1A HMGA1 NAMPT SCD		AHR CEBPD HIF1A HMGA1 KLF6 NAMPT NR3C1 PCK2 PLIN2 PPARG SOCS3 STAT2		AHR CFD HIF1A NR3C1 PCK2 SOCS3					HIF1A PLIN2					CDKN1A CEBPD EGR2 HIF1A											HIF1A KLF6 NAMPT		CDKN1A CFD EGR2 LPL NR1H3				NR3C1 SCD				NAMPT SOCS3	DDIT3 EGR2 HMGA1				EGR2 HMGA1 NR1H3				GADD45B PCK2 PLIN2 PPARG SOCS3			CDKN1A HMGA1 NR1H3	
Aflatoxin_B1_metabolism															AKR7A2 EPHX1																							AKR7A2 EPHX1																																																																																			
Allograft_Rejection	IL2RA LRRK2 VIM		IL1B VIM		CD40 CD86 STAT1	C3 HLA-DRB5 IL1B IL2RA LRRK2 TUBA1A				CD40 CD86 IL1B IL2RA VIM	C3 TUBA1A TUBA1B								STAT1 TUBA1A TUBA1B					TUBA1A TUBA1B		C3 CD80 IL2RA LRRK2 TUBA1A TUBA1B		CD80 CD86 HLA-DRB5 IL1B IL2RA LRRK2 VIM		HLA-DRB5 STAT1 VIM	C3 TUBA1A TUBA1B				IL1B IL2RA TUBA1B	LRRK2 VIM		C3 CD80 IL1B IL2RA LRRK2 TUBA1B					CD40 HLA-DRB5 STAT1	CD40 CD86 IL2RA STAT1 VIM	CD40 HLA-DRB5 VIM	CD40 CD86 STAT1	CD86 TUBA1A VIM					CD80 IL2RA TUBA1A							C3 CD86 HLA-DRB5 IL1B IL2RA LRRK2 TUBA1B VIM								IL1B VIM		C3 CD40 CD80 CD86 IL2RA LRRK2 TUBA1B VIM				C3 CD86 HLA-DRB5 IL1B IL2RA LRRK2 TUBA1B VIM	CD86 IL1B LRRK2 TUBA1A VIM	C3 CD40 CD80 CD86 IL1B IL2RA LRRK2 TUBA1B VIM		CD80 CD86 IL1B VIM	C3 CD80 STAT1 TUBA1A TUBA1B	CD40 CD86 HLA-DRB5 IL1B VIM		CD40 CD80 STAT1 TUBA1B					CD40 CD86 VIM		C3 CD40 CD80 TUBA1A TUBA1B		C3 CD80 CD86 IL1B IL2RA STAT1 TUBA1B	C3 IL1B IL2RA LRRK2 VIM	CD86 IL1B IL2RA STAT1				C3 IL1B IL2RA VIM					TUBA1A TUBA1B		C3 CD80 CD86 IL1B STAT1		CD86 STAT1															C3 IL2RA	
Alzheimers_Disease																	CYCS SNCA					CALM1 CALM3 IL1B MME SNCA																																										CHP1 LPL			CALM3 IL1B SNCA																	CALM1 CALM3	IL1B MME																																	BID CALM2 CALM3 SNCA			
Amyotrophic_lateral_sclerosis_(ALS)																																								BID CARD16 CASP1																				BID CARD16 CASP1																BID CASP1										BID CASP1																															BID CARD16				
Androgen_receptor_signaling_pathway	CCND1 NCOA4 RAN																CDKN1A MDM2						CDKN1A RAN						CALR CCND1 CDKN1A FKBP4 NCOA4 RAN			CALR CCND1 RAN					CDKN1A NCOA4 RAN																																																																																				
Angiogenesis						MMP9 TIMP3																				HIF1A TIMP3		HIF1A MMP9 TIMP3	MMP9 TIMP3		FLT1 TIMP3				MMP9 TIMP3			FLT1 HIF1A MMP9 TIMP3												MMP9 TIMP3						FLT1 TIMP3			FLT1 MMP9 TIMP3														HIF1A MMP9 TIMP3	HIF1A TIMP3	HIF1A MMP9 TIMP3		HIF1A MMP9 TIMP3	FLT1 MMP9 TIMP3												FLT1 HIF1A MMP9 TIMP3	HIF1A MMP9 TIMP3	MMP9 TIMP3				HIF1A MMP9 TIMP3							HIF1A TIMP3																		
Apoptosis		CASP1 IRF1 TNFSF10			BID BIRC3 TNFRSF21	BID BIRC3 CDKN2A CYCS JUN PMAIP1 TNFRSF1B				BIRC3 CARD16 IRF1 NFKB1 NFKBIA		BIRC3 CASP1 CFLAR CYCS IRF1 PMAIP1				BIRC3 PMAIP1	CYCS MDM2				CASP1 TNFSF10	NFKB1 NFKBIA TNFRSF21			BIRC3 TNFSF10			CARD16 IRF7 MCL1 NFKB1 NFKBIA TNFRSF21		CARD16 JUN MCL1 NFKBIA		CARD16 CDKN2A CYCS					CDKN2A CFLAR PMAIP1	CARD16 CYCS IRF1 MCL1 MDM2 NFKBIA PMAIP1 TNFRSF1B TNFRSF21 TNFSF10		BID BIRC3 CARD16 CASP1 CFLAR IRF7 MCL1 TNFRSF21 TNFSF10				BIRC3 CARD16 CASP1 CFLAR IRF1 IRF7 MCL1 TNFSF10	CARD16 IRF7 TNFSF10	BIRC3 CASP1 CFLAR IRF7 MCL1 TNFSF10		BID BIRC3 CASP1 CFLAR PMAIP1				NFKB1 NFKBIA TNFRSF21	CDKN2A CYCS PMAIP1							BID CARD16 CASP1									BID BIRC3 CARD16 CYCS IRF1 MCL1 MDM2 NFKB1 NFKBIA TNFRSF21 TNFSF10			BID CARD16 IRF1 NFKB1 NFKBIA TNFRSF21		IRF7 JUN NFKBIA TNFRSF21	BID CARD16 CYCS IRF1 IRF7 MCL1 NFKB1 NFKBIA TNFRSF21 TNFSF10		BID CDKN2A CYCS JUN MDM2 TNFRSF21	CARD16 CYCS IRF1 IRF7 NFKBIA TNFSF10		BIRC3 NFKBIA PMAIP1	BID BIRC3 IRF1 IRF7 NFKBIA TNFSF10					BID BIRC3 CASP1 CDKN2A PMAIP1 TNFSF10		BID CASP1 CFLAR IRF1 IRF7 NFKBIA TNFSF10	BIRC3 CASP1 CFLAR IRF1 IRF7 MCL1 NFKBIA TNFSF10	BID CARD16 IRF1 IRF7 MCL1 TNFRSF21 TNFSF10	IRF1 IRF7 JUN MCL1 NFKBIA TNFRSF21				CDKN2A MDM2								CFLAR IRF1 IRF7 NFKBIA TNFSF10						CYCS JUN PMAIP1		BID CFLAR IRF1		CARD16 NFKBIA					BID IRF7 NFKBIA			
Apoptosis-related_network_due_to_altered_Notch3_in_ovarian_cancer		NQO1 SQSTM1	NGFRAP1 VIM	NGFRAP1 TNFRSF21		CDKN1A HSPA5 HSPB1		IL7R NQO1 TNFRSF21		CDKN1A GCLC IL7R NFKB1 RIPK2 SOCS3 VIM												NFKB1 TNFRSF21 VIM	CDKN1A HSPA5			CDKN1A HSPA5 HSPD1 NGFRAP1		GCLC HSPB1 IL7R NFKB1 SOCS3 TNFRSF21 VIM	CDKN1A HSPA5 HSPB1 HSPD1			HSPB1 HSPD1 IL7R SQSTM1				IL7R VIM		GCLC HSPA5 HSPD1 IL7R NGFRAP1 TNFRSF21		GCLC IL7R RIPK2 SOCS3 SQSTM1 TNFRSF21				IL7R RIPK2 SOCS3 SQSTM1 VIM				CDKN1A HSPB1 SOCS3 SQSTM1		HSPB1 HSPD1				HSPA5 HSPD1					GCLC HSPA5 HSPB1 HSPD1 IL7R NGFRAP1 VIM										GCLC IL7R NFKB1 NQO1 SOCS3 SQSTM1 TNFRSF21 VIM			IL7R NFKB1 SOCS3 SQSTM1 TNFRSF21	CDKN1A GCLC HSPA5 HSPB1 HSPD1 NGFRAP1 VIM	GCLC NGFRAP1 TNFRSF21 VIM	GCLC HSPA5 HSPD1 IL7R NFKB1 NGFRAP1 NQO1 RIPK2 SOCS3 TNFRSF21 VIM		IL7R SOCS3 TNFRSF21 VIM	GCLC HSPA5 HSPD1 IL7R NGFRAP1 RIPK2 SOCS3								CDKN1A HSPA5 VIM		CDKN1A IL7R RIPK2 SOCS3 SQSTM1		IL7R NQO1 SOCS3 SQSTM1 TNFRSF21	HSPA5 IL7R NQO1 TNFRSF21 VIM		HSPB1 NQO1 SQSTM1			NFKB1 TNFRSF21 VIM	HSPA5 VIM											RIPK2 SOCS3	HSPB1 HSPD1		IL7R NQO1 SOCS3						GCLC IL7R SOCS3				
Apoptosis_Modulation_by_HSP70						BID CYCS																																																															BID CYCS NFKB1			BID NFKB1			BID CYCS NFKB1		BID CYCS																																												
Arrhythmogenic_right_ventricular_cardiomyopathy_(ARVC)			ITGB8 SLC8A1																					ACTB ACTG1 ITGB7									ACTB ITGB8																																																													ACTB ACTG1																ACTB ACTG1						ACTB ACTG1					
