	AHR	ARID3A	ARID5B	ARNT	ASCL2	ATF3	ATF4	ATF5	BATF	BATF3	BBX	BCL11A	BHLHE41	CDC5L	CEBPD	CEBPG	CEBPZ	CREB3	CREB3L2	CREM	CUX1	DBP	DDIT3	DNMT1	DNTTIP1	EGR2	EPAS1	ETS2	ETV5	FOS	FOXO3	GTF3A	HBP1	HES6	HIF1A	HLX	HMG20B	HMGA1	HMGN3	IRF1	IRF2	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	JUNB	JUND	KLF10	KLF3	KLF6	LCORL	LYL1	MAFB	MAFF	MBD2	MECP2	MEF2A	MITF	MSANTD3	MSC	MTF1	MTF2	MXD1	MXD4	NFAT5	NFE2L1	NFE2L2	NFIC	NFKB1	NFKB2	NR1H3	NR3C1	PKNOX1	PLSCR1	POU2F2	PPARG	RBPJ	REL	RELA	RELB	RREB1	RUNX1	SNAI3	SOX4	SP3	STAT1	STAT2	STAT3	STAT4	STAT5A	TCF4	TCF7L2	TFDP2	TFEB	TFEC	TGIF1	THAP1	TSC22D1	XBP1	XPA	YBX1	YBX3	YY1	ZBTB43	ZEB2	ZHX1	ZNF143	ZNF267	ZNF274	ZNF281	ZNF322	ZNF350	ZNF37A	ZNF385A	ZNF394	ZNF444	ZNF580	ZNF75A	ZNF780A
AGE/RAGE_pathway	0	0	0	0	0	5	0	0	2	0	0	4	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	6	3	5	0	0	0	0	0	0	0	8	0	0	0	2	0	0	0	0	0	4	0	3	0	3	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0	0	5	5	6	8	0	4	7	0	0	5	2	0	0	0	0	0	0	6	0	5	3	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATM_Signaling_Pathway	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adipogenesis	3	0	0	0	0	6	0	0	0	7	0	6	0	0	0	0	0	0	0	0	0	0	4	0	0	11	0	8	5	0	0	0	0	0	5	0	0	12	0	0	0	0	0	0	0	5	0	7	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	8	0	12	0	6	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	2	0	0	0	2	3	0	0	0	3	0	0	0	5	0	0	3	0
Aflatoxin_B1_metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Allograft_Rejection	3	0	2	0	3	6	0	0	0	5	3	0	0	0	0	0	0	0	3	0	0	0	0	2	0	6	0	7	0	3	3	0	0	0	3	2	0	6	0	0	0	0	3	5	3	3	3	0	0	0	0	3	0	0	0	0	0	0	8	0	0	0	0	0	0	0	2	0	8	0	0	0	8	5	9	0	4	5	5	0	4	0	0	0	0	3	0	5	0	7	5	4	0	0	0	4	0	0	0	0	2	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Alzheimers_Disease	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Amyotrophic_lateral_sclerosis_(ALS)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Androgen_receptor_signaling_pathway	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	6	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Angiogenesis	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	2	0	2	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	3	0	3	3	0	0	0	0	0	0	0	0	0	0	0	4	3	2	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apoptosis	0	3	0	0	3	7	0	0	0	5	0	6	0	0	0	2	2	0	0	0	2	3	0	0	2	0	0	6	0	4	0	3	0	0	0	0	3	10	0	9	0	0	0	8	3	6	0	5	0	0	0	3	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	11	0	0	6	0	4	10	0	6	6	0	3	6	0	0	0	0	6	0	7	8	7	6	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	3	0	2	0	0	0	0	3	0	0	0
Apoptosis-related_network_due_to_altered_Notch3_in_ovarian_cancer	0	2	2	2	0	3	0	3	0	7	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	4	0	7	4	0	0	4	0	0	0	2	0	6	0	6	0	0	0	5	0	0	0	4	0	2	0	0	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	5	7	4	11	0	4	7	0	0	0	0	0	0	0	3	0	5	0	5	5	0	3	0	0	3	2	0	0	0	0	0	0	0	0	0	0	2	2	0	3	0	0	0	0	0	3	0	0	0	0
Apoptosis_Modulation_by_HSP70	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arrhythmogenic_right_ventricular_cardiomyopathy_(ARVC)	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
Aryl_Hydrocarbon_Receptor	0	3	0	0	2	4	0	3	0	7	0	3	0	0	0	2	0	0	0	0	0	2	3	0	0	5	0	5	0	0	3	0	0	0	0	0	5	7	0	4	0	0	0	0	0	0	0	3	2	0	0	0	2	0	3	3	0	0	4	0	0	0	0	0	0	0	0	3	6	0	2	3	4	0	7	0	0	0	4	0	3	0	0	0	0	4	2	4	0	0	3	0	0	0	0	4	0	0	0	3	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	3	0	0	3	0
Aryl_Hydrocarbon_Receptor_Pathway	0	3	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	2	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	4	4	5	0	5	0	3	0	3	0	0	0	0	0	0	0	0	0	5	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Arylhydrocarbon_receptor_(AhR)_signaling_pathway	0	2	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	2	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	3	2	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	2	0
BCL-XL_prevents_the_binding_of_truncated_BID_to_BAX._This_is_prevented_by_BAD._BAD_can_displace_tBID_from_BCL-XL.___	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	8	0	0	6	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5	0	6	0	5	0	0	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	3	0	2	0	0	0	0	0	0	3	0
BDNF_signaling_pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	6	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	0	0	0	8	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Benzo(a)pyrene_metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bladder_Cancer	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
