TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
IRF1	WP619	Type_II_interferon_signaling_(IFNG)	32	up	93	11	0.0	0.0	EIF2AK2 GBP1 ICAM1 IFI6 IFIT2 IFNGR2 ISG15 OAS1 SOCS3 STAT1 STAT2
IRF7	WP619	Type_II_interferon_signaling_(IFNG)	32	up	124	12	1.15065734718e-11	5.10535158371e-07	EIF2AK2 GBP1 ICAM1 IFI6 IFIT2 IFNGR2 IRF1 ISG15 OAS1 SOCS3 STAT1 STAT2
PKNOX1	WP619	Type_II_interferon_signaling_(IFNG)	32	down	148	12	5.121092439e-11	2.27212629333e-06	CYBB GBP1 ICAM1 IFIT2 IFNGR1 IFNGR2 IL1B IRF1 ISG15 OAS1 SOCS3 STAT2
IRF9	WP619	Type_II_interferon_signaling_(IFNG)	32	up	88	10	9.42360633971e-11	4.18097142474e-06	EIF2AK2 GBP1 IFI6 IFIT2 IFNGR2 ISG15 OAS1 SOCS3 STAT1 STAT2
STAT2	WP619	Type_II_interferon_signaling_(IFNG)	32	up	113	10	1.13737941287e-09	5.04609750316e-05	EIF2AK2 GBP1 ICAM1 IFI6 IFIT2 IRF1 ISG15 OAS1 STAT1 STAT2
ETS2	WP2865	IL1_and_megakaryotyces_in_obesity	25	up	112	9	1.77716663607e-09	7.88439978094e-05	CCL2 HBEGF ICAM1 IL18 IL1B NFKB1 S100A9 TIMP1 TLR2
STAT1	WP619	Type_II_interferon_signaling_(IFNG)	32	up	172	11	4.64290272895e-09	0.000205977736667	EIF2AK2 GBP1 ICAM1 IFI6 IFIT2 IFNGR2 IRF1 ISG15 OAS1 SOCS3 STAT2
IRF5	WP619	Type_II_interferon_signaling_(IFNG)	32	up	69	8	7.85139098181e-09	0.000348311258126	EIF2AK2 GBP1 IFI6 IFIT2 ISG15 OAS1 STAT1 STAT2
BATF3	WP2865	IL1_and_megakaryotyces_in_obesity	25	up	99	8	1.62815328997e-08	0.000722281362495	CCL2 HBEGF ICAM1 IL18 IL1B NFKB1 TIMP1 TLR2
NFKB2	WP619	Type_II_interferon_signaling_(IFNG)	32	up	114	9	2.47764845307e-08	0.00109910963027	EIF2AK2 ICAM1 IFI6 IFIT2 IFNGR2 IRF1 OAS1 SOCS3 STAT1
