	BATF3	BCL11A	DBP	DNMT1	ETS2	HMG20B	IRF1	IRF5	IRF7	IRF9	MECP2	MITF	MSANTD3	MXD4	NFE2L2	NFKB2	NR3C1	PLSCR1	POU2F2	PPARG	RBPJ	REL	RELA	STAT1	STAT2	STAT3	STAT4	STAT5A	YBX1	ZNF267	ZNF444
Cholesterol_Biosynthesis	1	1	1	1	1	1	1	1	1	1	0.537308111799	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Complement_Activation,_Classical_Pathway	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.355694193863	1	1	1
EBV_LMP1_signaling	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.952851019068	1	1	1	1	1	1	1	1	1
Eicosanoid_Synthesis	1	1	1	1	1	1	1	1	1	1	1	1	0.0616885123198	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IL1_and_megakaryotyces_in_obesity	0.000722281362495	1	0.478764130495	1	7.88439978094e-05	1	1	1	1	1	1	1	1	1	1	1	0.0456371193298	1	0.0418777121671	1	0.00636147838105	1	1	1	1	1	1	1	1	1	1
NRF2_pathway	1	1	1	1	1	1	1	1	1	1	1	0.735632014059	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Oxidative_phosphorylation	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00772271044757	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.656579315136	1	1
Pathogenic_Escherichia_coli_infection	1	1	1	0.00112584543772	1	0.0587611890856	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.254562400848	1
Prostaglandin_Synthesis_and_Regulation	1	1	0.058448416745	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TSLP_Signaling_Pathway	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.677615651022	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Toll-like_receptor_signaling_pathway	1	1	1	1	0.139050339947	1	1	1	1	1	1	1	1	1	1	1	0.0793024338796	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Type_II_interferon_signaling_(IFNG)	1	0.0114807002461	1	1	0.241863560393	1	0.0	0.000348311258126	5.10535158371e-07	4.18097142474e-06	1	1	1	1	0.00247377893764	0.00109910963027	1	0.14558468539	0.0175532765734	0.160968812124	1	1	0.016382899441	0.000205977736667	5.04609750316e-05	0.0032583491554	0.0516848714771	1	1	1	0.931924787715
