	BATF3	BCL11A	DBP	DNMT1	ETS2	HMG20B	IRF1	IRF5	IRF7	IRF9	MECP2	MITF	MSANTD3	MXD4	NFE2L2	NFKB2	NR3C1	PLSCR1	POU2F2	PPARG	RBPJ	REL	RELA	STAT1	STAT2	STAT3	STAT4	STAT5A	YBX1	ZNF267	ZNF444
Cholesterol_Biosynthesis	1	1	1	1	1	1	1	1	1	1	1.21214634827e-05	1	1	1	1	1	1	1	1	0.0139785989576	1	1	0.00615653783537	1	1	1	1	1	0.0170704676654	1	1
Complement_Activation,_Classical_Pathway	0.0310600489004	0.0358441610066	1	1	0.000212142007831	1	1	1	1	1	1	1	1	1	0.00472346520442	1	0.000930491793905	1	1	1	0.0016245959673	1	1	1	1	1	0.0510675081219	8.02378059694e-06	1	1	1
EBV_LMP1_signaling	0.0769010390822	1	0.0322633167529	1	0.00160246190327	1	1	1	1	1	1	1	1	1	0.00240164758027	0.000146182023024	0.0425987654037	1	1	0.0318579494055	1	2.14983759548e-05	0.0950430103024	0.0442992394067	0.0964874300598	1	0.00277154256478	1	1	1	1
Eicosanoid_Synthesis	1	1	0.00204689080468	1	1	1	1	1	0.0966606467832	0.053135475692	1	1	1.39126099052e-06	1	1	1	0.036014307059	1	1	0.00337222607323	0.0509918696144	1	0.0112735945031	0.00538102800567	1	1	1	1	1	1	1
IL1_and_megakaryotyces_in_obesity	1.62815328997e-08	1	1.08002465766e-05	1	1.77716663607e-09	1	0.0798324904131	1	1	1	1	0.00984990973538	1	1	0.0243768869245	0.0191347703902	1.02911467392e-06	1	9.44318943041e-07	1	1.4341866672e-07	0.0147575307022	0.0182576481905	1	1	0.00369691477481	0.000410629755445	9.35540315022e-05	1	1	1
NRF2_pathway	0.0649306240553	0.00345471278719	0.0302481791713	1	0.0418199844261	1	1	1	1	1	1	1.65966973662e-05	1	1	0.00300705596316	0.00526884987896	0.0158513733198	1	1	1	0.0001562485103	0.0208692347763	0.0148812281678	1	1	0.0037806305463	0.0121459810061	1	0.00660184359061	1	1
Oxidative_phosphorylation	1	1	1	1	1	1	1	0.0715312254306	0.0947418381183	0.0340431603636	1	1	1	1.74115309726e-07	1	1	1	1	0.0727292774894	1	1	1	1	1	0.0727292774894	1	1	1	1.48125099295e-05	1	1
Pathogenic_Escherichia_coli_infection	1	0.0383776235737	1	2.53797438621e-08	1	1.32521118346e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00197504491914	1	1	0.0104560038779	0.0537214865361	1	1	1	1	1	5.7423112686e-06	1
Prostaglandin_Synthesis_and_Regulation	0.00281023372774	1	1.31812766102e-06	1	0.0297031549835	1	0.0182691613336	1	1	0.0993923790259	1	0.0140160646612	0.00699970392045	1	0.00648275207288	0.0310846450593	0.00880172258342	1	1	0.0626060677063	0.0148246415038	1	1	0.0193187311052	1	1	1	1	1	1	0.0421443156995
TSLP_Signaling_Pathway	5.24755883725e-05	1	1	1	0.000847154339055	1	0.0141116384794	1	0.0360965703908	1	1	1	1	1	3.00246230612e-05	1.52874371353e-05	1	1	0.0268573591156	0.00390675070141	1	0.0536190545724	1	0.0955081728134	0.0268573591156	0.00176743407305	0.00183876837542	0.0877516927307	1	1	1
Toll-like_receptor_signaling_pathway	0.00104950824193	0.0745991248753	1	1	3.13628518467e-06	1	0.045767022425	0.0569453414625	0.0461267313111	0.010230871214	1	1	1	1	5.42049781612e-05	0.000602566016002	1.78858843158e-06	1	0.089412748021	0.0394190799061	0.00918030368669	0.00723602095196	0.0301871902053	0.027980240675	0.00942177257281	0.00555504809698	0.00581782387836	0.00346519764555	1	1	1
Type_II_interferon_signaling_(IFNG)	0.000386750103346	2.58848335988e-07	0.00693093147023	1	5.45573311361e-06	1	0.0	7.85139098181e-09	1.15065734718e-11	9.42360633971e-11	1	0.000896088758548	1	1	5.57684958213e-08	2.47764845307e-08	0.0105347607887	3.28374163505e-06	3.95789776175e-07	3.63082086263e-06	0.00214013103601	0.0236109694388	3.69391883859e-07	4.64290272895e-09	1.13737941287e-09	7.34573833983e-08	1.16554373708e-06	0.00374008808805	1	1	2.10257606145e-05
