	ARID3A	ARNT	ASCL2	ATF3	BATF3	ETS2	ETV5	FOS	FOXO3	HLX	HMG20B	HMGA1	HMGN3	IRF1	IRF8	JUNB	JUND	KLF10	KLF3	KLF6	LYL1	MAFB	MSC	NFE2L1	NFE2L2	NR3C1	PKNOX1	PLSCR1	RUNX1	SOX4	TCF4	TCF7L2	TFDP2	TGIF1	TSC22D1	YBX1	ZEB2	ZNF385A
AGE/RAGE_pathway	0.0369492511221	1	1	1	1	1	1	0.00124362127676	1	1	1	0.057543539479	1	1	1	1	1	1	1	1	1	1	1	1	1	0.040267045241	0.0640873720862	1	1	1	1	1	1	1	1	0.00195966150502	1	1
Adipogenesis	1	1	0.051963290934	1	1	1	0.0274327198618	1	1	1	1	0.0491306239147	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0163477156347	1	1	1	1	1	1	1	1	0.0816662688906	1	1
Allograft_Rejection	1	1	0.00631575092899	0.01096919164	1	1	1	1	0.0315777836637	0.0303353353238	1	0.0310012238535	0.0718340128394	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00804324771621	1	1	0.0181954608346	1	1	1	1	1	0.00616255192666	1	1
Alzheimers_Disease	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0132272549323	1	1	1	1	1	1	1	1	1
Amyotrophic_lateral_sclerosis_(ALS)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0411471272099	1	1	1	1	1	1	1	1
Androgen_receptor_signaling_pathway	1	1	1	1	1	1	0.0134895471967	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Angiogenesis	1	1	1	1	1	0.0170547487949	1	1	0.0225725307118	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Apoptosis	0.00598204835134	1	1	1	1	1	1	0.0210096556254	1	1	1	0.00897315191822	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0168591536645	1	1	0.00017330541646	1	1	1	1	1	0.00493852702859	0.0688406457365	1
Apoptosis-related_network_due_to_altered_Notch3_in_ovarian_cancer	0.0194438197475	1	1	1	1	0.0145363657082	1	1	1	0.0231197784523	1	1	1	0.0610084527872	1	1	1	1	1	1	1	1	1	1	1	0.00139927407766	0.00391131450615	1	1	0.0122891094893	1	1	1	1	1	1	1	1
Arrhythmogenic_right_ventricular_cardiomyopathy_(ARVC)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0136619219725	1	1	1	1	1	0.00221791271654
Aryl_Hydrocarbon_Receptor	0.000687814855983	1	1	1	0.0334793970348	0.0671526679176	1	1	1	1	0.0134356077812	0.00989091253345	1	0.0430594398191	1	1	1	1	1	1	1	1	1	1	1	1	0.00792567791384	1	1	0.00719118094464	1	1	1	1	1	1	0.0173761198354	1
Aryl_Hydrocarbon_Receptor_Pathway	0.0159865833107	1	1	0.0507536559124	1	1	1	1	1	1	0.0159865833107	0.0135600412435	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0480733783088	1	1	1	1	1	1	1	1	1	1	1
Arylhydrocarbon_receptor_(AhR)_signaling_pathway	0.00611375111206	1	1	1	1	1	1	1	1	1	0.00611375111206	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0502377623061	1	1	1	1	1	1	1	1	1	0.0079512060024	1
BCL-XL_prevents_the_binding_of_truncated_BID_to_BAX._This_is_prevented_by_BAD._BAD_can_displace_tBID_from_BCL-XL.___	1	1	0.0211161151409	1	1	1	1	1	1	0.0676660463998	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0199054714247	1	1	1	1	1	1	1	1	0.00568527701631	0.0729456961535	1
BDNF_signaling_pathway	1	1	1	1	1	1	1	0.0704391829383	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00896870913131	1	1
Bladder_Cancer	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0347244196851	1	1	1	1	1	1	1	1
Calcium_Regulation_in_the_Cardiac_Cell	1	1	1	1	1	0.0607302174371	1	1	0.0284355043413	1	1	1	1	1	1	0.0908487079974	1	1	1	1	1	1	1	1	0.0329849497152	1	1	1	1	1	1	1	1	1	1	1	1	1
Cell_Cycle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0793786983007	1	1	1	1	1	1	1	1
Cholesterol_Biosynthesis	1	1	1	1	1	1	1	1	0.000935393970871	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000724208928937	1	1	1	1	1	1
Complement_Activation,_Classical_Pathway	1	1	1	1	1	1	1	1	1	1	1	0.0316427616626	0.00471451998826	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00757028627824	1	1	1	1	1	1	1	1	1	0.00199541488155	1
Complement_and_Coagulation_Cascades	0.0255659586374	1	1	1	1	1	0.00595992374213	1	1	1	1	0.00654222263625	0.000910982784996	1	1	1	1	1	1	1	1	0.0858306221729	1	1	1	1	0.00804324771621	1	1	1	1	1	1	1	1	1	0.00275797036765	1
Cytochrome_P450	1	1	1	1	1	1	1	1	1	1	0.0297421541273	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cytokines_and_Inflammatory_Response	1	1	1	0.0150875298098	1	1	1	1	1	1	1	0.0842718353086	0.0136408852709	1	1	1	1	0.00121683031739	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DNA_Damage_Response	1	1	0.0788110862954	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0214288195548	1	1	1	1	1	1	1	0.0306407281761	1	1	1	1	1	1	0.0472240758404	1
DNA_Damage_Response_(only_ATM_dependent)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0479672919042	1	1	1	1	1	1	1	1
Diurnally_Regulated_Genes_with_Circadian_Orthologs	1	1	1	0.000430218937641	1	1	1	1	1	1	1	0.0135600412435	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0116064551376	1	1	0.0706730843937	1	1	1	1	1	1	1	1
EBV_LMP1_signaling	1	1	1	1	1	1	1	0.000442102646158	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000495593653278	1	1	1	1	1	1	1	1	0.00280569263728	1	1
Eicosanoid_Synthesis	1	1	1	0.0116520860267	0.00893520676106	1	1	1	0.0247623353968	1	1	1	1	0.000552078200014	1	1	1	1	1	1	1	0.0128285700204	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Electron_Transport_Chain	1	1	1	1	1	0.00560319334061	1	1	1	1	1	1	1	1	0.00748494397552	1	1	1	1	0.000165204773245	1	0.00233682981518	0.00447575214092	1	0.0386377709041	0.090746668204	1	3.46546714658e-07	1	1	1	1	1	0.00364145859002	1	1	1	1
Endothelin_Pathways	1	0.0135339739313	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Estrogen_metabolism	0.00253890853205	1	1	1	1	1	1	1	1	1	5.22162971652e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Fatty_Acid_Beta_Oxidation	1	1	1	1	1	1	1	1	1	1	1	1	0.0250168573199	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Focal_Adhesion	1	1	1	1	1	1	1	1	0.0248658194022	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0100099191127	1	1	1	1	1	0.0141066604347
Folate_Metabolism	1	1	1	1	1	1	1	0.0225361151258	1	0.0112873718141	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0198350234344	1	1	1	1	1	1	1	1	1	1	1
GPCRs,_Class_A_Rhodopsin-like	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0875209099873	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0592717239893	1	1	1
Gastric_cancer_network_2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0864046670011	1	1	1	1	1	1	1	1	0.0710660811005	1	1
Glutathione_metabolism	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0498310477731	1	1	1	1	1	1	1	1	1	1	1	1	1
Glycolysis_and_Gluconeogenesis	1	1	1	1	1	0.0908339180063	1	1	0.0205005329476	1	1	1	0.0536190545724	0.0589037649354	1	1	1	1	1	1	1	0.00798661517122	1	1	0.0482425302468	1	1	1	1	1	0.0187290545146	1	1	0.00849073430312	1	1	1	1
ID_signaling_pathway	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00200155335669	1	1	1	1	1	1	1
IL-1_signaling_pathway	1	1	1	1	1	1	1	1	1	1	1	1	0.0614846627703	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0777474382026	1	1	1	1	1	1	1	1	1	1	1
IL-2_Signaling_Pathway	1	1	0.0312518743427	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IL-3_Signaling_Pathway	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0583116907459	1	1	1	1	1	1	1	1	0.0231674621153	1	1
IL-4_Signaling_Pathway	1	1	0.0458219622319	1	1	1	1	0.0484491091179	1	1	1	1	1	1	1	0.0566481816008	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IL-5_Signaling_Pathway	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0934131433133	1	1
IL-6_signaling_pathway	0.0146867417455	1	0.0326091866575	1	1	1	1	1	1	1	1	0.0589783667586	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.017406197423	1	1
IL-7_Signaling_Pathway	1	1	1	1	1	1	1	0.0127790182776	1	1	1	0.0967116493272	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IL1_and_megakaryotyces_in_obesity	1	1	1	0.0163182675051	1	1	1	1	1	1	1	0.013480911651	8.58669430781e-07	1	1	1	1	0.00132103103519	1	1	1	1	1	1	1	1	7.31316964423e-05	1	1	1	1	1	1	1	1	0.00357919723669	1	1
Inflammatory_Response_Pathway	1	1	0.015861811529	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0596412675113	1	1	0.0326795885623	1	1	1	1	1	0.0540571493123	1	1
Integrated_Pancreatic_Cancer_Pathway	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0176754162627	0.00639137403129	1	1	1	1	1	1	1	1
Interferon_type_I	1	1	0.0489876358785	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0063043975445	1	1	0.0819803874549	1	1	1	1	1	1	1	1	1	1	1
Interferon_type_I_signaling_pathways	1	1	0.047394891203	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00608255285103	1	1	0.0777474382026	1	1	1	1	1	1	1	1	1	1	1
Interleukin-11_Signaling_Pathway	1	1	0.0326091866575	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
