	AHR	ARID3A	ARID5B	ARNT	ASCL2	ATF3	ATF4	ATF5	BATF	BATF3	BBX	BCL11A	BHLHE41	CDC5L	CEBPD	CEBPG	CEBPZ	CREB3	CREB3L2	CREM	CUX1	DBP	DDIT3	DNMT1	DNTTIP1	EGR2	EPAS1	ETS2	ETV5	FOS	FOXO3	GTF3A	HBP1	HES6	HIF1A	HLX	HMG20B	HMGA1	HMGN3	IRF1	IRF2	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	JUNB	JUND	KLF10	KLF6	LCORL	LYL1	MAFB	MAFF	MBD2	MECP2	MEF2A	MITF	MSANTD3	MSC	MTF1	MTF2	MXD1	MXD4	NFAT5	NFE2L1	NFE2L2	NFKB1	NFKB2	NR1H3	NR3C1	PKNOX1	PLSCR1	POU2F2	PPARG	RBPJ	REL	RELA	RELB	RREB1	RUNX1	SNAI3	SOX4	SP3	STAT1	STAT2	STAT3	STAT4	STAT5A	TCF4	TCF7L2	TFDP2	TFEB	TFEC	TGIF1	THAP1	TSC22D1	XBP1	XPA	YBX1	YY1	ZBTB43	ZEB2	ZHX1	ZNF143	ZNF267	ZNF274	ZNF281	ZNF322	ZNF350	ZNF37A	ZNF394	ZNF444	ZNF580	ZNF75A	ZNF780A
AGE/RAGE_pathway						CYCS JUN LGALS3 MMP7 MMP9			MMP7 STAT1			CYCS MMP7 MSR1 STAT1							LGALS3 MSR1 STAT1			LGALS3 NFKB1 NFKBIA						HIF1A MMP14 NFKB1 NFKBIA	CYCS LGALS3 MMP9													LGALS3 NFKBIA						MMP7 NCF1 STAT1		CYCS LGALS3 MMP9	NCF1 NFKB1 NFKBIA	CYCS MSR1	MMP7 MSR1						LGALS3 STAT1									HIF1A MMP14 NCF1 NFKB1 NFKBIA		LGALS3 MMP14 NFKB1 NFKBIA STAT1	CYCS HIF1A LGALS3 MMP7 MMP9	HIF1A JUN MMP14 NFKBIA			CYCS HIF1A JUN MMP9	CYCS MMP7 MMP9 MSR1 NCF1 NFKBIA STAT1			MMP7 MSR1 NCF1 NFKBIA STAT1	HIF1A NFKBIA							LGALS3 MMP14 MSR1 NCF1 NFKBIA STAT1		HIF1A JUN LGALS3 MMP9 NFKBIA	MMP7 MMP9 STAT1												MMP7 STAT1				CYCS JUN											
ATM_Signaling_Pathway						CDKN1A JUN																				CDKN1A JUN																																																											CDKN1A JUN																																
Adipogenesis	HMGA1 NR1H3 NR3C1					CDKN1A CFD DDIT3 EGR2 HMGA1						CDKN1A CFD NR1H3 PLIN2 SCD STAT1											AHR CDKN1A HIF1A LPL			CDKN1A CEBPD CFD DDIT3 EGR2 GADD45B HIF1A HMGA1 KLF6 LPL NR1H3		AHR CTNNB1 HIF1A NAMPT NR3C1 SOCS3							EGR2 KLF6 PCK2 SOCS3 STAT2											PLIN2 PPARG SOCS3 STAT1 STAT2		CDKN1A EGR2 NR1H3 SOCS3 STAT1						AHR CFD KLF6 NAMPT	EGR2 HMGA1 NR1H3									HMGA1 NR3C1			CDKN1A HMGA1 NR1H3				AHR CDKN1A DDIT3 EGR2 HIF1A HMGA1 NAMPT SCD				AHR CFD HIF1A NR3C1 PCK2 SOCS3					HIF1A PLIN2					CDKN1A CEBPD EGR2 HIF1A											HIF1A KLF6 NAMPT		CDKN1A EGR2 LPL NR1H3							NAMPT SOCS3	DDIT3 EGR2 HMGA1				EGR2 HMGA1 NR1H3			GADD45B PCK2 PLIN2 PPARG SOCS3			CDKN1A HMGA1 NR1H3	
Aflatoxin_B1_metabolism															AKR7A2 EPHX1																																																																																																						
Allograft_Rejection	IL2RA LRRK2 VIM		IL1B VIM			C3 LRRK2 TUBA1A				CD40 CD86 IL1B IL2RA VIM	C3 TUBA1A TUBA1B								STAT1 TUBA1A TUBA1B					TUBA1A TUBA1B		C3 CD80 IL2RA LRRK2 TUBA1A TUBA1B		CD80 CD86 HLA-DRB5 IL1B IL2RA LRRK2 VIM		HLA-DRB5 VIM					IL1B IL2RA TUBA1B		TUBA1A TUBA1B			CD40 CD80 STAT1			CD40 HLA-DRB5 STAT1	CD40 CD86 IL2RA STAT1 VIM	CD40 HLA-DRB5 VIM	CD40 CD86 STAT1	CD86 TUBA1A VIM				CD80 IL2RA TUBA1A							C3 CD86 HLA-DRB5 IL1B IL2RA LRRK2 TUBA1B VIM								IL1B VIM		CD40 CD80 CD86 IL2RA LRRK2 VIM			C3 CD86 HLA-DRB5 IL1B IL2RA LRRK2 TUBA1B VIM	CD86 IL1B LRRK2 TUBA1A VIM			CD80 CD86 IL1B VIM	C3 CD80 STAT1 TUBA1A TUBA1B	CD40 CD86 HLA-DRB5 IL1B VIM		CD40 CD80 STAT1 TUBA1B							C3 CD40 CD80 TUBA1A TUBA1B		C3 CD80 CD86 IL1B IL2RA STAT1 TUBA1B	C3 IL1B IL2RA LRRK2 VIM	CD86 IL1B IL2RA STAT1				C3 IL1B IL2RA VIM					TUBA1A TUBA1B			CD86 STAT1															
Alzheimers_Disease																	CYCS SNCA					CALM1 CALM3 IL1B MME SNCA																																									CHP1 LPL			CALM3 IL1B SNCA																	IL1B MME																															BID CALM2 CALM3 SNCA			
Amyotrophic_lateral_sclerosis_(ALS)																																								BID CARD16 CASP1								BID CASP1											BID CARD16 CASP1															BID CASP1																																							BID CARD16				
Androgen_receptor_signaling_pathway	CCND1 NCOA4 RAN																CDKN1A MDM2						CDKN1A RAN						CALR CCND1 FKBP4 RAN			CALR CCND1 RAN																																			CCND1 CDKN1A																																																		
Angiogenesis						MMP9 TIMP3																				HIF1A TIMP3			MMP9 TIMP3						MMP9 TIMP3			FLT1 MMP9 TIMP3												MMP9 TIMP3					FLT1 TIMP3			FLT1 MMP9 TIMP3													HIF1A MMP9 TIMP3		MMP9 TIMP3		HIF1A MMP9 TIMP3	FLT1 MMP9 TIMP3												FLT1 HIF1A MMP9 TIMP3	HIF1A MMP9 TIMP3	MMP9 TIMP3				HIF1A MMP9 TIMP3																							
Apoptosis						BID BIRC3 CDKN2A CYCS JUN PMAIP1 TNFRSF1B				BIRC3 CARD16 IRF1 NFKB1 NFKBIA		BIRC3 CASP1 CFLAR CYCS IRF1 PMAIP1				BIRC3 PMAIP1	CYCS MDM2				CASP1 TNFSF10	NFKB1 NFKBIA TNFRSF21			BIRC3 TNFSF10			CARD16 IRF7 MCL1 NFKB1 NFKBIA				CARD16 CDKN2A CYCS					CDKN2A CFLAR PMAIP1			BID BIRC3 CARD16 CASP1 CFLAR IRF7 MCL1 TNFSF10				BIRC3 CARD16 CASP1 CFLAR IRF1 IRF7 MCL1 TNFSF10	CARD16 IRF7 TNFSF10	BIRC3 CASP1 CFLAR IRF7 MCL1 TNFSF10		BID BIRC3 CASP1 CFLAR PMAIP1				CDKN2A CYCS PMAIP1							BID CARD16 CASP1								BIRC3 CYCS	BID BIRC3 CARD16 IRF1 MDM2 NFKB1 NFKBIA TNFSF10		BID CARD16 IRF1 NFKB1 NFKBIA TNFRSF21				BID CASP1	BID CDKN2A CYCS JUN MDM2 TNFRSF21	CARD16 CYCS IRF1 IRF7 NFKBIA TNFSF10		BIRC3 NFKBIA PMAIP1	BID BIRC3 IRF1 IRF7 NFKBIA TNFSF10							BID CASP1 CFLAR IRF1 IRF7 NFKBIA TNFSF10	BIRC3 CASP1 CFLAR IRF1 IRF7 MCL1 NFKBIA TNFSF10	BID CARD16 IRF1 IRF7 MCL1 TNFRSF21 TNFSF10	IRF1 IRF7 JUN MCL1 NFKBIA TNFRSF21		BID BIRC3 NFKBIA		CDKN2A MDM2													CYCS JUN PMAIP1		BID CFLAR IRF1		CARD16 NFKBIA				BID IRF7 NFKBIA			
Apoptosis-related_network_due_to_altered_Notch3_in_ovarian_cancer				NGFRAP1 TNFRSF21		CDKN1A HSPA5 HSPB1		IL7R NQO1 TNFRSF21		CDKN1A IL7R NFKB1 RIPK2 SOCS3 VIM												NFKB1 TNFRSF21 VIM	CDKN1A HSPA5			CDKN1A HSPA5 HSPD1 NGFRAP1		IL7R NFKB1 SOCS3 VIM	HSPA5 HSPB1 HSPD1			HSPB1 HSPD1 IL7R SQSTM1						GCLC HSPA5 HSPD1 NGFRAP1 TNFRSF21		IL7R RIPK2 SOCS3 SQSTM1				IL7R RIPK2 SOCS3 SQSTM1 VIM				CDKN1A HSPB1 SOCS3 SQSTM1		HSPB1 HSPD1			HSPA5 HSPD1					GCLC HSPA5 HSPB1 HSPD1 IL7R NGFRAP1 VIM										IL7R NFKB1 NQO1 SOCS3 SQSTM1 VIM		IL7R NFKB1 SOCS3 SQSTM1 TNFRSF21	CDKN1A GCLC HSPA5 HSPB1 HSPD1 NGFRAP1 VIM		GCLC HSPA5 HSPD1 NGFRAP1 TNFRSF21		IL7R SOCS3 TNFRSF21 VIM	GCLC HSPA5 HSPD1 IL7R NGFRAP1 RIPK2 SOCS3										CDKN1A IL7R RIPK2 SOCS3 SQSTM1		IL7R NQO1 SOCS3 SQSTM1 TNFRSF21	HSPA5 IL7R NQO1 TNFRSF21 VIM		HSPB1 NQO1 SQSTM1			NFKB1 TNFRSF21 VIM	HSPA5 VIM										RIPK2 SOCS3	HSPB1 HSPD1		IL7R NQO1 SOCS3					GCLC IL7R SOCS3				
Apoptosis_Modulation_by_HSP70						BID CYCS																																																														BID NFKB1		BID NFKB1			BID CYCS		BID CYCS																																										
Arrhythmogenic_right_ventricular_cardiomyopathy_(ARVC)			ITGB8 SLC8A1																					ACTB ACTG1 ITGB7									ACTB ITGB8																																																																										ACTB ACTG1										
Aryl_Hydrocarbon_Receptor						CCL1 CDKN1A HSP90AA1		CYP1B1 NFE2L2 NQO1		CCL1 CDKN1A LPL NFE2L2 NFKB1		CCL1 CDKN1A HSP90AA1				CCL1 HSP90AA1						CD36 NFKB1	AHR CDKN1A LPL			CCL1 CDKN1A HSP90AA1 KLF6 LPL		AHR NFE2L2 NFKB1			CYP1B1 NFE2L2						CDKN1A HSP90AA1 LPL											CCL1 CDKN1A	CCL1 CDKN1A			CCL1 CDKN1A		AHR KLF6 NFE2L2	CCL1 CYP1B1 HSP90AA1			AHR GCLC HSP90AA1 NFE2L2									CCL1 CDKN1A HSP90AA1	AHR CYP1B1 NFKB1 NQO1	KLF6 NFE2L2	CD36 NFE2L2 NFKB1	AHR CDKN1A GCLC HSP90AA1						CCL1 CD36 GCLC NFE2L2		CCL1 CD36 NQO1						CCL1 CDKN1A	CCL1 CD36 CDKN1A NFE2L2			HSP90AA1 NFE2L2 NQO1					AHR KLF6 NFE2L2 NFKB1				CCL1 CDKN1A LPL				CCL1 HSP90AA1		CYP1B1 NFE2L2									CD36 GCLC NFE2L2			CCL1 CDKN1A HSP90AA1	
Aryl_Hydrocarbon_Receptor_Pathway						HSP90AA1 JUN JUNB		CYP1B1 NFE2L2 NQO1																				AHR IL1B NFE2L2			CYP1B1 NFE2L2			AHR MGST1																				AHR NFE2L2	CYP1B1 HSP90AA1			AHR HSP90AA1 IL1B MGST1 NFE2L2									HSP90AA1 JUNB				AHR HSP90AA1 IL1B JUNB	AHR IL1B JUN			AHR IL1B JUN MGST1 NFE2L2		IL1B MGST1 NFE2L2		JUNB MGST1 NQO1										HSP90AA1 IL1B JUN NFE2L2 NQO1	IL1B JUNB	JUNB NQO1			AHR IL1B NFE2L2										CYP1B1 MGST1 NFE2L2		HSP90AA1 JUN											
Arylhydrocarbon_receptor_(AhR)_signaling_pathway						CDKN1A HSP90AA1 JUN		CYP1B1 NFE2L2 NQO1															AHR CDKN1A			CDKN1A HSP90AA1 JUN					CYP1B1 NFE2L2						CDKN1A HSP90AA1																	AHR NFE2L2	CYP1B1 HSP90AA1			AHR HSP90AA1 NFE2L2									CDKN1A HSP90AA1	AHR CYP1B1 NQO1			AHR CDKN1A HSP90AA1	AHR JUN			AHR JUN NFE2L2										CDKN1A JUN				HSP90AA1 JUN NFE2L2 NQO1					AHR NFE2L2										CYP1B1 NFE2L2		HSP90AA1 JUN										CDKN1A HSP90AA1	
BCL-XL_prevents_the_binding_of_truncated_BID_to_BAX._This_is_prevented_by_BAD._BAD_can_displace_tBID_from_BCL-XL.___						BID BIRC3 HSP90AA1 JUN TNFRSF1B				BIRC3 CCL2 NFKB1 NFKBIA TXN						BIRC3 HSP90AA1												CCL2 GLUL MAP3K8 NFKB1 NFKBIA												BID BIRC3 CCL2 CFLAR TXN		GLUL NFKBIA						BID BIRC3 CFLAR TXN			CCL2 NFKB1 NFKBIA								BID CCL2 TXN								BIRC3 HSP90AA1	BID BIRC3 GLUL MAP3K8 NFKB1 NFKB2 NFKBIA TXN		BID CCL2 NFKB1 NFKB2 NFKBIA TXN		CCL2 GLUL JUN NFKBIA						BIRC3 NFKB2 NFKBIA									BIRC3 CCL2 CFLAR NFKBIA TXN		HSP90AA1 JUN MAP3K8 NFKB2 NFKBIA TXN		BID BIRC3 CCL2 GLUL NFKBIA											CFLAR HSP90AA1 TXN						BID CFLAR TXN		HSP90AA1 NFKBIA						HSP90AA1 TNFRSF1B	
BDNF_signaling_pathway																								CAMK1 FOS						CAMK1 JUN NCF2 YBX1	MARCKS NCF1 SQSTM1																	EGR2 NCF1 SQSTM1 STAT1		EGR2 NCF2 YBX1	MARCKS NCF1 NFKB1 NFKBIA PRKAA1				EGR2 NCF2 SPP1							CTNNB1 NCF1 YBX1														CAMK1 EGR2 FOS MARCKS NCF1 NFKBIA STAT1 YBX1									CAMK1 EGR2 JUN NCF2 SPP1						MARCKS NCF1 NFKBIA SQSTM1															CAMK1 EGR2 JUN								MARCKS NCF1 NFKBIA SQSTM1			
B_Cell_Receptor_Signaling_Pathway																																																																				DAPP1 LYN NFKB1 NFKBIA PTPRC																																																	
Benzo(a)pyrene_metabolism																																																							CYP1B1 EPHX1																																																														
Bladder_Cancer						CCND1 CDKN1A CDKN2A											CDKN1A MDM2															CCND1 CDKN2A					CDKN1A CDKN2A											CCND1 CDKN1A				CDKN1A CDKN2A															CCND1 CDKN1A				CCND1 CDKN1A CDKN2A														CDKN1A CDKN2A								CDKN2A MDM2					CCND1 CDKN1A		CDKN1A CDKN2A																	
Calcium_Regulation_in_the_Cardiac_Cell		ANXA6 RGS1 SLC8A1																											ATP1B1 CALR YWHAH YWHAQ									ATP1B1 ATP2B1 CALR CAMK1 FKBP1A PRKACB RGS1 RGS16 RGS20 YWHAH YWHAQ																	ATP1B1 FKBP1A RGS16 YWHAH YWHAQ		CALR GNG11	ATP1B1 ATP2B1 CALR FKBP1A PRKACB RGS1 RGS16 RGS20 YWHAH YWHAQ															CALR CAMK1 FKBP1A PRKACB RGS1 RGS16 RGS20 YWHAH																																	ATP1B1 CAMK1 RGS16 YWHAQ						CAMK1 RGS16					
Cell_Cycle																	CDKN1A MDM2																				CDKN1A CDKN2A YWHAQ										PTTG1 YWHAH YWHAQ					CDKN1A CDKN2A																																	CDKN1A CDKN2A PTTG1 YWHAH								CDKN2A MDM2							CDKN1A CDKN2A																CDKN1A YWHAQ	
Cholesterol_Biosynthesis																										FDPS MSMO1 SQLE			FDPS SQLE									FDPS MSMO1																			FDPS MSMO1 SQLE	FDPS MSMO1 SQLE																		FDPS MSMO1 SQLE			FDPS MSMO1 SQLE																						FDPS MSMO1																
