	AHR	ARID3A	ARID5B	ARNT	ASCL2	ATF3	ATF4	ATF5	BATF	BATF3	BBX	BCL11A	BHLHE41	CDC5L	CEBPD	CEBPG	CEBPZ	CREB3	CREB3L2	CREM	CUX1	DBP	DDIT3	DNMT1	DNTTIP1	EGR2	EPAS1	ETS2	ETV5	FOS	FOXO3	GTF3A	HBP1	HES6	HIF1A	HLX	HMG20B	HMGA1	HMGN3	IRF1	IRF2	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	JUNB	JUND	KLF10	KLF6	LCORL	LYL1	MAFB	MAFF	MBD2	MECP2	MEF2A	MITF	MSANTD3	MSC	MTF1	MTF2	MXD1	MXD4	NFAT5	NFE2L1	NFE2L2	NFKB1	NFKB2	NR1H3	NR3C1	PKNOX1	PLSCR1	POU2F2	PPARG	RBPJ	REL	RELA	RELB	RREB1	RUNX1	SNAI3	SOX4	SP3	STAT1	STAT2	STAT3	STAT4	STAT5A	TCF4	TCF7L2	TFDP2	TFEB	TFEC	TGIF1	THAP1	TSC22D1	XBP1	XPA	YBX1	YY1	ZBTB43	ZEB2	ZHX1	ZNF143	ZNF267	ZNF274	ZNF281	ZNF322	ZNF350	ZNF37A	ZNF394	ZNF444	ZNF580	ZNF75A	ZNF780A
AGE/RAGE_pathway	1	1	1	1	1	0.00295027033045	1	1	0.0195417006896	1	1	0.0702690960001	1	1	1	1	1	1	0.0306407281761	1	1	0.0589265944465	1	1	1	1	1	0.0801782928028	0.0436217662896	1	1	1	1	1	1	1	1	1	1	1	1	0.0508558398974	1	1	1	1	1	0.049903319061	1	0.0151147661388	0.0187549527582	0.0337437286673	0.00877872227298	1	1	1	1	1	0.0704051069595	1	1	1	1	1	1	1	1	0.0350752586387	1	0.0248121833789	0.0766266298856	0.019492813969	1	1	0.0822402591906	0.00612493516392	1	1	0.023185155511	0.0337437286673	1	1	1	1	1	1	0.00580680383222	1	0.0404989938646	0.0341064598804	1	1	1	1	1	1	1	1	1	1	1	0.074569440369	1	1	1	0.0875140940915	1	1	1	1	1	1	1	1	1	1	1
ATM_Signaling_Pathway	1	1	1	1	1	0.02488719956	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0708073851199	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0209274480117	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Adipogenesis	0.0647834366872	1	1	1	1	0.033711758323	1	1	1	1	1	0.0642528594987	1	1	1	1	1	1	1	1	1	1	0.00390756489305	1	1	0.000325319444487	1	0.0765651989078	1	1	1	1	1	1	0.0416419477601	1	1	1	1	1	1	1	1	1	1	0.0838394478128	1	0.0170366682109	1	1	1	1	1	0.0455524982574	0.0789109322621	1	1	1	1	1	1	1	1	0.0517757159696	1	1	0.0305368295458	1	1	1	0.0547936331446	1	1	1	0.0791784850894	1	1	1	1	0.0975852134203	1	1	1	1	0.0816662688906	1	1	1	1	1	1	1	1	1	1	0.0111777591745	1	0.0264241083289	1	1	1	1	1	1	0.0274327198618	0.0603607086561	1	1	1	0.0305368295458	1	1	0.028434145919	1	1	0.0171940354619	1
Aflatoxin_B1_metabolism	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00125563641332	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Allograft_Rejection	0.00812535560642	1	0.0328423685007	1	1	0.0471894451487	1	1	1	0.00627176499357	0.00066931687576	1	1	1	1	1	1	1	0.0181954608346	1	1	1	1	0.0170704676645	1	0.00300948810981	1	0.000333424140941	1	0.0931152042916	1	1	1	1	0.054323750295	1	0.0524735205738	1	1	0.0994128937905	1	1	0.0489263774029	0.0157432305944	0.01175907128	0.0875887780273	0.015240992745	1	1	1	0.01096919164	1	1	1	1	1	1	0.00166671266214	1	1	1	1	1	1	1	0.0233081600331	1	0.00353995640653	1	1	0.000472895613215	0.00147279334366	1	1	0.0454405542688	0.0335425706517	0.00343667463782	1	0.0442158079125	1	1	1	1	1	1	0.0537214865361	1	0.000785361015247	0.018959460266	0.00262658619679	1	1	1	0.024543702089	1	1	1	1	0.0233081600331	1	1	0.0524735205738	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Alzheimers_Disease	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0181435466488	1	1	1	1	0.0398548070998	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0132272549323	1	1	0.0226896722651	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00900070697425	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0854871446855	1	1	1
Amyotrophic_lateral_sclerosis_(ALS)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0255137925645	1	1	1	1	1	1	1	0.0582218708045	1	1	1	1	1	1	1	1	1	1	0.0010722487277	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00588725320686	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0733512156634	1	1	1	1
Androgen_receptor_signaling_pathway	0.0252879592551	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00652352259093	1	1	1	1	1	0.0754238242295	1	1	1	1	1	0.0164109297455	1	1	0.0750128359087	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0807676537495	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Angiogenesis	1	1	1	1	1	0.030365131402	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0852117694588	1	1	0.0197308825949	1	1	1	1	1	0.0337437286654	1	1	0.0162853375633	1	1	1	1	1	1	1	1	1	1	1	0.00907361611999	1	1	1	1	0.0100760124855	1	1	0.0391239850347	1	1	1	1	1	1	1	1	1	1	1	1	0.0238742443405	1	0.0699589948946	1	0.0100651720524	0.0219186291352	1	1	1	1	1	1	1	1	1	1	1	0.00156672353776	0.0147183951727	0.0164122301005	1	1	1	0.00587461542073	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Apoptosis	1	1	1	1	1	0.000195672130239	1	1	1	0.03252440904	1	0.0123087333801	1	1	1	0.0792238807708	0.0063828987097	1	1	1	0.0189179214331	0.0970583128441	1	1	0.0189179214331	1	1	0.0509497065493	1	1	1	0.0730594390312	1	1	1	1	0.0177611176244	1	1	0.00023941740215	1	1	1	0.00164147233019	0.0347748282646	0.00484462972635	1	0.00342891549956	1	1	1	0.00519462122768	1	1	1	1	1	1	0.0162506847174	1	1	1	1	1	1	1	0.0792238807708	0.00172817021794	1	0.016437388184	1	1	1	0.0367770939845	0.015795853069	0.0543073867164	1	0.0284204067382	0.0151719520109	1	1	1	1	1	1	0.0348659558214	0.000896674271748	0.00830100410529	0.029274524991	1	0.0494890205378	1	0.0328294458213	1	1	1	1	1	1	1	1	1	1	1	1	0.0227481042499	1	0.0177611176244	1	0.0792238807708	1	1	1	0.0730594390312	1	1	1
