TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
PKNOX1	PathwayCommons	Interferon_Signaling	44	0	265	19	0.0	0.0	APBB1IP GBP2 IFI27 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR1 IFNGR2 ISG15 ISG20 MT2A PTAFR PTPN1 STAT2
STAT1	PathwayCommons	Interferon_Signaling	44	0	184	17	0.0	0.0	APBB1IP IFI27 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR2 ISG15 ISG20 PTAFR STAT2 USP18 XAF1
PPARG	PathwayCommons	Interferon_Signaling	44	0	158	16	0.0	0.0	APBB1IP GBP2 IFI27 IFI35 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR2 ISG15 ISG20 MT2A PTAFR USP18
IRF7	PathwayCommons	Interferon_Signaling	44	0	137	16	8.40660874246e-13	1.16386135396e-07	GBP2 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFITM3 IFNGR2 ISG15 ISG20 MT2A PTAFR PTPN1 STAT2 USP18 XAF1
STAT3	PathwayCommons	Interferon_Signaling	44	0	137	16	8.40660874246e-13	1.16386135396e-07	APBB1IP GBP2 IFI27 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR2 ISG20 MT2A PTAFR STAT2
IRF1	PathwayCommons	Interferon_Signaling	44	0	143	16	1.03395070283e-12	1.43145305054e-07	APBB1IP GBP2 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFNGR2 ISG15 ISG20 MT2A PTAFR PTPN1 STAT2 USP18 XAF1
STAT1	PathwayCommons	Interferon_alpha/beta_signaling	33	0	184	15	1.3344880756e-12	1.84751867138e-07	APBB1IP IFI27 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 ISG15 ISG20 STAT2 USP18 XAF1
IRF7	PathwayCommons	Interferon_alpha/beta_signaling	33	0	137	13	2.16748841098e-12	3.00071430592e-07	GBP2 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFITM3 ISG15 ISG20 PTPN1 STAT2 USP18 XAF1
STAT3	PathwayCommons	Interferon_alpha/beta_signaling	33	0	137	13	2.16748841098e-12	3.00071430592e-07	APBB1IP GBP2 IFI27 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 ISG20 STAT2
NFE2L2	PathwayCommons	Immune_System	365	0	223	49	5.27655696914e-12	7.30491823364e-07	AIM2 C1QA C1QB C1QC C2 C3 CALR CD14 CD80 CD86 CSF2RA CTSS CYBB DDX58 DHX58 FYB GBP2 HCST HERC5 HLA-A HLA-E IFI27 IFI35 IFI6 IFIT1 IFIT3 IFNGR1 IFNGR2 IL2RA IL3RA ISG15 ISG20 LAT LYN MAP3K8 MT2A NFKB1 NFKBIA PRKACB PSMA7 PTAFR PTPN1 PTPRC SOCS3 SQSTM1 TLR2 TXN TXNIP UBE2D1
