	ARID3A	ASCL2	ATF4	BATF3	CUX1	DBP	ETV5	HIF1A	HMGA1	IRF1	IRF3	IRF5	IRF7	IRF8	IRF9	JUNB	MXD4	NFE2L2	NFKB2	PKNOX1	PLSCR1	PPARG	RELA	SOX4	STAT1	STAT2	STAT3	STAT4	YBX1	ZEB2	ZNF274	ZNF394
AP-1_transcription_factor_network	1	1	1	1	1	1	1	0.140889878189	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
C-MYC_pathway	1	1	1	1	1	1	0.804780397301	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Classical_antibody-mediated_complement_activation	1	1	1	1	1	1	1	1	1	1	0.366299428143	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cytokine_Signaling_in_Immune_system	0.0498812518986	1	0.17378155257	0.0177502200301	0.0607693524249	1	1	0.0650463437963	1	9.84359380471e-05	1	1	1.0550074534e-06	1	5.96108444539e-05	0.13838225856	1	0.00122538345468	0.119438016169	1.17578773051e-06	0.00052789651116	0.00350877504776	1	1	0.00120969320827	0.0231906891672	1.0550074534e-06	0.0160105881053	1	1	1	0.118264491754
IFN-gamma_pathway	1	1	1	1	1	1	1	0.650367573881	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IL12-mediated_signaling_events	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0421287765108	1	1	1	1	1	1	1	1	1	1	1	1	1
IL3-mediated_signaling_events	1	1	1	1	1	1	1	0.691936781925	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Immune_System	1	1	1	0.00509125174993	1	1	1	1	0.675466343123	1.71909148083e-06	1	0.201022446142	1.40431001006e-06	0.0403542993343	9.99891561548e-07	0.134533433517	1	7.30491823364e-07	0.0122671656531	9.546039349e-07	1	4.56744119626e-06	0.0178121153276	1	9.80655296579e-06	1.29213132747e-05	1.40431001006e-06	1.59743403755e-05	0.130155966007	1	1	0.826321108772
Integrin-linked_kinase_signaling	1	1	1	1	1	1	1	0.410588535161	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Interferon_Signaling	0.00276004376698	0.14350450848	0.0010209692063	1	0.0149625272326	1	1	1	1	1.43145305054e-07	1	0.00417687768532	1.16386135396e-07	0.00121630758286	3.40084263639e-06	0.00373312546816	1	0.00865660179995	0.0147045573894	0.0	0.000585418724153	0.0	0.0172002188259	1	0.0	8.75085958296e-05	1.16386135396e-07	0.0478434763819	1	1	0.123981742833	0.00181099185925
Interferon_alpha/beta_signaling	0.00737486703763	1	0.00309920239088	1	0.00332874497351	1	1	1	1	9.38103528192e-07	1	0.000264989711568	3.00071430592e-07	0.000104304192388	5.65916460717e-05	0.0582490645392	1	1	1	7.49689299173e-06	4.83452110838e-05	1.69223881841e-06	0.197244644635	1	1.84751867138e-07	4.16640875587e-05	3.00071430592e-07	0.447341802398	1	1	0.645862914234	0.0642020742144
PERK_regulated_gene_expression	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.143241490565	1	1	1	1	1	1	1	1
Respiratory_electron_transport,_ATP_synthesis_by_chemiosmotic_coupling,_and_heat_production_by_uncoupling_proteins.	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.267175346332	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
The_citric_acid_(TCA)_cycle_and_respiratory_electron_transport	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.661715772406	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Validated_targets_of_C-MYC_transcriptional_repression	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.590989409781	1	1
Validated_transcriptional_targets_of_AP1_family_members_Fra1_and_Fra2	1	1	1	1	1	1	1	0.332831331657	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
prostanoid_biosynthesis	1	1	1	1	1	0.350480016115	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
