	ARID3A	ASCL2	ATF4	BATF3	CUX1	DBP	ETV5	HIF1A	HMGA1	IRF1	IRF3	IRF5	IRF7	IRF8	IRF9	JUNB	MXD4	NFE2L2	NFKB2	PKNOX1	PLSCR1	PPARG	RELA	SOX4	STAT1	STAT2	STAT3	STAT4	YBX1	ZEB2	ZNF274	ZNF394
AP-1_transcription_factor_network	0	0	9	26	0	0	17	23	41	24	0	0	30	0	16	24	0	33	24	44	0	26	20	0	0	20	30	27	0	0	0	0
C-MYC_pathway	0	0	0	0	0	0	11	7	14	0	0	0	0	0	0	8	0	0	0	0	0	10	0	0	0	0	0	0	0	9	3	0
Classical_antibody-mediated_complement_activation	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Cytokine_Signaling_in_Immune_system	10	8	9	16	6	5	0	11	15	19	0	10	21	8	16	13	0	22	14	28	11	18	12	7	20	15	21	16	13	0	7	11
IFN-gamma_pathway	0	0	0	42	0	0	26	34	71	44	0	0	43	0	0	40	0	0	39	75	0	49	0	0	55	0	46	43	0	0	15	0
IL12-mediated_signaling_events	0	0	0	12	0	4	0	5	13	8	5	4	10	0	6	0	0	12	14	17	0	11	9	0	11	10	11	9	8	0	0	6
IL3-mediated_signaling_events	0	0	0	0	0	0	26	34	0	44	0	0	43	0	0	39	0	0	39	0	0	49	0	0	55	0	45	42	0	0	15	0
Immune_System	14	11	13	31	6	8	9	17	40	38	7	20	38	16	31	24	0	49	28	59	12	39	28	14	42	33	38	35	27	0	9	18
Integrin-linked_kinase_signaling	0	0	0	26	0	0	19	23	44	24	0	0	30	0	0	26	0	35	24	45	0	27	21	0	0	0	30	27	0	0	0	0
Interferon_Signaling	8	7	8	8	5	0	0	6	10	16	2	9	16	8	12	10	0	13	10	19	8	16	10	5	17	12	16	10	8	0	6	9
Interferon_alpha/beta_signaling	7	5	7	7	5	2	0	4	7	13	0	9	13	8	10	8	0	9	7	15	8	13	8	4	15	11	13	8	7	0	5	7
PERK_regulated_gene_expression	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	3	0	2	0	3	0	0	0	4	0	0	0	2	0	0	0	0
Respiratory_electron_transport,_ATP_synthesis_by_chemiosmotic_coupling,_and_heat_production_by_uncoupling_proteins.	0	0	6	0	0	0	0	0	0	0	0	5	6	0	6	0	4	0	0	0	7	0	0	0	0	6	0	0	7	0	0	0
The_citric_acid_(TCA)_cycle_and_respiratory_electron_transport	0	0	6	0	0	0	0	0	0	0	0	5	0	0	7	0	4	0	0	0	7	0	0	0	0	8	0	0	8	0	0	0
Validated_targets_of_C-MYC_transcriptional_repression	0	0	0	0	0	0	6	4	8	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	5	0	0	0	0	7	2	0
Validated_transcriptional_targets_of_AP1_family_members_Fra1_and_Fra2	0	5	4	10	0	0	4	10	13	10	0	0	11	0	5	8	0	12	8	14	0	9	8	0	8	0	10	11	0	0	3	4
prostanoid_biosynthesis	0	2	0	0	0	4	0	0	3	2	0	0	2	0	0	0	0	2	0	3	0	3	2	0	3	0	0	0	0	0	0	0
