	AHR	ARID3A	ARID5B	ARNT	ASCL2	ATF3	ATF4	ATF5	ATF6B	BACH1	BATF	BATF3	BBX	BCL11A	BHLHE41	CDC5L	CEBPD	CEBPG	CEBPZ	CREB3	CREB3L2	CUX1	DBP	DDIT3	DNMT1	DNTTIP1	EGR2	EPAS1	ETS2	ETV5	ETV6	FOS	FOXO3	GTF2B	GTF3A	HIF1A	HLX	HMG20A	HMG20B	HMGA1	HMGN3	IRF1	IRF2	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	JUNB	JUND	KLF10	KLF3	KLF6	LCORL	LYL1	MAFB	MAFF	MBD2	MECP2	MEF2A	MITF	MSANTD3	MSC	MTF1	MXD1	MXD4	NFAT5	NFE2L1	NFE2L2	NFKB1	NFKB2	NR1H3	NR3C1	PKNOX1	PLSCR1	POU2F2	PPARG	RBPJ	REL	RELA	RELB	RREB1	RUNX1	SNAI3	SOX4	SP3	STAT1	STAT2	STAT3	STAT4	STAT5A	STAT6	TCF4	TCF7L2	TFDP2	TFEB	TFEC	TGIF1	THAP1	TSC22D1	XBP1	XPA	YBX1	YY1	ZBTB43	ZEB2	ZHX1	ZNF143	ZNF267	ZNF274	ZNF281	ZNF322	ZNF350	ZNF37A	ZNF394	ZNF444	ZNF524	ZNF580	ZNF677	ZNF75A
ALK1_pathway	0.0869516482551	1	1	1	1	0.0223394810637	1	1	1	1	1	0.0902816562647	1	0.045971882493	1	1	1	1	1	1	1	1	1	0.0708579112854	1	1	0.00754392082152	1	0.0102442407776	0.0461595589824	1	1	1	0.0412860113318	1	0.0137269814698	1	1	0.0214151388456	1	1	1	1	1	1	0.086591921215	1	1	0.0173735469466	0.0344005884384	0.0708579112854	0.0214151388456	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00839091348321	1	1	0.00646677158705	1	0.0782817321726	1	0.0175156531842	1	1	1	1	1	1	1	1	1	1	1	0.0715104356186	1	1	1	1	0.0455612093119	0.0222620641592	0.0286346352532	1	1	1	1	1	1	1	1	0.00682138262303	1	1	1	1	0.0160634460888	1	1	0.00245747469693	1	1	1	1	1	1	1	1	1	0.0892226280297	1	1
ALK1_signaling_events	0.0841744351479	1	1	1	1	0.020629587562	1	1	1	1	1	0.0846160453064	1	0.0429159257904	1	1	1	1	1	1	1	1	1	0.0685296036727	1	1	0.0068738603891	1	0.0091954165206	0.0436414668227	1	1	1	0.0404287782529	0.0976670201686	0.0128101382999	1	1	0.0202492848967	1	1	1	1	1	1	0.0811146692109	1	1	0.0164100257528	0.0320257635715	0.0685296036727	0.0202492848967	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00806307953494	1	1	0.00608148548936	1	0.0761984304675	1	0.0159376216836	1	1	1	1	1	1	1	1	1	1	1	0.0700848998919	1	0.0976670201686	1	1	0.0422056984771	0.0203875515516	0.0271192218547	1	1	1	1	1	1	1	1	0.00634081294053	1	1	1	1	0.015577579205	1	1	0.0022879085501	1	1	1	1	1	1	1	1	1	0.0868874134749	1	1
AP-1_transcription_factor_network	0.0518292156699	1	1	1	1	0.0153934788567	0.0880696937697	1	1	1	1	0.00793084313506	1	0.006933852485	1	1	1	1	1	1	1	1	1	1	1	1	0.0221443062148	1	0.00172301350607	0.00250862869775	1	0.0814166678168	1	0.0238176724195	0.0118727629195	1.01815229436e-06	1	1	0.0102069211723	0.0110470885897	1	0.0388433957952	1	1	1	0.000365874609715	1	0.0734402746669	0.045720966238	0.00073173983963	0.0369022048859	0.00120746220032	1	0.0542003166247	1	1	1	1	0.0558598831681	1	0.0613822471544	0.0313266932288	1	1	0.0226631900199	0.0047595535191	1	1	0.0137728896528	0.0821826459468	1	0.00548182610791	0.028520224817	0.00928079213787	0.0079850275865	1	0.000253308257281	0.040239468058	1	1	0.0732829077389	0.0350630526819	1	1	1	1	0.00459740746935	1	0.0732829077389	0.000365874609715	0.00364683903867	0.0022261575143	1	1	1	0.0735514762593	1	1	1	1	0.0451030333114	0.0735514762593	1	1	0.0163831749761	0.000333160702209	1	1	0.0226761480713	1	1	0.0222453265378	1	1	1	1	1	1	1	1	1
APC/C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0637241180868	1	1	0.047152706238	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0156582719741	1	1	0.0256417456826	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0934762435511	1	1	1	1	1	1	1	1	0.0302657457077	1	1	1	1	0.0995790937808	1	1	0.0978477495017	1	1	1	1	0.0966953409162	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0374382901199	1	1	1	1
APC/C-mediated_degradation_of_cell_cycle_proteins	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0740545901657	1	1	0.0582073954452	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0230386538366	1	1	0.0337771554447	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0416331009918	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0464235647658	1	1	1	1
ATF-2_transcription_factor_network	1	1	1	1	1	0.0379640838067	1	1	1	1	1	1	1	0.00821028261422	1	1	1	1	1	1	1	1	1	1	1	1	0.00760820568736	1	1	1	1	0.0656340886338	1	1	1	1	1	1	1	0.0635736265776	1	1	1	1	0.061804375053	1	1	1	1	0.00676414071825	1	1	1	1	1	1	0.0756756585988	1	1	1	1	1	1	1	1	1	1	1	0.00105459438993	1	1	1	0.0253602471398	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0590443484023	1	1	0.0717004835157	0.00302562605669	1	1	1	1	1	1	1	1	0.00503850854873	1	1	1	1	1	1	1	0.0128614204579	1	1	1	0.0329512921867	1	1	1	1	1	1	1	1
ATM_pathway	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0926430237148	1	0.0430226065001	1	1	1	1	0.0756391382574	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0395223855071	0.0206707708998	1	1	1	0.0177337180875	1	1	1	1	1	1	1	0.0825264363467	1	1	1	1	1	0.0261282686305	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0078668137807	1	1	1	1	1	1	1	1	0.0920844397498	1	1	1	1	1	1	1	1	1	1	1
ATR_signaling_pathway	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0669563953231	1	1	0.0475294431954	1	0.0282454317785	1	1	1	1	0.0381300466816	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0656814615848	1	1	1	1	1	1	1	0.00868305135134	0.00831150309076	1	1	1	0.00816543742876	1	1	1	1	1	1	1	0.0476732507673	1	1	1	1	1	0.00938100595694	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0464844168735	0.0442982794132	1	1	1	1	1	1	1	1	1	1	1	1	0.00174356526038	1	0.0750407809278	1	1	1	0.0964999720312	1	1	0.0618728077283	1	1	1	1	1	1	1	1	1	1	1
Activation,_myristolyation_of_BID_and_translocation_to_mitochondria	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0204545416617	1	1	1	1	0.0283790409554	1	0.00577388429431	1	0.00381982908483	1	1	1	1	1	1	0.00264246601221	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00117990502266	1	1	1	1
Activation_of_APC/C_and_APC/C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0654087518689	1	1	0.0489154012362	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0167549497338	1	1	0.0269049486489	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0974372308884	1	1	1	1	1	1	1	1	0.0320049884545	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0388670179266	1	1	1	1
