TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
STAT1	PathwayCommons	Interferon_Signaling	44	up	184	17	0.0	0.0	APBB1IP IFI27 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR2 ISG15 ISG20 PTAFR STAT2 USP18 XAF1
PPARG	PathwayCommons	Interferon_Signaling	44	up	158	16	0.0	0.0	APBB1IP GBP2 IFI27 IFI35 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR2 ISG15 ISG20 MT2A PTAFR USP18
IRF1	PathwayCommons	Interferon_Signaling	44	up	101	15	0.0	0.0	GBP2 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFNGR2 ISG15 ISG20 MT2A PTAFR PTPN1 STAT2 USP18 XAF1
PKNOX1	PathwayCommons	Interferon_Signaling	44	down	161	17	0.0	0.0	GBP2 IFI27 IFI35 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR1 IFNGR2 ISG15 ISG20 MT2A PTAFR PTPN1 STAT2
PKNOX1	PathwayCommons	Cytokine_Signaling_in_Immune_system	113	down	161	25	8.09352584952e-14	1.44806127089e-08	CSF2RA GBP2 IFI27 IFI35 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR1 IFNGR2 IL1B IL2RA IL3RA ISG15 ISG20 LYN MAP3K8 MT2A NFKB1 PTAFR PTPN1 SOCS3 STAT2
STAT3	PathwayCommons	Interferon_Signaling	44	up	137	16	8.40660874246e-13	1.50405999655e-07	APBB1IP GBP2 IFI27 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR2 ISG20 MT2A PTAFR STAT2
IRF7	PathwayCommons	Interferon_Signaling	44	up	137	16	8.40660874246e-13	1.50405999655e-07	GBP2 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFITM3 IFNGR2 ISG15 ISG20 MT2A PTAFR PTPN1 STAT2 USP18 XAF1
STAT1	PathwayCommons	Interferon_alpha/beta_signaling	33	up	184	15	1.3344880756e-12	2.3875726507e-07	APBB1IP IFI27 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 ISG15 ISG20 STAT2 USP18 XAF1
NFE2L2	PathwayCommons	Immune_System	365	up	142	42	1.91269222682e-12	3.42203591686e-07	AIM2 C1QA C1QB C1QC C2 CD14 CD80 CD86 CSF2RA CTSS CYBB DDX58 DHX58 GBP2 HERC5 HLA-A HLA-E IFI27 IFI35 IFI6 IFIT1 IFIT3 IFNGR1 IFNGR2 IL2RA IL3RA ISG15 ISG20 LYN MAP3K8 MT2A NFKB1 NFKBIA PTAFR PTPN1 PTPRC SOCS3 SQSTM1 TLR2 TXN TXNIP UBE2D1
STAT3	PathwayCommons	Interferon_alpha/beta_signaling	33	up	137	13	2.16748841098e-12	3.87785351608e-07	APBB1IP GBP2 IFI27 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 ISG20 STAT2
IRF7	PathwayCommons	Interferon_alpha/beta_signaling	33	up	137	13	2.16748841098e-12	3.87785351608e-07	GBP2 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFITM3 ISG15 ISG20 PTPN1 STAT2 USP18 XAF1
PKNOX1	PathwayCommons	Immune_System	365	down	161	49	4.67192950993e-12	8.35850236691e-07	AIM2 C1QA C1QB C1QC C2 CD14 CD80 CD86 CSF2RA CYBB DDX58 DHX58 GBP2 HERC5 HLA-A HLA-E IFI27 IFI35 IFIH1 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR1 IFNGR2 IL1B IL2RA IL3RA IRF7 ISG15 ISG20 LYN MAP3K8 MT2A NFKB1 NFKBIA PSMA4 PSME1 PTAFR PTPN1 PTPRC RIPK2 SOCS3 STAT2 TLR2 TXN UBE2D1
IRF1	PathwayCommons	Interferon_alpha/beta_signaling	33	up	101	12	6.14186479453e-12	1.09882874666e-06	GBP2 IFI35 IFI6 IFIT1 IFIT2 IFIT3 ISG15 ISG20 PTPN1 STAT2 USP18 XAF1
IRF1	PathwayCommons	Immune_System	365	up	101	34	6.30318020001e-12	1.12768306004e-06	AIM2 CASP1 CD80 DDX58 DHX58 GBP2 HERC5 HLA-A IFI35 IFI6 IFIH1 IFIT1 IFIT2 IFIT3 IFNGR2 IRF7 ISG15 ISG20 MT2A PSMA4 PSMB9 PSME1 PSME2 PTAFR PTPN1 RIPK2 SOCS3 SQSTM1 STAT2 TAP1 TXN UBE2D1 USP18 XAF1
IRF9	PathwayCommons	Immune_System	365	up	94	31	7.222666909e-12	1.29217844602e-06	CASP1 CD86 DDX58 DHX58 HCST HERC5 HLA-E IFI6 IFIH1 IFIT1 IFIT2 IFIT3 IFNGR2 IL1RN IRF7 ISG15 ISG20 MT2A PRKACB PSMB9 PSME1 PSME2 PTPN1 PYCARD RIPK2 SOCS3 STAT2 TAP1 TXN USP18 XAF1
STAT3	PathwayCommons	Cytokine_Signaling_in_Immune_system	113	up	137	21	7.62090390793e-12	1.36341019275e-06	APBB1IP GBP2 IFI27 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR2 IL1B IL2RA ISG20 MAP3K8 MT2A PTAFR SOCS3 SQSTM1 STAT2
IRF7	PathwayCommons	Cytokine_Signaling_in_Immune_system	113	up	137	21	7.62090390793e-12	1.36341019275e-06	CASP1 GBP2 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFITM3 IFNGR2 IL2RA ISG15 ISG20 MT2A PRKACB PTAFR PTPN1 SOCS3 SQSTM1 STAT2 USP18 XAF1
PLSCR1	PathwayCommons	Interferon_alpha/beta_signaling	33	up	27	8	9.13691344806e-12	1.6346212266e-06	GBP2 IFI27 IFI35 IFI6 IFITM1 IFITM2 IFITM3 ISG15
NFE2L2	PathwayCommons	Cytokine_Signaling_in_Immune_system	113	up	142	21	9.19220255469e-12	1.64450342144e-06	CSF2RA GBP2 IFI27 IFI35 IFI6 IFIT1 IFIT3 IFNGR1 IFNGR2 IL2RA IL3RA ISG15 ISG20 LYN MAP3K8 MT2A NFKB1 PTAFR PTPN1 SOCS3 SQSTM1
STAT3	PathwayCommons	Immune_System	365	up	137	38	1.01443298206e-11	1.81482060491e-06	AIM2 APBB1IP C3 CALR CD80 CD86 DDX58 DHX58 GBP2 HERC5 HLA-A HLA-E IFI27 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR2 IL1B IL2RA IRF7 ISG20 MAP3K8 MT2A PSMA4 PTAFR PYCARD SOCS3 SQSTM1 STAT2 TAP1 TLR2 TXN UBE2D1
IRF7	PathwayCommons	Immune_System	365	up	137	38	1.01443298206e-11	1.81482060491e-06	AIM2 C2 CASP1 CD86 DDX58 DHX58 GBP2 HERC5 HLA-A HLA-E IFI35 IFI6 IFIH1 IFIT1 IFIT2 IFIT3 IFITM3 IFNGR2 IL2RA IRF7 ISG15 ISG20 MT2A PRKACB PSMA4 PSMB9 PSME1 PSME2 PTAFR PTPN1 RIPK2 SOCS3 SQSTM1 STAT2 TAP1 TXN USP18 XAF1
PPARG	PathwayCommons	Interferon_alpha/beta_signaling	33	up	158	13	1.22243326572e-11	2.18692088805e-06	APBB1IP GBP2 IFI27 IFI35 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 ISG15 ISG20 USP18
PLSCR1	PathwayCommons	Cytokine_Signaling_in_Immune_system	113	up	27	11	1.53813628501e-11	2.75169505115e-06	CASP1 CSF2RA GBP2 IFI27 IFI35 IFI6 IFITM1 IFITM2 IFITM3 IL3RA ISG15
IRF1	PathwayCommons	Cytokine_Signaling_in_Immune_system	113	up	101	18	1.79559700442e-11	3.21226917299e-06	CASP1 GBP2 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFNGR2 ISG15 ISG20 MT2A PTAFR PTPN1 SOCS3 SQSTM1 STAT2 USP18 XAF1
PKNOX1	PathwayCommons	Interferon_alpha/beta_signaling	33	down	161	13	1.82250881053e-11	3.26039536169e-06	GBP2 IFI27 IFI35 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 ISG15 ISG20 PTPN1 STAT2
IRF9	PathwayCommons	Interferon_Signaling	44	up	94	12	2.45672371335e-11	4.394955887e-06	IFI6 IFIT1 IFIT2 IFIT3 IFNGR2 ISG15 ISG20 MT2A PTPN1 STAT2 USP18 XAF1
PPARG	PathwayCommons	Immune_System	365	up	158	39	3.29948290911e-11	5.90257695543e-06	AIM2 APBB1IP C3 CD80 DDX58 DHX58 FOS GBP2 HCST HERC5 HLA-A HLA-E IFI27 IFI35 IFIH1 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR2 IRF7 ISG15 ISG20 MT2A NFKBIA PRKACB PSMA7 PSMB9 PSME1 PTAFR PYCARD RIPK2 SOCS3 TAP1 TXN UBE2D1 USP18
PLSCR1	PathwayCommons	Interferon_Signaling	44	up	27	8	6.14595041526e-11	1.09946750764e-05	GBP2 IFI27 IFI35 IFI6 IFITM1 IFITM2 IFITM3 ISG15
STAT1	PathwayCommons	Immune_System	365	up	184	42	7.08427760898e-11	1.26732059003e-05	AIM2 APBB1IP C3 CASP1 CD80 CFD DDX58 DHX58 FOS HCST HERC5 HLA-A HLA-E IFI27 IFI35 IFI6 IFIH1 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR2 IRF7 ISG15 ISG20 NFKBIA PSMA4 PSMB9 PSME2 PTAFR PYCARD RIPK2 SOCS3 SQSTM1 STAT2 TAP1 TXN UBE2D1 USP18 XAF1
STAT2	PathwayCommons	Immune_System	365	up	123	33	9.33445543083e-11	1.66985006648e-05	AIM2 APBB1IP CASP1 CD80 DDX58 DHX58 HERC5 HLA-A IFI35 IFI6 IFIH1 IFIT1 IFIT2 IFIT3 IRF7 ISG15 ISG20 LY86 MT2A NFKBIA PRKACB PSMA4 PSMB9 PSME1 PSME2 PYCARD RIPK2 SQSTM1 STAT2 TAP1 TXN USP18 XAF1
STAT4	PathwayCommons	Immune_System	365	up	137	35	1.15400689005e-10	2.06440292561e-05	AIM2 C1QB C3 CALR DDX58 DHX58 HCST HERC5 HLA-E HSP90AB1 IFIH1 IFIT1 IFIT2 IFIT3 IFITM1 IFITM3 IFNGR2 IL1B IL1RN IL2RA IRF7 ISG15 ISG20 JUN LAT LYN MAP3K8 MT2A NFKBIA PRKACB PTPN1 TAP1 TLR2 TXN UBE2D1
IRF8	PathwayCommons	Interferon_alpha/beta_signaling	33	up	39	8	1.30782273899e-10	2.33955101956e-05	GBP2 IFI6 IFIT1 IFIT3 ISG15 ISG20 USP18 XAF1
NFE2L2	PathwayCommons	Interferon_Signaling	44	up	142	13	2.32477592732e-10	4.15874516086e-05	GBP2 IFI27 IFI35 IFI6 IFIT1 IFIT3 IFNGR1 IFNGR2 ISG15 ISG20 MT2A PTAFR PTPN1
ARID3A	PathwayCommons	Interferon_Signaling	44	down	32	8	2.73847944321e-10	4.89878372157e-05	IFI27 IFI35 IFI6 IFIT1 IFIT3 IFNGR2 ISG15 XAF1
STAT2	PathwayCommons	Interferon_alpha/beta_signaling	33	up	123	11	3.0098890047e-10	5.38427004495e-05	APBB1IP IFI35 IFI6 IFIT1 IFIT2 IFIT3 ISG15 ISG20 STAT2 USP18 XAF1
IRF9	PathwayCommons	Interferon_alpha/beta_signaling	33	up	94	10	4.08834188725e-10	7.31343038501e-05	IFI6 IFIT1 IFIT2 IFIT3 ISG15 ISG20 PTPN1 STAT2 USP18 XAF1
IRF9	PathwayCommons	Cytokine_Signaling_in_Immune_system	113	up	94	16	4.30648849914e-10	7.7036188868e-05	CASP1 IFI6 IFIT1 IFIT2 IFIT3 IFNGR2 IL1RN ISG15 ISG20 MT2A PRKACB PTPN1 SOCS3 STAT2 USP18 XAF1
