	ARID3A	ASCL2	FOS	FOXO3	HMGA1	PKNOX1	PLSCR1	SOX4	YBX1
Cytokine_Signaling_in_Immune_system	0.000326989874786	0.132928200123	1	1	1	1.44806127089e-08	1	1	0.00626685879773
IL12-mediated_signaling_events	1	1	1	1	1	0.0609935084096	1	1	1
Immune_System	0.398060859111	1	0.353072031256	1	0.00891465133795	8.35850236691e-07	1	1	0.0102836900072
Interferon_Signaling	4.89878372157e-05	0.00247438466678	0.160226033453	1	1	0.0	1	1	0.0211346433514
Interferon_alpha/beta_signaling	0.000231370476746	0.463660715259	0.834671565395	1	1	3.26039536169e-06	1	1	0.0451760043778
PERK_regulated_gene_expression	1	1	1	1	1	1	1	0.0255188512713	1
Respiratory_electron_transport	1	1	1	1	1	1	0.0284684484763	1	1
Respiratory_electron_transport,_ATP_synthesis_by_chemiosmotic_coupling,_and_heat_production_by_uncoupling_proteins.	1	1	1	1	1	1	0.00243671486177	1	1
The_citric_acid_(TCA)_cycle_and_respiratory_electron_transport	1	1	1	1	1	1	0.0118495682764	1	1
superpathway_of_cholesterol_biosynthesis	1	1	1	0.943611835134	1	1	1	1	1
