	ARID3A	ASCL2	FOS	FOXO3	HMGA1	PKNOX1	PLSCR1	SOX4	YBX1
Cytokine_Signaling_in_Immune_system	CASP1 IFI27 IFI35 IFI6 IFIT1 IFIT3 IFNGR2 ISG15 SQSTM1 XAF1	IFITM1 IFITM2 IFITM3 IFNGR2 ISG15 MT2A SOCS3 XAF1	GBP2 IFI27 IFIT2 IFITM3 ISG15 MT2A		CSF2RA GBP2 IFI6 IFIT3 IFITM1 IFITM3 IL1B IL2RA ISG15 PTAFR	CSF2RA GBP2 IFI27 IFI35 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR1 IFNGR2 IL1B IL2RA IL3RA ISG15 ISG20 LYN MAP3K8 MT2A NFKB1 PTAFR PTPN1 SOCS3 STAT2		CASP1 IFI35 IFI6 IFITM2 IFITM3 IL1RN	IFI27 IFI6 IFITM1 IFITM3 IL1B IL3RA ISG15 LYN MAP3K8 MT2A PTPN1 XAF1
IL12-mediated_signaling_events	HLA-DRA IRF1 STAT1		HLA-A IL18 NFKB2 NFKBIA STAT1		CCL3 CCL4 EBI3 HLA-A HLA-DRB1 IL18 IL1B IL2RA IRF1 NFKBIA STAT4	CCL3 CCL4 EBI3 GADD45G HLA-A IL18 IL1B IL27 IL2RA IRF1 NFKB1 NFKB2 NFKBIA RIPK2 STAT2 STAT4			CCL3 CCL4 EBI3 IL1B IL27 IRF1 NFKBIA STAT1
Immune_System	C1QC CASP1 IFI27 IFI35 IFI6 IFIT1 IFIT3 IFNGR2 ISG15 PSMB9 SQSTM1 XAF1	CD86 IFITM1 IFITM2 IFITM3 IFNGR2 ISG15 MT2A PSME2 SOCS3 XAF1	AIM2 GBP2 HERC5 HLA-A IFI27 IFIH1 IFIT2 IFITM3 ISG15 MT2A NFKBIA PSMB9 PSME1		AIM2 C1QA C1QB C2 CD14 CD80 CFD CSF2RA CTSS GBP2 HERC5 HLA-A IFI6 IFIT3 IFITM1 IFITM3 IL1B IL2RA ISG15 LY86 NFKBIA PSMB9 PSME2 PTAFR TLR2 TXNIP UBE2D1	AIM2 C1QA C1QB C1QC C2 CD14 CD80 CD86 CSF2RA CYBB DDX58 DHX58 GBP2 HERC5 HLA-A HLA-E IFI27 IFI35 IFIH1 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR1 IFNGR2 IL1B IL2RA IL3RA IRF7 ISG15 ISG20 LYN MAP3K8 MT2A NFKB1 NFKBIA PSMA4 PSME1 PTAFR PTPN1 PTPRC RIPK2 SOCS3 STAT2 TLR2 TXN UBE2D1		CASP1 CD86 HLA-E HSP90AB1 IFI35 IFI6 IFITM2 IFITM3 IL1RN PSMA4 PSME1 PSME2	CD80 CD86 HLA-E IFI27 IFI6 IFITM1 IFITM3 IL1B IL3RA IRF7 ISG15 LYN MAP3K8 MT2A NFKBIA PSME1 PSME2 PTPN1 TXN XAF1
Interferon_Signaling	IFI27 IFI35 IFI6 IFIT1 IFIT3 IFNGR2 ISG15 XAF1	IFITM1 IFITM2 IFITM3 IFNGR2 ISG15 MT2A XAF1	GBP2 IFI27 IFIT2 IFITM3 ISG15 MT2A		GBP2 IFI6 IFIT3 IFITM1 IFITM3 ISG15 PTAFR	GBP2 IFI27 IFI35 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR1 IFNGR2 ISG15 ISG20 MT2A PTAFR PTPN1 STAT2		IFI35 IFI6 IFITM2 IFITM3	IFI27 IFI6 IFITM1 IFITM3 ISG15 MT2A PTPN1 XAF1
Interferon_alpha/beta_signaling	IFI27 IFI35 IFI6 IFIT1 IFIT3 ISG15 XAF1	IFITM1 IFITM2 IFITM3 ISG15 XAF1	GBP2 IFI27 IFIT2 IFITM3 ISG15		GBP2 IFI6 IFIT3 IFITM1 IFITM3 ISG15	GBP2 IFI27 IFI35 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 ISG15 ISG20 PTPN1 STAT2		IFI35 IFI6 IFITM2 IFITM3	IFI27 IFI6 IFITM1 IFITM3 ISG15 PTPN1 XAF1
PERK_regulated_gene_expression								ASNS ATF3 ATF4 HSPA5	
Respiratory_electron_transport							MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5 NDUFB9		
Respiratory_electron_transport,_ATP_synthesis_by_chemiosmotic_coupling,_and_heat_production_by_uncoupling_proteins.							MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5 NDUFB9		
The_citric_acid_(TCA)_cycle_and_respiratory_electron_transport							MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5 NDUFB9		
superpathway_of_cholesterol_biosynthesis				ACAT2 EBP FDPS LBR SQLE					
