	ARID3A	ASCL2	FOS	FOXO3	HMGA1	PKNOX1	PLSCR1	SOX4	YBX1
Cytokine_Signaling_in_Immune_system	1.82798454151e-09	7.43280027526e-07	0.000216208963178	1	0.000295095694647	8.09352584952e-14	1	0.000920133156566	3.50364169899e-08
IL12-mediated_signaling_events	0.0329664069673	1	0.00120582678768	1	2.78790791564e-05	3.41037358242e-07	1	1	8.82291627912e-05
Immune_System	2.22595502419e-06	0.000130965650888	1.9743666051e-06	1	4.98398317061e-08	4.67192950993e-12	1	0.000218668991979	5.74941436682e-08
Interferon_Signaling	2.73847944321e-10	1.3833269974e-08	8.95938365053e-07	1	6.3902329025e-05	0.0	1	0.000970436457719	1.18163711926e-07
Interferon_alpha/beta_signaling	1.29342514477e-09	2.59283270287e-06	4.66781999953e-06	1	0.000100851234446	1.82250881053e-11	1	0.000317678694246	2.52592993966e-07
PERK_regulated_gene_expression	1	1	1	1	1	1	1	1.42678195147e-07	1
Respiratory_electron_transport	1	1	1	1	1	1	1.5917232854e-07	1	1
Respiratory_electron_transport,_ATP_synthesis_by_chemiosmotic_coupling,_and_heat_production_by_uncoupling_proteins.	1	1	1	1	1	1	1.36225973835e-08	1	1
The_citric_acid_(TCA)_cycle_and_respiratory_electron_transport	1	1	1	1	1	1	6.62490399206e-08	1	1
superpathway_of_cholesterol_biosynthesis	1	1	1	5.27717596965e-06	1	1	1	1	1
