	ARID5B	ATF4	BATF3	CUX1	DBP	ETS2	HIF1A	IRF1	IRF3	IRF5	IRF7	IRF8	IRF9	JUNB	MXD4	NFE2L2	NFKB2	NR3C1	PLSCR1	PPARG	RELA	STAT1	STAT2	STAT3	STAT4	TCF4	ZNF274	ZNF394
AP-1_transcription_factor_network	1	1	1	1	1	1	0.182081265562	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Classical_antibody-mediated_complement_activation	1	1	1	1	1	1	1	1	0.473389244262	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cytokine_Signaling_in_Immune_system	1	0.224592955174	0.025827502495	0.0785350796324	1	1	0.0840622406393	3.21226917299e-06	1	1	1.36341019275e-06	0.522094309975	7.7036188868e-05	0.0840622406393	1	1.64450342144e-06	0.154354624018	1	2.75169505115e-06	0.00453456558255	1	0.00156333792357	0.0299704547118	1.36341019275e-06	0.0206915886075	1	1	0.152837780674
IFN-gamma_pathway	1	1	1	1	1	1	0.840494471021	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IL12-mediated_signaling_events	1	1	0.466982883393	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05444463456	1	1	1	1	1	1	1	1	1	1	1
IL27-mediated_signaling_events	0.744794353855	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IL3-mediated_signaling_events	1	1	1	1	1	1	0.894225308524	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Immune_System	1	1	0.0444532727035	1	1	0.234923359227	1	1.12768306004e-06	1	0.259796665849	1.81482060491e-06	0.00167875570835	1.29217844602e-06	1	1	3.42203591686e-07	0.0158536275304	0.691503404036	0.0438950705169	5.90257695543e-06	0.0230199395288	1.26732059003e-05	1.66985006648e-05	1.81482060491e-06	2.06440292561e-05	0.696815906013	1	1
Innate_Immune_System	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.227763339727	1	1	1	1	1	1	1	1	1	1
Integrin-linked_kinase_signaling	1	1	1	1	1	1	0.530624435256	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Interferon_Signaling	1	0.00131943972203	1	0.01933707556	1	1	1	0.0	1	0.00539803587915	1.50405999655e-07	0.000272332065852	4.394955887e-06	0.0268270221895	1	4.15874516086e-05	0.0190036527994	1	1.09946750764e-05	0.0	0.0222289425906	0.0	0.000113089150035	1.50405999655e-07	0.0618293701388	1	0.160226033453	0.00234044627428
Interferon_alpha/beta_signaling	1	0.00400524124949	1	0.00430189667727	1	1	1	1.09882874666e-06	1	0.000342451394089	3.87785351608e-07	2.33955101956e-05	7.31343038501e-05	0.00238413846752	1	0.0615430857282	1	1	1.6346212266e-06	2.18692088805e-06	0.25491390756	2.3875726507e-07	5.38427004495e-05	3.87785351608e-07	0.578123495942	1	0.834671565395	0.0829714823662
Respiratory_electron_transport,_ATP_synthesis_by_chemiosmotic_coupling,_and_heat_production_by_uncoupling_proteins.	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.345291677574	1	1	1	1	1	1	1	1	1	1	1	1	1
The_citric_acid_(TCA)_cycle_and_respiratory_electron_transport	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.855161572786	1	1	1	1	1	1	1	1	1	1	1	1	1
Validated_transcriptional_targets_of_AP1_family_members_Fra1_and_Fra2	1	1	1	1	1	1	0.430139955011	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
prostanoid_biosynthesis	1	1	1	1	0.452949258378	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
