	ARID5B	ATF4	BATF3	CUX1	DBP	ETS2	HIF1A	IRF1	IRF3	IRF5	IRF7	IRF8	IRF9	JUNB	MXD4	NFE2L2	NFKB2	NR3C1	PLSCR1	PPARG	RELA	STAT1	STAT2	STAT3	STAT4	TCF4	ZNF274	ZNF394
AP-1_transcription_factor_network	1	0.0880696937697	0.00387763744831	1	1	0.000186418321807	1.01815229436e-06	0.0217593172238	1	1	0.000365874609715	1	0.0734402746669	0.00151810398083	1	0.0599089643041	0.00548182610791	0.0054261647633	1	0.040239468058	0.0732829077389	1	0.0732829077389	0.000365874609715	0.00364683903867	1	1	1
Classical_antibody-mediated_complement_activation	1	1	1	1	1	0.000265089548109	1	1	2.64726512544e-06	1	1	1	1	1	1	0.000508027159229	1	6.16502094241e-05	1	1	1	1	1	1	1	1	1	1
Cytokine_Signaling_in_Immune_system	0.0897561944695	1.25587391198e-06	1.44404699309e-07	4.39126163765e-07	0.0123225577868	7.77771631181e-05	4.70038976741e-07	1.79559700442e-11	1	1.57441065213e-05	7.62090390793e-12	2.91964763632e-06	4.30648849914e-10	4.70038976741e-07	1	9.19220255469e-12	8.63097462611e-07	0.0872714828458	1.53813628501e-11	2.53513218196e-08	3.23156696537e-05	8.73973693416e-09	1.67571258425e-07	7.62090390793e-12	1.1568594771e-07	0.00228260714472	2.21285513526e-05	8.54611022616e-07
IFN-gamma_pathway	1	1	0.0157343924088	1	1	0.00409661286829	4.70041032263e-06	0.00438865067704	1	1	0.0413127856202	1	1	0.0018185046163	1	0.0995738694268	0.0339435301163	0.0242238513841	1	0.038028741923	1	0.0563123862575	1	0.0105265174036	0.0413127856202	1	0.0234019076049	1
IL12-mediated_signaling_events	0.0010205234947	1	2.61142517122e-06	1	0.0387898177994	6.25979384572e-06	0.0167953828925	0.00163706956639	0.000181533195194	0.0971710173476	0.000816607158173	1	0.0173349888911	1	1	5.88120706986e-05	3.04418470209e-07	0.000818779770789	1	0.000664607704104	0.00147407489172	0.00231244284418	0.000345844799962	0.000192933681255	0.00310409375938	1	1	0.00491299575654
IL27-mediated_signaling_events	4.16514380064e-06	1	0.00242472169438	1	0.0403883766694	0.0242001591453	0.00596755654012	0.000192362676421	1	0.0701605640997	0.006314923131	1	0.00161224970632	1	1	0.0424596575331	0.00405723660193	1	1	0.0553086832093	0.00048298420876	0.0797213139033	0.00048298420876	7.90797875835e-05	1	0.0391271024264	1	0.0595845918878
IL3-mediated_signaling_events	1	1	0.0274276436372	1	1	0.00770754345145	5.00095244993e-06	0.00459650801412	1	1	0.0429446684798	1	1	0.00189617602822	1	1	0.0352513835862	0.0446054533264	1	0.0396713029825	1	0.058736351134	1	0.0179028063308	0.0635824163686	1	0.0239391761167	1
Immune_System	0.0199399061762	3.7983746863e-05	2.48550588222e-07	0.00037347584997	0.0779983004289	1.31365392786e-06	1.08733613819e-05	6.30318020001e-12	0.00228927398522	1.45275773555e-06	1.01443298206e-11	9.38502486836e-09	7.222666909e-12	1.08733613819e-05	1	1.91269222682e-12	8.86355899787e-08	3.86707939937e-06	2.45428152579e-07	3.29948290911e-11	1.2870583499e-07	7.08427760898e-11	9.33445543083e-11	1.01443298206e-11	1.15400689005e-10	3.89681018031e-06	0.00165906730391	5.97229749255e-06
Innate_Immune_System	1	1	0.0529173642134	1	1	0.00873787423189	0.0301004462138	0.000237787202036	0.00350192718087	0.0156115462588	0.000722846058253	0.00299884253671	0.000130303352171	0.097437230886	1	6.12104588925e-05	1	1.27360911983e-06	1	0.000683017485851	0.0968757786385	0.000235488895843	6.40646690089e-05	0.00840548665451	4.19377954503e-05	0.0151039810675	1	1
Integrin-linked_kinase_signaling	1	1	0.0079961114971	1	1	0.000504115276812	2.9673662636e-06	0.0379571981512	1	1	0.00102092041928	1	1	0.00110526767414	1	1	0.0114908814209	0.00968248696191	1	0.0469987794493	0.0741550111815	1	1	0.00102092041928	0.00830264006429	1	1	1
