	ARID3A	ARID5B	ARNT	ASCL2	ATF3	BATF3	BHLHE41	ETS2	ETV5	FOS	FOXO3	HLX	HMG20B	HMGA1	HMGN3	IRF1	JUNB	JUND	KLF10	KLF3	KLF6	LYL1	MAFB	MSC	NFE2L1	NFE2L2	PKNOX1	PLSCR1	SOX4	TCF4	TCF7L2	TGIF1	TSC22D1	YBX1	ZEB2	ZNF143	ZNF75A
ALK1_pathway							HSPB1 LSP1																CCND1 FKBP1A JUNB PIM1 RAN						ATF3 CALM1 CDKN1A INHBA JUNB SLC3A2								
ALK1_signaling_events							HSPB1 LSP1																CCND1 FKBP1A JUNB PIM1 RAN						ATF3 CALM1 CDKN1A INHBA JUNB SLC3A2								
AP-1_transcription_factor_network				ATF4 CCL2 FKBP5 MT2A PLAUR PLIN2 SOCS3 STAT1 TNFRSF4 TNFRSF9										BATF3 CEBPD CXCR4 DUSP1 GBP3 HCK HIF1A HLA-A IL2RA IRF1 JUNB MCL1 MDM2 NCOA4 NUP214 STAT4 STMN1 TNFRSF18 TNFRSF9									BHLHE41 CCND1 CCND2 FKBP1A FKBP5 JUNB PIM1 RAN TFRC				ADM ATF4 BATF3 BNIP3 CCL2 CEBPD GBP3 HCK HIF1A HLA-A ICAM1 IL2RA IRF1 IRF7 MAP3K8 MCL1 MT2A NCOA4 NFKB1 NR3C1 PCK2 PLAUR PTPN1 SKIL SOCS3 STAT4 TNIK TXN							ADM HIF1A ICAM1 IRF1 IRF7 MAP3K8 MT2A NR3C1 PTPN1 STAT1 TIMP1 TNIK TXN			
APC/C										PSMB9 PSME1																			PSMA4 PSME1 PSME2								
APC/C-mediated_degradation_of_cell_cycle_proteins																													PSMA4 PSME1 PSME2								
ATF-2_transcription_factor_network																							CCND1 JUNB														
ATM_pathway																													ATF3 BID CASP1 CD82 CDKN1A PMAIP1								
ATR_signaling_pathway																													ATF3 BID CASP1 CD82 CDKN1A PMAIP1								
Activation,_myristolyation_of_BID_and_translocation_to_mitochondria																													BID VIM								
Activation_of_APC/C_and_APC/C										PSMB9 PSME1																			PSMA4 PSME1 PSME2								
