	ARID3A	ARID5B	ARNT	ASCL2	ATF3	BATF3	BHLHE41	ETS2	ETV5	FOS	FOXO3	HLX	HMG20B	HMGA1	HMGN3	IRF1	JUNB	JUND	KLF10	KLF3	KLF6	LYL1	MAFB	MSC	NFE2L1	NFE2L2	PKNOX1	PLSCR1	SOX4	TCF4	TCF7L2	TGIF1	TSC22D1	YBX1	ZEB2	ZNF143	ZNF75A
ALK1_pathway	1	1	1	1	1	1	0.0412860113318	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.079927919509	1	1	1	1	1	0.0521399640896	1	1	1	1	1	1	1	1
ALK1_signaling_events	1	1	1	1	1	1	0.0404287782529	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0769357691249	1	1	1	1	1	0.0498096122872	1	1	1	1	1	1	1	1
AP-1_transcription_factor_network	1	1	1	0.00317294426879	1	1	1	1	1	1	1	1	1	0.0519263112923	1	1	1	1	1	1	1	1	0.0420591479806	1	1	1	0.0175228088739	1	1	1	1	1	1	0.0376105389852	1	1	1
APC/C	1	1	1	1	1	1	1	1	1	0.097282006223	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0304981155712	1	1	1	1	1	1	1	1
APC/C-mediated_degradation_of_cell_cycle_proteins	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0379549490141	1	1	1	1	1	1	1	1
ATF-2_transcription_factor_network	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0802171021528	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ATM_pathway	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0570017560823	1	1	1	1	1	1	1	1
ATR_signaling_pathway	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0220980242323	1	1	1	1	1	1	1	1
Activation,_myristolyation_of_BID_and_translocation_to_mitochondria	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00100544311312	1	1	1	1	1	1	1	1
Activation_of_APC/C_and_APC/C	1	1	1	1	1	1	1	1	1	0.0997473541062	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0316811638145	1	1	1	1	1	1	1	1
