TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
PLSCR1	IFITM3	0.99987	500.53	0.525	rgb(223,117,118)	1.9997	2,2
YBX1	GCHFR	0.99987	500.68	0.678	rgb(224, 87, 89)	2	None
IRF9	PSME2	0.99973	500.51	0.82	rgb(226, 60, 62)	1.9997	None
YBX1	SH3BGRL3	0.99973	500.58	0.58	rgb(223,106,107)	1.9998	None
IRF9	PSMB9	0.99967	500.5	0.82	rgb(226, 60, 62)	1.9996	None
IRF9	BST2	0.9996	500.48	0.82	rgb(226, 60, 62)	1.9996	None
IRF9	ISG15	0.99933	500.47	0.82	rgb(226, 60, 62)	1.9996	None
YBX1	CD52	0.99933	500.56	0.561	rgb(223,110,111)	1.9998	None
YBX1	RPLP0	0.99933	500.56	0.556	rgb(223,111,112)	1.9998	None
YBX1	TREM2	0.99933	500.56	0.557	rgb(223,111,112)	1.9998	2,2
IRF9	RSAD2	0.9992	500.46	0.82	rgb(226, 60, 62)	1.9996	None
YBX1	EEF1B2	0.9992	500.55	0.554	rgb(223,111,112)	1.9997	None
HMG20B	MFSD12	0.99907	500.54	0.544	rgb(223,113,114)	1.9997	2,2
IRF5	PSME2	0.99907	500.45	0.82	rgb(226, 60, 62)	1.9995	None
IRF2	PSMB9	0.99893	500.44	0.442	rgb(222,133,133)	1.9995	None
IRF9	IDO1	0.99893	500.44	0.82	rgb(226, 60, 62)	1.9995	None
YBX1	BLVRB	0.99873	500.52	0.522	rgb(223,117,118)	1.9997	None
YBX1	DBI	0.99873	500.52	0.523	rgb(223,117,118)	1.9997	None
YBX1	ISG15	-0.99873	500.52	-5.2E-01	rgb(105,149,237)	1.9997	None
HMGN3	CTSL	-0.9984	500.43	-4.3E-01	rgb(124,161,233)	1.9995	2,2
IRF7	PSMB9	0.9984	500.43	0.827	rgb(226, 59, 61)	1.9995	None
IRF7	PSME2	0.9984	500.43	0.827	rgb(226, 59, 61)	1.9995	None
IRF9	UBE2L6	0.9984	500.43	0.82	rgb(226, 60, 62)	1.9995	None
RELA	NFKBIA	0.9984	500.43	0.82	rgb(226, 60, 62)	1.9995	None
YBX1	FTH1	-0.99807	500.5	-5.0E-01	rgb(107,150,236)	1.9996	None
YBX1	IFI6	-0.99807	500.5	-5.0E-01	rgb(109,151,236)	1.9996	None
YBX1	LGALS3	0.99807	500.5	0.502	rgb(223,121,122)	1.9996	None
YBX1	LSP1	0.99807	500.5	0.495	rgb(222,122,123)	1.9996	2,2
YBX1	TNFAIP6	-0.99807	500.5	-5.0E-01	rgb(107,150,236)	1.9996	2,2
STAT1	PSMB9	0.99787	500.49	0.827	rgb(226, 59, 61)	1.9996	None
YBX1	LIPA	0.99787	500.49	0.492	rgb(222,123,124)	1.9996	None
YBX1	PSMA7	0.99787	500.49	0.491	rgb(222,123,124)	1.9996	2,2
IRF5	BST2	0.99753	500.42	0.82	rgb(226, 60, 62)	1.9995	None
IRF5	PSMB9	0.99753	500.42	0.82	rgb(226, 60, 62)	1.9995	None
IRF9	IFI6	0.99753	500.42	0.82	rgb(226, 60, 62)	1.9995	None
IRF9	TAP1	0.99753	500.42	0.82	rgb(226, 60, 62)	1.9995	None
PLSCR1	C15orf48	0.99753	500.42	0.42	rgb(222,137,138)	1.9995	2,2
YBX1	MT2A	-0.9974	500.48	-4.8E-01	rgb(112,153,235)	1.9996	2,2
YBX1	SRGN	-0.9974	500.48	-4.8E-01	rgb(112,153,235)	1.9996	2,2
STAT1	TNFSF13B	0.99733	500.47	0.827	rgb(226, 59, 61)	1.9996	None
HMGN3	ACTB	-0.997	500.41	-4.1E-01	rgb(128,163,233)	1.9995	2,2
HMGN3	CCL3	-0.997	500.43	-4.3E-01	rgb(123,160,233)	1.9995	2,2
IRF5	ISG15	0.997	500.41	0.82	rgb(226, 60, 62)	1.9995	None
IRF5	RSAD2	0.997	500.41	0.82	rgb(226, 60, 62)	1.9995	None
STAT1	BST2	0.997	500.46	0.827	rgb(226, 59, 61)	1.9996	None
STAT1	ISG15	0.99687	500.45	0.827	rgb(226, 59, 61)	1.9995	None
YBX1	CYP27A1	0.99687	500.45	0.449	rgb(222,131,132)	1.9995	None
STAT1	IFI6	0.99667	500.44	0.827	rgb(226, 59, 61)	1.9995	None
STAT1	SOD2	0.99667	500.44	0.827	rgb(226, 59, 61)	1.9995	None
YBX1	LINC01272	0.99667	500.44	0.441	rgb(222,133,134)	1.9995	2,2
BCL11A	TXN	0.9962	500.4	0.82	rgb(226, 60, 62)	1.9994	None
HMGN3	ACTG1	-0.9962	500.4	-4.0E-01	rgb(129,164,232)	1.9994	2,2
IRF7	BST2	0.9962	500.4	0.827	rgb(226, 59, 61)	1.9994	None
IRF8	PSMB9	0.9962	500.4	0.396	rgb(221,141,142)	1.9994	None
NFKB2	NFKBIA	0.9962	500.4	0.82	rgb(226, 60, 62)	1.9994	None
PLSCR1	IFI35	0.9962	500.4	0.396	rgb(221,141,142)	1.9994	2,2
RELA	CD9	0.9962	500.4	0.82	rgb(226, 60, 62)	1.9994	None
HMG20B	IL1RN	0.99593	500.43	0.428	rgb(222,135,136)	1.9995	2,2
HMG20B	S100A9	-0.99593	500.43	-4.3E-01	rgb(124,160,233)	1.9995	2,2
STAT1	VAMP5	0.99593	500.43	0.827	rgb(226, 59, 61)	1.9995	2,2
YBX1	C15orf48	-0.99593	500.43	-4.3E-01	rgb(124,160,233)	1.9995	2,2
IRF7	RSAD2	0.99553	500.39	0.827	rgb(226, 59, 61)	1.9994	None
IRF9	IFIT3	0.99553	500.39	0.82	rgb(226, 60, 62)	1.9994	None
IRF9	NT5C3A	0.99553	500.39	0.82	rgb(226, 60, 62)	1.9994	None
IRF9	SAMD9L	0.99553	500.39	0.82	rgb(226, 60, 62)	1.9994	None
REL	NFKBIA	0.99553	500.39	0.82	rgb(226, 60, 62)	1.9994	None
TSC22D1	CCL3	0.99553	500.39	0.391	rgb(221,142,143)	1.9994	2,2
STAT1	IFIT3	0.99513	500.42	0.827	rgb(226, 59, 61)	1.9995	None
STAT1	PSME2	0.99513	500.42	0.827	rgb(226, 59, 61)	1.9995	2,2
YBX1	ABI3	0.99513	500.42	0.415	rgb(222,138,139)	1.9995	None
YBX1	ATP6AP2	0.99513	500.42	0.416	rgb(222,138,138)	1.9995	2,2
YBX1	CALM2	0.99513	500.42	0.422	rgb(222,136,137)	1.9995	None
YBX1	HCST	0.99513	500.42	0.419	rgb(222,137,138)	1.9995	2,2
IRF5	IFIT3	0.99487	500.38	0.82	rgb(226, 60, 62)	1.9994	None
IRF5	UBE2L6	0.99487	500.38	0.82	rgb(226, 60, 62)	1.9994	None
IRF7	TAP1	0.99487	500.38	0.827	rgb(226, 59, 61)	1.9994	None
IRF9	TXN	0.99487	500.38	0.82	rgb(226, 60, 62)	1.9994	None
HMGN3	TIMP1	-0.99453	500.41	-4.1E-01	rgb(127,162,233)	1.9995	2,2
STAT1	CD9	0.99453	500.41	0.827	rgb(226, 59, 61)	1.9995	None
STAT1	PLSCR1	0.99453	500.41	0.827	rgb(226, 59, 61)	1.9995	None
YBX1	CD44	-0.99453	500.41	-4.1E-01	rgb(129,163,232)	1.9995	None
YBX1	EBI3	-0.99453	500.41	-4.1E-01	rgb(127,162,233)	1.9995	None
HMG20B	FCGR1A	-0.9934	500.4	-4.0E-01	rgb(131,165,232)	1.9994	2,2
HMG20B	FTH1	-0.9934	500.4	-4.0E-01	rgb(129,164,232)	1.9994	2,2
HMGN3	CCL2	-0.9934	500.37	-3.7E-01	rgb(137,168,231)	1.9994	2,2
IRF5	HLA-E	0.9934	500.37	0.82	rgb(226, 60, 62)	1.9994	None
IRF5	IFI6	0.9934	500.37	0.82	rgb(226, 60, 62)	1.9994	None
IRF7	IDO1	0.9934	500.37	0.827	rgb(226, 59, 61)	1.9994	None
IRF8	RSAD2	0.9934	500.37	0.366	rgb(221,147,148)	1.9994	None
RELA	CCL5	0.9934	500.37	0.82	rgb(226, 60, 62)	1.9994	None
RELA	TNIP1	0.9934	500.37	0.82	rgb(226, 60, 62)	1.9994	None
STAT1	CALM2	0.9934	500.4	0.827	rgb(226, 59, 61)	1.9994	None
STAT1	RSAD2	0.9934	500.4	0.827	rgb(226, 59, 61)	1.9994	None
TSC22D1	C15orf48	0.9934	500.37	0.371	rgb(221,146,147)	1.9994	2,2
TSC22D1	IL1RN	0.9934	500.37	0.366	rgb(221,147,148)	1.9994	2,2
TSC22D1	INHBA	0.9934	500.37	0.373	rgb(221,146,146)	1.9994	2,2
TSC22D1	PLEK	0.9934	500.37	0.369	rgb(221,147,147)	1.9994	2,2
YBX1	H3F3B	-0.9934	500.4	-4.0E-01	rgb(131,165,232)	1.9994	None
YBX1	PDIA6	0.9934	500.4	0.404	rgb(221,140,141)	1.9994	2,2
NFE2L2	CRABP2	-0.99307	500.39	-3.9E-01	rgb(131,165,232)	1.9994	None
STAT1	IFI35	0.99307	500.39	0.827	rgb(226, 59, 61)	1.9994	None
STAT1	USP30-AS1	0.99307	500.39	0.827	rgb(226, 59, 61)	1.9994	None
YBX1	CALR	0.99307	500.39	0.391	rgb(221,142,143)	1.9994	None
YBX1	CTSD	0.99307	500.39	0.39	rgb(221,143,143)	1.9994	2,2
STAT1	DBI	0.99273	500.38	0.827	rgb(226, 59, 61)	1.9994	None
STAT1	LAP3	0.99273	500.38	0.827	rgb(226, 59, 61)	1.9994	None
STAT1	TXN	0.99273	500.38	0.827	rgb(226, 59, 61)	1.9994	None
YBX1	EVL	0.99273	500.38	0.377	rgb(221,145,146)	1.9994	None
YBX1	FDX1	0.99273	500.38	0.384	rgb(221,144,144)	1.9994	None
HMGN3	APOC1	0.99187	500.36	0.36	rgb(221,148,149)	1.9994	2,2
HMGN3	CHCHD10	0.99187	500.36	0.355	rgb(221,149,150)	1.9994	2,2
HMGN3	CXCL8	-0.99187	500.36	-3.6E-01	rgb(139,170,231)	1.9994	2,2
HMGN3	HLA-DMB	0.99187	500.36	0.356	rgb(221,149,150)	1.9994	2,2
HMGN3	PLAUR	-0.99187	500.36	-3.6E-01	rgb(140,170,231)	1.9994	2,2
IRF2	RSAD2	0.99187	500.36	0.355	rgb(221,149,150)	1.9994	None
IRF5	SAMD9L	0.99187	500.36	0.82	rgb(226, 60, 62)	1.9994	None
IRF7	UBE2L6	0.99187	500.36	0.827	rgb(226, 59, 61)	1.9994	None
IRF9	IFIT1	0.99187	500.36	0.82	rgb(226, 60, 62)	1.9994	None
IRF9	IRF7	0.99187	500.36	0.82	rgb(226, 60, 62)	1.9994	None
IRF9	ISG20	0.99187	500.36	0.82	rgb(226, 60, 62)	1.9994	None
IRF9	USP18	0.99187	500.36	0.82	rgb(226, 60, 62)	1.9994	None
PLSCR1	BST2	0.99187	500.36	0.455	rgb(222,130,131)	1.9994	2,2
HMG20B	MARCO	-0.99153	500.37	-3.7E-01	rgb(137,168,231)	1.9994	2,2
HMGA1	C3	0.99153	500.37	0.373	rgb(221,146,146)	1.9994	None
HMGN3	S100A10	-0.99153	500.37	-3.7E-01	rgb(138,169,231)	1.9994	2,2
NFE2L2	TNFSF13B	0.99153	500.37	0.366	rgb(221,147,148)	1.9994	None
YBX1	TIMP3	0.99153	500.37	0.368	rgb(221,147,147)	1.9994	2,2
BCL11A	WARS	0.99073	500.35	0.82	rgb(226, 60, 62)	1.9993	None
IRF5	ISG20	0.99073	500.35	0.82	rgb(226, 60, 62)	1.9993	None
IRF5	MMP7	0.99073	500.35	0.82	rgb(226, 60, 62)	1.9993	None
IRF5	SLAMF7	0.99073	500.35	0.82	rgb(226, 60, 62)	1.9993	None
IRF8	IDO1	0.99073	500.35	0.347	rgb(221,151,151)	1.9993	None
IRF9	CFLAR	0.99073	500.35	0.82	rgb(226, 60, 62)	1.9993	None
IRF9	HLA-E	0.99073	500.35	0.82	rgb(226, 60, 62)	1.9993	None
