TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
Stat3	Th17_upOnly.txt	Th17_upOnly	1170	0	128	75	6.96184221383e-11	1.62907107804e-08	AA467197 Abi3 Acsl4 Adam19 Adarb1 Aes Ahr Aqp3 Ass1 Atp2b4 Bdh2 Cd2 Cdkn2d Chmp4b Cndp2 Cpd Cpox Crem Ctla4 Cysltr1 Cyth4 Dst Egln3 Ehd4 Emb Emp1 Fth1 Furin Glipr2 Gmfg Gngt2 Gpr15 Gpr65 Hemk1 Id2 Igfbp4 Ikzf3 Il17a Il17f Il1r1 Il21 Il2ra Il2rb Il9 Klhl6 Klrd1 Krtcap2 Maf Malt1 Mt2 Mxd1 Nipal1 Pdpn Plod2 Pmepa1 Procr Ptgfrn Rbpj Rnf149 Rora Rorc Serpinb1a Sesn3 Sgk1 Smox Srgn Susd3 Tec Timp1 Tiparp Tnfrsf25 Tnip2 Treml2 Vim Znrf1
Batf	Th17_upOnly.txt	Th17_upOnly	1170	0	167	86	1.98170956311e-08	4.61738328206e-06	1600014C10Rik AA467197 Abi3 Acsl4 Adam19 Adarb1 Ahr Aqp3 Arid5a Ass1 Atp2b4 Bdh2 Capg Casp6 Ccl20 Cd28 Cndp2 Cpd Cpox Crem Ctla2a Ctla2b Ctla4 Cyfip2 Cysltr1 Cyth4 Dst Egln3 Ehd4 Emb Emp1 Emp3 Fth1 Furin Glipr2 Gngt2 Gpr15 Gpr65 Hif1a Id2 Igfbp4 Ikzf3 Il10 Il17a Il17f Il1r1 Il21 Il2ra Itgam Klhl6 Klrd1 Lgals1 Lgr4 Lpxn Maf Malt1 Mt1 Mt2 Mxd1 Nedd4 Nipal1 Npc2 Pdpn Plod2 Pmepa1 Procr Ptgfrn Rbpj Rnf149 Rora Rorc Sema4d Serpinb1a Sesn3 Sgk1 Smox Srgn Susd3 Tec Timp1 Tiparp Tnfrsf25 Treml2 Ucp2 Vim Znrf1
Zkscan1	Th17_upOnly.txt	Th17_upOnly	1170	0	103	58	8.09285786163e-08	1.8775430239e-05	1600014C10Rik AA467197 Abi3 Adam19 Ahr Aqp3 Ass1 Atp2b4 Bdh2 Capg Ccl20 Cpd Cpox Crip1 Ctla2a Ctla2b Cysltr1 Ehd4 Emb Emp1 Fau Fth1 Furin Gmfg Gngt2 Igfbp4 Il17a Il17f Il21 Klrd1 Krtcap2 Lgals1 Lgals3 Lgr4 Lpxn Maf Malt1 Mt1 Mt2 Mxd1 Pdpn Plod2 Procr Rnf149 Rorc Satb1 Serpinb1a Sgk1 Smox Srgn Susd3 Tec Timp1 Tiparp Tnfrsf25 Tnip2 Ucp2 Vim
Irf8	Th17_upOnly.txt	Th17_upOnly	1170	0	171	86	8.21930936645e-08	1.89866046365e-05	1600014C10Rik AA467197 Abi3 Adam19 Adarb1 Ahr Aqp3 Ass1 Bcl2 Bdh2 Capg Ccl20 Cd2 Cdkn2d Chd7 Chmp4b Cndp2 Cpd Crip1 Ctla2a Ctla2b Ctla4 Cyfip2 Cysltr1 Dst Eif4e3 Emb Emp1 Fth1 Furin Gmfg Gngt2 Gpr15 Hemk1 Igfbp4 Ikzf3 Il10 Il17a Il17f Il1r1 Il21 Il2rb Il9 Itgam Klhl6 Klrd1 Krtcap2 Lgals1 Lgals3 Lgr4 Lpxn Maf Malt1 Mt1 Mt2 Mxd1 Nedd4 Nipal1 Npc2 Pdpn Plod2 Pmepa1 Procr Ptgfrn Rnf149 Rnf19b Rora Rorc S100a13 Serpinb1a Sesn3 Sgk1 Smox Socs1 Srgn Susd3 Tec Tgm2 Timp1 Tiparp Tnfrsf25 Tnip2 Treml2 Ucp2 Vim Znrf1
Zfp664	Th17_upOnly.txt	Th17_upOnly	1170	0	44	31	8.68087378647e-08	1.99660097089e-05	AA467197 Abi3 Adarb1 Ahr Aqp3 Ass1 Bdh2 Capg Ctla2a Ctla2b Cysltr1 Ehd4 Gpr65 Il17a Il17f Klhl6 Klrd1 Lgals3 Lpxn Maf Mt1 Mt2 Pdpn Plod2 Procr Rnf19b Serpinb1a Sgk1 Susd3 Tgm2 Timp1
Trps1	Th17_upOnly.txt	Th17_upOnly	1170	0	114	62	1.62812926585e-07	3.7284160188e-05	AA467197 Abi3 Adam19 Adarb1 Ahr Aqp3 Ass1 Atp2b4 Bdh2 Capg Ccl20 Chmp4b Cpd Cpox Crem Ctla2a Ctla2b Cysltr1 Dst Ehd4 Emb Emp1 Fth1 Furin Gmfg Gngt2 Gpr15 Id2 Igfbp4 Il10 Il17a Il17f Il21 Il9 Klhl6 Klrd1 Lgals1 Lgr4 Lpxn Maf Malt1 Mt1 Mxd1 Nipal1 Pdpn Plod2 Procr Rnf149 Rorc Sema4d Serpinb1a Sgk1 Smox Srgn Susd3 Tec Tgm2 Timp1 Tnfrsf25 Tnip2 Ucp2 Vim
Gtf2i	Th17_upOnly.txt	Th17_upOnly	1170	0	58	37	2.70937776436e-07	6.17738130275e-05	Adam19 Aqp3 Ass1 Capg Ccl20 Cndp2 Cpd Crip1 Cysltr1 Cyth4 Eif4e3 Emp1 Fau Furin Gpr15 Gpr65 Igfbp4 Il10 Il17f Il1r1 Il4ra Lgals1 Lgals3 Lgr4 Lpxn Maf Nipal1 Pdpn Procr Rora Sept9 Tec Tgm2 Tnip2 Treml2 Vim Znrf1
Irf3	Th17_upOnly.txt	Th17_upOnly	1170	0	161	80	4.56825876793e-07	0.000103699474032	1600014C10Rik AA467197 Abi3 Adam19 Adarb1 Ahr Aldoa Aqp3 Arid5a Ass1 Atp2b4 Bcl2 Bdh2 Capg Ccl20 Ccnd3 Cdkn2d Cndp2 Cnn2 Cpd Cpox Crem Ctla2a Ctla2b Ctla4 Cysltr1 Cyth4 Dst Eif4ebp1 Emb Emp1 Fau Fth1 Furin Glipr2 Gngt2 Gpr15 Hemk1 Hif1a Higd1a Igfbp4 Ikzf3 Il10 Il17a Il17f Il1r1 Il21 Il2rb Il4ra Il9 Klhl6 Klrd1 Lgals1 Lpxn Lta Maf Malt1 Mt1 Mt2 Nedd4 Nipal1 Npc2 Pdpn Plod2 Pmepa1 Procr Rnf149 Rnf19b Rora Rorc Sema4d Serpinb1a Sgk1 Smox Tec Timp1 Tiparp Tnip2 Ucp2 Vim
Cebpg	Th17_upOnly.txt	Th17_upOnly	1170	0	133	68	9.11890640554e-07	0.000206087284765	1600014C10Rik AA467197 Abi3 Acsl4 Adam19 Adarb1 Ahr Aldoa Aqp3 Arid5a Atp2b4 Bcl2 Capg Ccl20 Chmp4b Cpd Cpox Ctla2a Ctla2b Cysltr1 Dst Egln3 Ehd4 Eif4e3 Emb Emp1 Fth1 Furin Gpr15 Gpr65 Id2 Igfbp4 Il10 Il17a Il17f Il1r1 Il21 Il2ra Il2rb Klhl6 Klrd1 Lgals3 Lgr4 Lpxn Maf Malt1 Mt1 Mt2 Mxd1 Nipal1 Npc2 Pdpn Procr Rbpj Rnf149 Rnf19b Rora Rorc Sept9 Serpinb1a Sesn3 Sgk1 Smox Susd3 Timp1 Tiparp Tnip2 Vim
Foxp1	Th17_upOnly.txt	Th17_upOnly	1170	0	67	40	1.13574834248e-06	0.000255543377059	1600014C10Rik AA467197 Abi3 Adam19 Ahr Aqp3 Bdh2 Capg Ccl20 Cd28 Cpd Ctla2a Ctla2b Cysltr1 Emp1 Fth1 Furin Gmfg Gngt2 Igfbp4 Ikzf3 Il17a Il17f Klhl6 Klrd1 Lgals3 Lgr4 Maf Mt1 Pdpn Plod2 Procr Rorc Serpinb1a Sgk1 Susd3 Timp1 Tiparp Tnfrsf25 Ucp2
Fosl2	Th17_upOnly.txt	Th17_upOnly	1170	0	132	67	1.54378554129e-06	0.000345807961249	1600014C10Rik AA467197 Adam19 Adarb1 Ahr Aqp3 Ass1 Atp2b4 Bdh2 Capg Ccl20 Chmp4b Cndp2 Cpd Crip1 Ctla2a Ctla2b Ctla4 Cysltr1 Cyth4 Dst Egln3 Emb Emp1 Emp3 Ero1l Fth1 Furin Gngt2 Gpr15 Igfbp4 Ikzf3 Il17a Il17f Il21 Il2ra Il9 Itgam Klhl6 Klrd1 Lgals1 Lpxn Maf Malt1 Mt1 Mt2 Nipal1 Npc2 Pdpn Pim1 Plod2 Pmepa1 Procr Rbpj Rnf149 Rora Serpinb1a Sesn3 Sgk1 Smox Susd3 Tec Timp1 Tnip2 Ucp2 Vim Znrf1
Jun	Th17_upOnly.txt	Th17_upOnly	1170	0	84	47	1.81529986754e-06	0.00040481187046	Acsl4 Adam19 Adarb1 Aes Arid5a Bdh2 Capg Ccl20 Cdkn2d Chmp4b Cpd Cpox Ctla2a Ctla2b Ctla4 Cyfip2 Cysltr1 Cyth4 Dst Egln3 Eif4e3 Emb Emp3 Furin Hif1a Ikzf3 Il17a Il1r1 Il21 Il2ra Klhl6 Lpxn Malt1 Mt1 Nipal1 Pla2g12a Plod2 Pmepa1 Rbpj Rora Satb1 Sema4d Sept9 Sesn3 Tec Vim Znrf1
Mxd1	Th17_upOnly.txt	Th17_upOnly	1170	0	68	40	1.93969149542e-06	0.000430611511984	1600014C10Rik Adam19 Ahr Aldoa Aqp3 Ass1 Atp2b4 Ccl20 Chmp4b Cpd Ctla2a Ctla2b Cyfip2 Ehd4 Emb Emp1 Furin Gngt2 Gpr15 Igfbp4 Il10 Il17f Klhl6 Klrd1 Lgals3 Maf Malt1 Nedd4 Pdpn Pim1 Procr Rnf149 Serpinb1a Sgk1 Smox Timp1 Tiparp Tnip2 Ucp2 Vim
Stat1	Th17_upOnly.txt	Th17_upOnly	1170	0	114	58	7.19137023508e-06	0.00158929282195	AA467197 Adam19 Adarb1 Ahr Aqp3 Arid5a Atp2b4 Batf Bdh2 Bnip3 Capg Casp6 Ccl20 Cd2 Cd28 Chmp4b Cnn2 Cpd Crem Ctla2a Ctla2b Ctla4 Cysltr1 Emb Emp1 Fth1 Gpr15 Hemk1 Igfbp4 Ikzf3 Il10 Il17a Il17f Il1r1 Il21 Il2rb Il4ra Klrd1 Lgr4 Lpxn Lta Maf Mt1 Mt2 Npc2 Pdpn Pmepa1 Procr Rnf149 Rnf19b Rora Serpinb1a Sgk1 Smox Socs1 Tec Timp1 Tnip2
Hmg20b	Th17_upOnly.txt	Th17_upOnly	1170	0	90	48	8.64308299198e-06	0.00190147825823	1600014C10Rik AA467197 Abi3 Adam19 Ahr Aqp3 Ass1 Atp2b4 Bdh2 Ccl20 Chd7 Chmp4b Cpd Ctla2a Ctla2b Emp1 Fth1 Furin Gmfg Gngt2 Igfbp4 Il10 Il17f Il2rb Klhl6 Klrd1 Lgals1 Lgals3 Lgr4 Maf Mt1 Mt2 Pdpn Pmepa1 Procr Ptgfrn Rnf149 Rnf19b Rora Serpinb1a Sgk1 Susd3 Timp1 Tiparp Tnfrsf25 Tnip2 Ucp2 Vim
Atf6	Th17_upOnly.txt	Th17_upOnly	1170	0	60	35	1.1122634182e-05	0.00243585688586	1600014C10Rik AA467197 Abi3 Adarb1 Ahr Aqp3 Ass1 Atp2b4 Ccl20 Cpd Ctla2b Emb Emp1 Furin Gngt2 Igfbp4 Il17f Klrd1 Lgr4 Maf Malt1 Mt1 Mt2 Mxd1 Nedd4 Nipal1 Procr Rbpj Rnf19b Serpinb1a Sgk1 Smox Tgm2 Timp1 Znrf1
Mlx	Th17_upOnly.txt	Th17_upOnly	1170	0	65	37	1.3593805358e-05	0.00296344956805	1600014C10Rik AA467197 Abi3 Adam19 Adarb1 Ahr Aldoa Aqp3 Capg Ccl20 Cpd Ctla2b Cysltr1 Dst Emp1 Fth1 Igfbp4 Il17a Il17f Il1r1 Il21 Klrd1 Maf Malt1 Mxd1 Nipal1 Pdpn Procr Ptgfrn Rnf149 Serpinb1a Sgk1 Srgn Susd3 Timp1 Tiparp Tnip2
Foxo1	Th17_upOnly.txt	Th17_upOnly	1170	0	101	52	1.39377509815e-05	0.00302449196298	1600014C10Rik AA467197 Abi3 Acsl4 Adam19 Ahr Aqp3 Bnip3 Cd28 Cdkn2d Chd7 Cndp2 Cpd Cpox Crem Ctla4 Cysltr1 Cyth4 Dst Emb Emp1 Fth1 Furin Gngt2 Gpr15 Igfbp4 Ikzf3 Il17f Il21 Il2ra Klhl6 Klrd1 Lgals3 Lgr4 Maf Malt1 Nedd4 Pdpn Pim1 Plod2 Pmepa1 Ptgfrn Rbpj Rora Rorc Sema4d Serpinb1a Sesn3 Sgk1 Susd3 Timp1 Tiparp
