TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
Irf8	Th17_upOnly.txt	Th17_upOnly	1170	down	120	76	0.0	0.0	1600014C10Rik AA467197 Abi3 Adam19 Adarb1 Ahr Aqp3 Ass1 Bdh2 Capg Ccl20 Cd2 Cdkn2d Chmp4b Cndp2 Cpd Crip1 Ctla2a Ctla2b Ctla4 Cyfip2 Cysltr1 Dst Eif4e3 Emb Emp1 Fth1 Furin Gmfg Gngt2 Gpr15 Igfbp4 Ikzf3 Il10 Il17a Il17f Il1r1 Il21 Il9 Itgam Klhl6 Klrd1 Krtcap2 Lgals1 Lgals3 Lgr4 Lpxn Maf Malt1 Mt1 Mt2 Mxd1 Nedd4 Nipal1 Pdpn Plod2 Pmepa1 Procr Ptgfrn Rnf149 Rora Rorc S100a13 Serpinb1a Sesn3 Sgk1 Smox Srgn Tec Tgm2 Timp1 Tiparp Tnfrsf25 Treml2 Ucp2 Vim
Trps1	Th17_upOnly.txt	Th17_upOnly	1170	up	92	61	1.43629552696e-12	4.72541228369e-10	AA467197 Abi3 Adam19 Adarb1 Ahr Aqp3 Ass1 Atp2b4 Bdh2 Capg Ccl20 Chmp4b Cpd Cpox Ctla2a Ctla2b Cysltr1 Dst Ehd4 Emb Emp1 Fth1 Furin Gmfg Gngt2 Gpr15 Id2 Igfbp4 Il10 Il17a Il17f Il21 Il9 Klhl6 Klrd1 Lgals1 Lgr4 Lpxn Maf Malt1 Mt1 Mxd1 Nipal1 Pdpn Plod2 Procr Rnf149 Rorc Sema4d Serpinb1a Sgk1 Smox Srgn Susd3 Tec Tgm2 Timp1 Tnfrsf25 Tnip2 Ucp2 Vim
Irf3	Th17_upOnly.txt	Th17_upOnly	1170	down	96	65	2.06767936106e-12	6.78198830428e-10	1600014C10Rik AA467197 Abi3 Adam19 Adarb1 Ahr Aqp3 Arid5a Ass1 Atp2b4 Bdh2 Capg Ccl20 Cdkn2d Cndp2 Cpd Cpox Ctla2a Ctla2b Ctla4 Cysltr1 Cyth4 Dst Emb Emp1 Fau Fth1 Furin Gngt2 Gpr15 Hif1a Igfbp4 Ikzf3 Il10 Il17a Il17f Il1r1 Il21 Il9 Klhl6 Klrd1 Lgals1 Lpxn Maf Malt1 Mt1 Mt2 Nedd4 Nipal1 Pdpn Plod2 Pmepa1 Procr Rnf149 Rora Rorc Sema4d Serpinb1a Sgk1 Smox Tec Timp1 Tiparp Tnip2 Vim
Zkscan1	Th17_upOnly.txt	Th17_upOnly	1170	down	82	57	2.23232543561e-12	7.29970417446e-10	1600014C10Rik AA467197 Abi3 Adam19 Ahr Aqp3 Ass1 Atp2b4 Bdh2 Capg Ccl20 Cpd Cpox Crip1 Ctla2a Ctla2b Cysltr1 Ehd4 Emb Emp1 Fau Fth1 Furin Gmfg Gngt2 Igfbp4 Il17a Il17f Il21 Klrd1 Krtcap2 Lgals1 Lgals3 Lgr4 Lpxn Maf Malt1 Mt1 Mt2 Mxd1 Pdpn Plod2 Procr Rnf149 Rorc Serpinb1a Sgk1 Smox Srgn Susd3 Tec Timp1 Tiparp Tnfrsf25 Tnip2 Ucp2 Vim
Stat3	Th17_upOnly.txt	Th17_upOnly	1170	up	114	72	3.50131035276e-12	1.141427175e-09	AA467197 Abi3 Acsl4 Adam19 Adarb1 Aes Ahr Aqp3 Ass1 Atp2b4 Bdh2 Cd2 Cdkn2d Chmp4b Cndp2 Cpd Cpox Ctla4 Cysltr1 Cyth4 Dst Egln3 Ehd4 Emb Emp1 Fth1 Furin Glipr2 Gmfg Gngt2 Gpr15 Gpr65 Id2 Igfbp4 Ikzf3 Il17a Il17f Il1r1 Il21 Il2ra Il9 Klhl6 Klrd1 Krtcap2 Maf Malt1 Mt2 Mxd1 Nipal1 Pdpn Plod2 Pmepa1 Procr Ptgfrn Rbpj Rnf149 Rora Rorc Serpinb1a Sesn3 Sgk1 Smox Srgn Susd3 Tec Timp1 Tiparp Tnfrsf25 Tnip2 Treml2 Vim Znrf1
Irf2	Th17_upOnly.txt	Th17_upOnly	1170	down	105	68	4.73698857917e-12	1.53952128823e-09	1600014C10Rik AA467197 Abi3 Adam19 Adarb1 Ahr Aqp3 Ass1 Atp2b4 Bdh2 Capg Ccl20 Chmp4b Cpd Cpox Ctla2a Ctla2b Ctla4 Cysltr1 Dst Ehd4 Eif4e3 Emb Emp1 Fth1 Furin Gngt2 Gpr15 Gpr65 Igfbp4 Ikzf3 Il10 Il17a Il17f Il1r1 Il21 Il9 Itgam Klhl6 Klrd1 Lgals1 Lgals3 Lgr4 Lpxn Maf Malt1 Mt1 Mt2 Mxd1 Nipal1 Pdpn Plod2 Pmepa1 Procr Rnf149 Rora Rorc Serpinb1a Sgk1 Smox Srgn Tec Timp1 Tiparp Tnip2 Treml2 Ucp2 Vim
Batf	Th17_upOnly.txt	Th17_upOnly	1170	up	140	83	6.72784050693e-12	2.17982032424e-09	1600014C10Rik AA467197 Abi3 Acsl4 Adam19 Adarb1 Ahr Aqp3 Arid5a Ass1 Atp2b4 Bdh2 Capg Ccl20 Cd28 Cndp2 Cpd Cpox Ctla2a Ctla2b Ctla4 Cyfip2 Cysltr1 Cyth4 Dst Egln3 Ehd4 Emb Emp1 Emp3 Fth1 Furin Glipr2 Gngt2 Gpr15 Gpr65 Hif1a Id2 Igfbp4 Ikzf3 Il10 Il17a Il17f Il1r1 Il21 Il2ra Itgam Klhl6 Klrd1 Lgals1 Lgr4 Lpxn Maf Malt1 Mt1 Mt2 Mxd1 Nedd4 Nipal1 Pdpn Plod2 Pmepa1 Procr Ptgfrn Rbpj Rnf149 Rora Rorc Sema4d Serpinb1a Sesn3 Sgk1 Smox Srgn Susd3 Tec Timp1 Tiparp Tnfrsf25 Treml2 Ucp2 Vim Znrf1
Cebpg	Th17_upOnly.txt	Th17_upOnly	1170	up	102	64	3.32833760552e-11	1.07505304658e-08	1600014C10Rik AA467197 Abi3 Acsl4 Adam19 Adarb1 Ahr Aqp3 Arid5a Atp2b4 Bcl2 Capg Ccl20 Chmp4b Cpd Cpox Ctla2a Ctla2b Cysltr1 Dst Egln3 Ehd4 Eif4e3 Emb Emp1 Fth1 Furin Gpr15 Gpr65 Id2 Igfbp4 Il10 Il17a Il17f Il1r1 Il21 Il2ra Klhl6 Klrd1 Lgals3 Lgr4 Lpxn Maf Malt1 Mt1 Mt2 Mxd1 Nipal1 Pdpn Procr Rbpj Rnf149 Rora Rorc Sept9 Serpinb1a Sesn3 Sgk1 Smox Susd3 Timp1 Tiparp Tnip2 Vim
Fosl2	Th17_upOnly.txt	Th17_upOnly	1170	up	107	65	1.61940794108e-10	5.21449357027e-08	1600014C10Rik AA467197 Adam19 Adarb1 Ahr Aqp3 Ass1 Atp2b4 Bdh2 Capg Ccl20 Chmp4b Cndp2 Cpd Crip1 Ctla2a Ctla2b Ctla4 Cysltr1 Cyth4 Dst Egln3 Emb Emp1 Emp3 Fth1 Furin Gngt2 Gpr15 Igfbp4 Ikzf3 Il17a Il17f Il21 Il2ra Il9 Itgam Klhl6 Klrd1 Lgals1 Lpxn Maf Malt1 Mt1 Mt2 Nipal1 Pdpn Pim1 Plod2 Pmepa1 Procr Rbpj Rnf149 Rora Serpinb1a Sesn3 Sgk1 Smox Susd3 Tec Timp1 Tnip2 Ucp2 Vim Znrf1
Stat5a	Th17_upOnly.txt	Th17_upOnly	1170	down	51	38	1.97196814433e-10	6.33001774331e-08	AA467197 Adarb1 Ahr Aqp3 Ass1 Atp2b4 Bdh2 Capg Ccl20 Cndp2 Cpd Ctla2a Ctla2b Cysltr1 Emb Emp1 Fth1 Furin Igfbp4 Il17a Il17f Il1r1 Il21 Klhl6 Klrd1 Lgr4 Maf Malt1 Mt1 Mt2 Mxd1 Nipal1 Pdpn Procr Serpinb1a Sgk1 Smox Timp1
Stat1	Th17_upOnly.txt	Th17_upOnly	1170	down	62	43	5.61404367438e-10	1.7964939758e-07	AA467197 Adam19 Adarb1 Ahr Aqp3 Arid5a Atp2b4 Bdh2 Capg Ccl20 Cd28 Chmp4b Cpd Ctla2a Ctla2b Ctla4 Cysltr1 Emb Emp1 Fth1 Gpr15 Igfbp4 Ikzf3 Il10 Il17a Il17f Il1r1 Il21 Klrd1 Lgr4 Lpxn Maf Pdpn Pmepa1 Procr Rnf149 Rora Serpinb1a Sgk1 Smox Tec Timp1 Tnip2
Hmg20b	Th17_upOnly.txt	Th17_upOnly	1170	down	68	45	2.36805508536e-09	7.55409572228e-07	1600014C10Rik AA467197 Abi3 Adam19 Ahr Aqp3 Ass1 Atp2b4 Bdh2 Ccl20 Chmp4b Cpd Ctla2a Ctla2b Emp1 Fth1 Furin Gmfg Gngt2 Igfbp4 Il10 Il17f Klhl6 Klrd1 Lgals1 Lgals3 Lgr4 Maf Mt1 Mt2 Pdpn Pmepa1 Procr Ptgfrn Rnf149 Rora Serpinb1a Sgk1 Susd3 Timp1 Tiparp Tnfrsf25 Tnip2 Ucp2 Vim
Gtf2i	Th17_upOnly.txt	Th17_upOnly	1170	up	51	36	7.00905333773e-09	2.2288789614e-06	Adam19 Aqp3 Ass1 Capg Ccl20 Cndp2 Cpd Crip1 Cysltr1 Cyth4 Eif4e3 Emp1 Fau Furin Gpr15 Gpr65 Igfbp4 Il10 Il17f Il1r1 Lgals1 Lgals3 Lgr4 Lpxn Maf Nipal1 Pdpn Procr Rora Sept9 Tec Tgm2 Tnip2 Treml2 Vim Znrf1
Mlx	Th17_upOnly.txt	Th17_upOnly	1170	up	52	36	1.60211216516e-08	5.07869556354e-06	1600014C10Rik AA467197 Abi3 Adam19 Adarb1 Ahr Aqp3 Capg Ccl20 Cpd Ctla2b Cysltr1 Dst Emp1 Fth1 Igfbp4 Il17a Il17f Il1r1 Il21 Klrd1 Maf Malt1 Mxd1 Nipal1 Pdpn Procr Ptgfrn Rnf149 Serpinb1a Sgk1 Srgn Susd3 Timp1 Tiparp Tnip2
Zfp664	Th17_upOnly.txt	Th17_upOnly	1170	up	41	30	3.48706670206e-08	1.10191307785e-05	AA467197 Abi3 Adarb1 Ahr Aqp3 Ass1 Bdh2 Capg Ctla2a Ctla2b Cysltr1 Ehd4 Gpr65 Il17a Il17f Klhl6 Klrd1 Lgals3 Lpxn Maf Mt1 Mt2 Pdpn Plod2 Procr Serpinb1a Sgk1 Susd3 Tgm2 Timp1
