TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
Pou2af1	Th17_upOnly.txt	Th17_upOnly	1170	0	90	60	3.71191966053e-12	1.26205268458e-09	1600014C10Rik AA467197 Abi3 Adarb1 Ahr Aqp3 Ass1 Atp2b4 Bdh2 Ccl20 Cd28 Cdkn2d Chmp4b Cndp2 Cpd Cpox Ctla2a Ctla2b Cysltr1 Dst Egln3 Ehd4 Eif4e3 Emp1 Emp3 Fth1 Gmfg Gngt2 Gpr15 Id2 Igfbp4 Ikzf3 Il10 Il17a Il17f Il1r1 Il21 Il9 Klrd1 Lgals1 Lgals3 Lgr4 Lpxn Maf Mxd1 Nedd4 Nipal1 Pdpn Pmepa1 Procr Rora Rorc Serpinb1a Sgk1 Smox Susd3 Tec Timp1 Tnfrsf25 Tnip2
Rorc	Th17_upOnly.txt	Th17_upOnly	1170	0	100	64	9.01811958443e-12	3.05714253912e-09	1600014C10Rik AA467197 Abi3 Adam19 Adarb1 Ahr Aqp3 Arid5a Ass1 Atp2b4 Bdh2 Capg Ccl20 Cdkn2d Chmp4b Cish Cpd Crem Ctla2a Ctla2b Cysltr1 Cyth4 Emb Emp1 Fth1 Gngt2 Gpr15 Id2 Igfbp4 Il10 Il17a Il17f Il1r1 Il21 Il9 Klrd1 Lgals1 Lgals3 Lgr4 Lpxn Maf Malt1 Mt2 Nipal1 Pdpn Plod2 Pmepa1 Procr Rnf149 Rora S100a13 Serpinb1a Sesn3 Sgk1 Srgn Susd3 Tec Timp1 Tiparp Tnfrsf25 Treml2 Ucp2 Vim Znrf1
Ahr	Th17_upOnly.txt	Th17_upOnly	1170	0	100	62	1.29742994126e-10	4.38531320146e-08	1600014C10Rik AA467197 Abi3 Adam19 Adarb1 Aqp3 Arid5a Ass1 Ccl20 Ccnd3 Chmp4b Cpd Crip1 Ctla2a Ctla2b Dst Egln3 Emb Emp1 Ero1l Fau Fth1 Furin Gmfg Gngt2 Gpr15 Hemk1 Igfbp4 Il10 Il17f Il1r1 Il21 Il9 Klhl6 Klrd1 Lgals1 Lgals3 Lgr4 Ly6c1 Maf Mt1 Mxd1 Nipal1 Pdpn Plod2 Procr Rbpj Rnf19b Rora Rorc Sema4d Sept9 Serpinb1a Sgk1 Smox Susd3 Tec Timp1 Tiparp Tnfrsf25 Tnip2 Vim
Cux1	Th17_upOnly.txt	Th17_upOnly	1170	0	96	60	1.63570157419e-10	5.51231430501e-08	AA467197 Abi3 Acsl4 Adarb1 Ahr Aqp3 Ass1 Atp2b4 Bdh2 Capg Ccl20 Chmp4b Cndp2 Cpd Cpox Ctla2b Cysltr1 Egln3 Ehd4 Emp3 Fth1 Furin Gmfg Gngt2 Gpr15 Igfbp4 Ikzf3 Il10 Il21 Il9 Itgam Klhl6 Klrd1 Lgals3 Lgr4 Lpxn Lta Maf Mt1 Mt2 Mxd1 Nipal1 Pdpn Plod2 Pmepa1 Procr Ptgfrn Rnf149 Rora Rorc Serpinb1a Sgk1 Smox Tec Timp1 Tiparp Tnfrsf25 Ucp2 Vim Znrf1
Trps1	Th17_upOnly.txt	Th17_upOnly	1170	0	77	46	1.71028325613e-07	5.74655174059e-05	AA467197 Adam19 Adarb1 Ahr Aqp3 Arid5a Ass1 Atp2b4 Bdh2 Chmp4b Cpd Cpox Ctla2b Egln3 Ehd4 Emb Fau Furin Gmfg Gngt2 Gpr15 Il17f Il21 Il9 Klhl6 Klrd1 Lgals1 Lpxn Maf Mt1 Mxd1 Nipal1 Pdpn Plod2 Procr Rbpj Rnf149 Rorc Serpinb1a Smox Susd3 Tgm2 Timp1 Tnfrsf25 Tnip2 Vim
Fosl2	Th17_upOnly.txt	Th17_upOnly	1170	0	82	47	7.02172452294e-07	0.000235227771518	Abi3 Adarb1 Ass1 Capg Casp6 Ccl20 Chmp4b Cpox Crip1 Ctla2a Ctla2b Ctla4 Cyfip2 Cyth4 Egln3 Ehd4 Eif4e3 Emp3 Fau Fth1 Glipr2 Gngt2 Ikzf3 Il10 Il21 Il2ra Il9 Krtcap2 Lgals1 Lpxn Malt1 Mt1 Mt2 Nipal1 Pim1 Pmepa1 Ptgfrn Rbpj Rora S100a13 Sesn3 Susd3 Tiparp Tnfrsf25 Tnip2 Treml2 Vim
Ikzf3	Th17_upOnly.txt	Th17_upOnly	1170	0	90	50	1.13132946367e-06	0.000377864040864	1600014C10Rik Abi3 Adarb1 Aqp3 Ass1 Bdh2 Capg Cdkn2d Cndp2 Cpd Crip1 Ctla2b Cyfip2 Cysltr1 Dst Egln3 Ehd4 Emb Emp1 Emp3 Fth1 Gmfg Gngt2 Gpr15 Igfbp4 Il10 Klhl6 Klrd1 Lgals1 Lpxn Maf Malt1 Mt1 Mt2 Mxd1 Nedd4 Pdpn Plod2 Pmepa1 Procr Ptgfrn Rbpj Rnf149 Rora Serpinb1a Sgk1 Smox Timp1 Tiparp Tnfrsf25
Maf	Th17_upOnly.txt	Th17_upOnly	1170	0	226	101	7.94853790942e-06	0.00264686312384	1600014C10Rik AA467197 Abi3 Acsl4 Adam19 Adarb1 Ahr Aldoa Aqp3 Arid5a Ass1 Atp2b4 Batf Bcl2 Bdh2 Bnip3 Capg Casp6 Ccl20 Cd28 Cdkn2d Chmp4b Cish Cndp2 Cnn2 Cpd Cpox Crem Ctla2a Ctla2b Ctla4 Cyfip2 Cysltr1 Cyth4 Dst Ehd4 Eif4e3 Eif4ebp1 Emb Emp1 Ero1l Fth1 Furin Galk1 Gmfg Gpr15 Gpr65 Hemk1 Hif1a Id2 Igfbp4 Ikzf3 Il10 Il17a Il17f Il1r1 Il21 Il2ra Il2rb Il4ra Il9 Itgam Klhl6 Klrd1 Lgals1 Lgals3 Lgr4 Lpxn Malt1 Mt1 Mt2 Mxd1 Nedd4 Nipal1 Npc2 Pdpn Pim1 Pla2g12a Plod2 Pmepa1 Procr Ptgfrn Rbpj Rnf149 Rnf19b Rora Rorc Sema4d Serpinb1a Sgk1 Smox Socs1 Srgn Tec Timp1 Tiparp Tnfrsf25 Tnip2 Ucp2 Vim Znrf1
Rora	Th17_upOnly.txt	Th17_upOnly	1170	0	185	85	1.18351380831e-05	0.00392926584359	1600014C10Rik AA467197 Abi3 Adam19 Adarb1 Ahr Aldoa Aqp3 Arid5a Ass1 Bcl2 Bdh2 Capg Ccl20 Ccnd3 Cd28 Cdkn2d Chmp4b Cndp2 Cnn2 Cpd Crem Ctla2a Ctla2b Ctla4 Cysltr1 Cyth4 Dst Egln3 Ehd4 Eif4e3 Emb Emp1 Fth1 Furin Gmfg Gngt2 Gpr15 Gpr65 Igfbp4 Ikzf3 Il10 Il17a Il17f Il1r1 Il21 Il2rb Il9 Klhl6 Klrd1 Lgals1 Lgals3 Lgr4 Lpxn Ly6a Maf Malt1 Mt1 Mt2 Mxd1 Nipal1 Npc2 Pdpn Plod2 Pmepa1 Procr Ptgfrn Rbpj Rnf149 Rnf19b Rorc Serpinb1a Sesn3 Sgk1 Smox Srgn Susd3 Tec Tgm2 Timp1 Tiparp Tnip2 Treml2 Ucp2 Vim
Zfp260	Th17_upOnly.txt	Th17_upOnly	1170	0	23	17	3.01338981546e-05	0.00997432028919	AA467197 Cdkn2d Cpox Ehd4 Eif4e3 Furin Glipr2 Gmfg Gngt2 Itgam Ptgfrn Rnf149 Sept9 Sesn3 Smox Treml2 Ucp2
Jrkl	Th17_upOnly.txt	Th17_upOnly	1170	0	67	37	3.42378266137e-05	0.0112984827825	AA467197 Abi3 Adarb1 Ahr Aqp3 Ass1 Capg Chmp4b Cpox Cyth4 Dst Egln3 Ehd4 Emp1 Gngt2 Gpr15 Id2 Igfbp4 Il1r1 Klrd1 Lgr4 Malt1 Mt1 Mt2 Pdpn Procr Rora Rorc Sesn3 Sgk1 Smox Tgm2 Timp1 Tnip2 Treml2 Vim Znrf1
Ets1	Th17_upOnly.txt	Th17_upOnly	1170	0	28	19	6.91323539942e-05	0.0227445444641	Acsl4 Aes Capg Cndp2 Cpd Cpox Ctla4 Cyfip2 Gpr15 Il2ra Lgals3 Lgr4 Rbpj Sesn3 Smox Susd3 Tnip2 Treml2 Vim
