TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
Rorc	Th17_upOnly.txt	Th17_upOnly	1170	up	92	62	0.0	0.0	1600014C10Rik AA467197 Abi3 Adam19 Adarb1 Ahr Aqp3 Arid5a Ass1 Atp2b4 Bdh2 Capg Ccl20 Cdkn2d Chmp4b Cpd Ctla2a Ctla2b Cysltr1 Cyth4 Emb Emp1 Fth1 Gngt2 Gpr15 Id2 Igfbp4 Il10 Il17a Il17f Il1r1 Il21 Il9 Klrd1 Lgals1 Lgals3 Lgr4 Lpxn Maf Malt1 Mt2 Nipal1 Pdpn Plod2 Pmepa1 Procr Rnf149 Rora S100a13 Serpinb1a Sesn3 Sgk1 Srgn Susd3 Tec Timp1 Tiparp Tnfrsf25 Treml2 Ucp2 Vim Znrf1
Pou2af1	Th17_upOnly.txt	Th17_upOnly	1170	up	83	60	2.25597318604e-13	8.50501891136e-11	1600014C10Rik AA467197 Abi3 Adarb1 Ahr Aqp3 Ass1 Atp2b4 Bdh2 Ccl20 Cd28 Cdkn2d Chmp4b Cndp2 Cpd Cpox Ctla2a Ctla2b Cysltr1 Dst Egln3 Ehd4 Eif4e3 Emp1 Emp3 Fth1 Gmfg Gngt2 Gpr15 Id2 Igfbp4 Ikzf3 Il10 Il17a Il17f Il1r1 Il21 Il9 Klrd1 Lgals1 Lgals3 Lgr4 Lpxn Maf Mxd1 Nedd4 Nipal1 Pdpn Pmepa1 Procr Rora Rorc Serpinb1a Sgk1 Smox Susd3 Tec Timp1 Tnfrsf25 Tnip2
Ahr	Th17_upOnly.txt	Th17_upOnly	1170	up	84	58	3.47633033471e-12	1.30710020585e-09	1600014C10Rik AA467197 Abi3 Adam19 Adarb1 Aqp3 Arid5a Ass1 Ccl20 Chmp4b Cpd Crip1 Ctla2a Ctla2b Dst Egln3 Emb Emp1 Fau Fth1 Furin Gmfg Gngt2 Gpr15 Igfbp4 Il10 Il17f Il1r1 Il21 Il9 Klhl6 Klrd1 Lgals1 Lgals3 Lgr4 Ly6c1 Maf Mt1 Mxd1 Nipal1 Pdpn Plod2 Procr Rbpj Rora Rorc Sema4d Sept9 Serpinb1a Sgk1 Smox Susd3 Tec Timp1 Tiparp Tnfrsf25 Tnip2 Vim
Cux1	Th17_upOnly.txt	Th17_upOnly	1170	up	89	59	5.08215691752e-12	1.90580884407e-09	AA467197 Abi3 Acsl4 Adarb1 Ahr Aqp3 Ass1 Atp2b4 Bdh2 Capg Ccl20 Chmp4b Cndp2 Cpd Cpox Ctla2b Cysltr1 Egln3 Ehd4 Emp3 Fth1 Furin Gmfg Gngt2 Gpr15 Igfbp4 Ikzf3 Il10 Il21 Il9 Itgam Klhl6 Klrd1 Lgals3 Lgr4 Lpxn Maf Mt1 Mt2 Mxd1 Nipal1 Pdpn Plod2 Pmepa1 Procr Ptgfrn Rnf149 Rora Rorc Serpinb1a Sgk1 Smox Tec Timp1 Tiparp Tnfrsf25 Ucp2 Vim Znrf1
Rora	Th17_upOnly.txt	Th17_upOnly	1170	up	125	76	6.30673291369e-12	2.35871810972e-09	1600014C10Rik AA467197 Abi3 Adam19 Adarb1 Ahr Aqp3 Arid5a Ass1 Bdh2 Capg Ccl20 Cd28 Cdkn2d Chmp4b Cndp2 Cpd Ctla2a Ctla2b Ctla4 Cysltr1 Cyth4 Dst Egln3 Ehd4 Eif4e3 Emb Emp1 Fth1 Furin Gmfg Gngt2 Gpr15 Gpr65 Igfbp4 Ikzf3 Il10 Il17a Il17f Il1r1 Il21 Il9 Klhl6 Klrd1 Lgals1 Lgals3 Lgr4 Lpxn Maf Malt1 Mt1 Mt2 Mxd1 Nipal1 Pdpn Plod2 Pmepa1 Procr Ptgfrn Rbpj Rnf149 Rorc Serpinb1a Sesn3 Sgk1 Smox Srgn Susd3 Tec Tgm2 Timp1 Tiparp Tnip2 Treml2 Ucp2 Vim
Maf	Th17_upOnly.txt	Th17_upOnly	1170	up	136	83	6.35302921381e-12	2.36967989675e-09	1600014C10Rik AA467197 Abi3 Acsl4 Adam19 Adarb1 Ahr Aqp3 Arid5a Ass1 Atp2b4 Bdh2 Capg Ccl20 Cd28 Cdkn2d Chmp4b Cndp2 Cpd Cpox Ctla2a Ctla2b Ctla4 Cyfip2 Cysltr1 Cyth4 Dst Ehd4 Eif4e3 Emb Emp1 Fth1 Furin Gmfg Gpr15 Gpr65 Hif1a Id2 Igfbp4 Ikzf3 Il10 Il17a Il17f Il1r1 Il21 Il2ra Il9 Itgam Klhl6 Klrd1 Lgals1 Lgals3 Lgr4 Lpxn Malt1 Mt1 Mt2 Mxd1 Nedd4 Nipal1 Pdpn Pim1 Plod2 Pmepa1 Procr Ptgfrn Rbpj Rnf149 Rora Rorc Sema4d Serpinb1a Sgk1 Smox Srgn Tec Timp1 Tiparp Tnfrsf25 Tnip2 Ucp2 Vim Znrf1
Trps1	Th17_upOnly.txt	Th17_upOnly	1170	up	68	46	5.13264541979e-10	1.90934409616e-07	AA467197 Adam19 Adarb1 Ahr Aqp3 Arid5a Ass1 Atp2b4 Bdh2 Chmp4b Cpd Cpox Ctla2b Egln3 Ehd4 Emb Fau Furin Gmfg Gngt2 Gpr15 Il17f Il21 Il9 Klhl6 Klrd1 Lgals1 Lpxn Maf Mt1 Mxd1 Nipal1 Pdpn Plod2 Procr Rbpj Rnf149 Rorc Serpinb1a Smox Susd3 Tgm2 Timp1 Tnfrsf25 Tnip2 Vim
Fosl2	Th17_upOnly.txt	Th17_upOnly	1170	up	78	47	8.62053480821e-08	3.19821841385e-05	Abi3 Adarb1 Ass1 Capg Casp6 Ccl20 Chmp4b Cpox Crip1 Ctla2a Ctla2b Ctla4 Cyfip2 Cyth4 Egln3 Ehd4 Eif4e3 Emp3 Fau Fth1 Glipr2 Gngt2 Ikzf3 Il10 Il21 Il2ra Il9 Krtcap2 Lgals1 Lpxn Malt1 Mt1 Mt2 Nipal1 Pim1 Pmepa1 Ptgfrn Rbpj Rora S100a13 Sesn3 Susd3 Tiparp Tnfrsf25 Tnip2 Treml2 Vim
Ikzf3	Th17_upOnly.txt	Th17_upOnly	1170	up	86	50	1.66020414971e-07	6.14275535393e-05	1600014C10Rik Abi3 Adarb1 Aqp3 Ass1 Bdh2 Capg Cdkn2d Cndp2 Cpd Crip1 Ctla2b Cyfip2 Cysltr1 Dst Egln3 Ehd4 Emb Emp1 Emp3 Fth1 Gmfg Gngt2 Gpr15 Igfbp4 Il10 Klhl6 Klrd1 Lgals1 Lpxn Maf Malt1 Mt1 Mt2 Mxd1 Nedd4 Pdpn Plod2 Pmepa1 Procr Ptgfrn Rbpj Rnf149 Rora Serpinb1a Sgk1 Smox Timp1 Tiparp Tnfrsf25
Jrkl	Th17_upOnly.txt	Th17_upOnly	1170	up	63	37	4.98799523319e-06	0.00184057024105	AA467197 Abi3 Adarb1 Ahr Aqp3 Ass1 Capg Chmp4b Cpox Cyth4 Dst Egln3 Ehd4 Emp1 Gngt2 Gpr15 Id2 Igfbp4 Il1r1 Klrd1 Lgr4 Malt1 Mt1 Mt2 Pdpn Procr Rora Rorc Sesn3 Sgk1 Smox Tgm2 Timp1 Tnip2 Treml2 Vim Znrf1
