TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Maf	Il17f	1	50.56	0.563	rgb(223,110,111)	2	None
Rora	Il17f	0.98715	50.47	0.47	rgb(222,127,128)	1.9982	2,2
Maf	Serpinb1a	0.97429	50.46	0.464	rgb(222,128,129)	1.998	2,2
Maf	Timp1	0.97429	50.46	0.464	rgb(222,128,129)	1.998	2,2
Maf	Il17a	0.96144	50.44	0.439	rgb(222,133,134)	1.9976	None
Maf	Aqp3	0.94859	50.41	0.415	rgb(222,138,139)	1.997	2,2
Maf	Ctla2a	0.93574	50.38	0.381	rgb(221,144,145)	1.9964	None
Maf	Gm16477	0.93574	50.38	0.384	rgb(221,144,144)	1.9964	2,2
Rora	Serpinb1a	0.93574	50.38	0.383	rgb(221,144,145)	1.9964	2,2
Maf	Ctla2b	0.92288	50.37	0.367	rgb(221,147,148)	1.9962	None
Rora	Il17a	0.92288	50.37	0.372	rgb(221,146,147)	1.9962	None
Rora	Timp1	0.92288	50.37	0.369	rgb(221,146,147)	1.9962	2,2
Maf	Emp1	0.91003	50.36	0.361	rgb(221,148,149)	1.996	None
Maf	Pdlim5	0.91003	50.36	0.362	rgb(221,148,149)	1.996	None
Maf	Rora	0.91003	50.36	0.362	rgb(221,148,149)	1.996	2,2
Rora	Maf	0.89718	50.35	0.349	rgb(221,150,151)	1.9958	2,2
Maf	Pdpn	0.88433	50.34	0.34	rgb(221,152,153)	1.9956	2,2
Rora	Aqp3	0.88433	50.34	0.339	rgb(221,152,153)	1.9956	2,2
Maf	Sgk1	0.87147	50.33	0.334	rgb(221,153,154)	1.9954	2,2
Maf	Gm10709	0.85862	50.31	0.306	rgb(220,159,159)	1.995	2,2
Maf	Dst	0.84577	50.3	0.298	rgb(220,160,161)	1.9948	None
Maf	Il21	0.84577	50.3	0.296	rgb(220,161,161)	1.9948	2,2
Maf	Sdhd	-0.84577	50.3	-3.0E-01	rgb(152,178,228)	1.9948	None
